Source File Name:	Analyzer
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
20	0.0006550582
20.625	0.000581215
21.25	0.0005562656
21.875	0.0005036106
22.5	0.0005073498
23.125	0.0005363754
23.75	0.000551694
24.375	0.0005849727
25	0.0005947714
25.625	0.0006051987
26.25	0.0006139686
26.875	0.0006182387
27.5	0.0006220444
28.125	0.0005749305
28.75	0.0005526505
29.375	0.000508011
30	0.0005008898
30.625	0.000488395
31.25	0.0004651859
31.875	0.0004708829
32.5	0.0004420936
33.125	0.0004462885
33.75	0.0004565707
34.375	0.0004528006
35	0.0004612203
35.625	0.0004743014
36.25	0.000473438
36.875	0.0004673102
37.5	0.0004749517
38.125	0.0004686211
38.75	0.0004741624
39.375	0.0004677001
40	0.0004674521
40.625	0.0004461857
41.25	0.0004545593
41.875	0.0004441362
42.5	0.0004527764
43.125	0.0004577973
43.75	0.0004397344
44.375	0.0004661931
45	0.0004478784
45.625	0.0004488576
46.25	0.0004660947
46.875	0.0004620184
47.5	0.0004765536
48.125	0.0004718578
48.75	0.0004757697
49.375	0.0004537148
50	0.0004540961
50.625	0.0004558628
51.25	0.000424497
51.875	0.0004270102
52.5	0.0003925591
53.125	0.0003867372
53.75	0.0003754613
54.375	0.0003515342
55	0.0003549484
55.625	0.0003204425
56.25	0.0003079175
56.875	0.0002971225
57.5	0.0002651626
58.125	0.0002406507
58.75	0.0002244701
59.375	0.0002168288
60	0.0001757875
60.625	0.0001754361
61.25	0.0001524532
61.875	0.0001276408
62.5	0.0001354864
63.125	0.000110707
63.75	0.0001031251
64.375	9.36274e-5
65	8.665345e-5
65.625	0.0001016055
66.25	0.0001022407
66.875	0.0001086617
67.5	0.0001184111
68.125	0.0001127296
68.75	0.0001119023
69.375	0.0001155655
70	0.0001300041
70.625	0.0001271022
71.25	0.0001354045
71.875	0.0001462613
72.5	0.0001288324
73.125	0.000156148
73.75	0.0001671661
74.375	0.000162624
75	0.0001787083
75.625	0.0001733803
76.25	0.0001798299
76.875	0.0001774446
77.5	0.0001835535
78.125	0.0001784252
78.75	0.0001853161
79.375	0.0001867405
80	0.0001787004
80.625	0.0001838204
81.25	0.0001776865
81.875	0.0001892052
82.5	0.0001958982
83.125	0.0001832023
83.75	0.000197988
84.375	0.0002156358
85	0.0002225139
85.625	0.0002432579
86.25	0.0002682368
86.875	0.000259608
87.5	0.0002920997
88.125	0.0002972481
88.75	0.0003136894
89.375	0.0003236538
90	0.0003414997
90.625	0.0003572525
91.25	0.0003579802
91.875	0.0003710252
92.5	0.0003691863
93.125	0.0003923506
93.75	0.0003937454
94.375	0.0003911689
95	0.0004083751
95.625	0.0003687889
96.25	0.0003815137
96.875	0.0003721735
97.5	0.0003583826
98.125	0.0003654164
98.75	0.0003402458
99.375	0.000341749
100	0.0003180053
100.625	0.0003093799
101.25	0.00029292
101.875	0.000276163
102.5	0.0002802042
103.125	0.0002502577
103.75	0.0002629453
104.375	0.0002301397
105	0.0002368359
105.625	0.0002450777
106.25	0.0002246311
106.875	0.0002388498
107.5	0.00022888
108.125	0.000233982
108.75	0.0002279444
109.375	0.0002431077
110	0.0002408156
110.625	0.0002384216
111.25	0.0002594321
111.875	0.0002563398
112.5	0.0002675053
113.125	0.0002837482
113.75	0.0002913344
114.375	0.0003026467
115	0.0003029249
115.625	0.0003030577
116.25	0.0003240509
116.875	0.0003323763
117.5	0.0003515256
118.125	0.0003714729
118.75	0.0003705312
119.375	0.0003921056
120	0.0004018995
120.625	0.0004228339
121.25	0.0004307945
121.875	0.0004628605
122.5	0.0004741902
123.125	0.0004930565
123.75	0.0005222221
124.375	0.0005339283
125	0.0005743465
125.625	0.0006089288
126.25	0.0006523231
126.875	0.0007021353
127.5	0.0007257102
128.125	0.0007812872
128.75	0.0008310903
129.375	0.0008826242
130	0.0009296357
130.625	0.000965948
131.25	0.0009932502
131.875	0.0009934945
132.5	0.0009828573
133.125	0.0009412394
133.75	0.000889137
134.375	0.000810132
135	0.0007347884
135.625	0.0006662329
136.25	0.0005748253
136.875	0.0004977417
137.5	0.0004281462
138.125	0.0003701266
138.75	0.0003511605
139.375	0.0003256402
140	0.0003278428
140.625	0.0003293837
141.25	0.000349313
141.875	0.0003729075
142.5	0.0003784931
143.125	0.0004114932
143.75	0.0004021739
144.375	0.0004312556
145	0.0004230983
145.625	0.0004355862
146.25	0.0004620899
146.875	0.0004458519
147.5	0.0004754777
148.125	0.0004574103
148.75	0.0004605024
149.375	0.0004626756
150	0.0004634886
150.625	0.0004751602
151.25	0.0004556934
151.875	0.0004791008
152.5	0.0004613304
153.125	0.0004756992
153.75	0.0004669881
154.375	0.0004636302
155	0.0004743495
155.625	0.0004579111
156.25	0.0004602294
156.875	0.0004479386
157.5	0.0004349164
158.125	0.0004371637
158.75	0.0004419192
159.375	0.0004319751
160	0.0004301748
160.625	0.0004268099
161.25	0.000425586
161.875	0.0004258602
162.5	0.0004266849
163.125	0.0004208384
163.75	0.0004076423
164.375	0.0004161782
165	0.000406332
165.625	0.0004092814
166.25	0.000410903
166.875	0.0003990708
167.5	0.0004070236
168.125	0.0003840469
168.75	0.0003914829
169.375	0.0003900483
170	0.0003944961
170.625	0.0004037306
171.25	0.0004052537
171.875	0.0004121598
172.5	0.0004233801
173.125	0.0004554203
173.75	0.0004671318
174.375	0.0004799854
175	0.0005003138
175.625	0.0005083372
176.25	0.0005219655
176.875	0.0005450373
177.5	0.0005569794
178.125	0.0005730509
178.75	0.0005908779
179.375	0.0005925144
180	0.0006083353
180.625	0.000611632
181.25	0.0006296249
181.875	0.000635907
182.5	0.000631759
183.125	0.0006345033
183.75	0.0006307326
184.375	0.0006385867
185	0.0006223698
185.625	0.0006382577
186.25	0.0006197179
186.875	0.0006058134
187.5	0.0006186976
188.125	0.0005857552
188.75	0.0005927152
189.375	0.0005813959
190	0.0005789457
190.625	0.0005778773
191.25	0.0005628629
191.875	0.0005724417
192.5	0.0005567495
193.125	0.000571117
193.75	0.0005534749
194.375	0.0005517321
195	0.0005486793
195.625	0.0005420176
196.25	0.0005725386
196.875	0.0005651565
197.5	0.000579475
198.125	0.000597744
198.75	0.0006010944
199.375	0.0006170691
200	0.0006219113
200.625	0.0006408051
201.25	0.0006358282
201.875	0.0006527292
202.5	0.0006371873
203.125	0.0006145739
203.75	0.0006114403
204.375	0.0005906885
205	0.000579615
205.625	0.000548575
206.25	0.0005193875
206.875	0.0004995755
207.5	0.0004743849
208.125	0.0004508502
208.75	0.0004445933
209.375	0.0004204667
210	0.0004061676
210.625	0.000403398
211.25	0.0003735903
211.875	0.0003542696
212.5	0.0003414052
213.125	0.0003325415
213.75	0.000300559
214.375	0.0002916402
215	0.0002742962
215.625	0.0002540587
216.25	0.0002639942
216.875	0.0002422168
217.5	0.0002417654
218.125	0.0002232909
218.75	0.0002157127
219.375	0.0002097647
220	0.0001963707
220.625	0.000182829
221.25	0.0001714674
221.875	0.0001645553
222.5	0.0001400074
223.125	0.0001463243
223.75	0.0001485507
224.375	0.0001370663
225	0.0001443718
225.625	0.0001296975
226.25	0.0001180126
226.875	0.0001275908
227.5	0.0001305866
228.125	0.0001160832
228.75	0.0001193145
229.375	0.0001036451
230	8.917899e-5
230.625	8.219306e-5
231.25	7.554766e-5
231.875	6.728106e-5
232.5	6.477492e-5
233.125	7.513046e-5
233.75	6.012935e-5
234.375	8.169551e-5
235	8.508172e-5
235.625	9.566278e-5
236.25	9.501795e-5
236.875	8.862288e-5
237.5	8.942342e-5
238.125	8.641021e-5
238.75	8.926223e-5
239.375	7.462706e-5
240	8.663882e-5
240.625	7.24096e-5
241.25	7.905249e-5
241.875	9.381257e-5
242.5	7.570212e-5
243.125	8.784298e-5
243.75	8.681706e-5
244.375	9.178514e-5
245	8.331024e-5
245.625	9.806173e-5
246.25	8.789218e-5
246.875	9.197386e-5
247.5	9.949513e-5
248.125	7.861217e-5
248.75	8.000698e-5
249.375	8.044476e-5
250	8.432724e-5
250.625	8.690339e-5
251.25	8.615206e-5
251.875	8.922409e-5
252.5	9.887078e-5
253.125	0.0001030329
253.75	0.0001140155
254.375	0.0001263807
255	0.0001300918
255.625	0.0001275516
256.25	0.0001422233
256.875	0.0001275023
257.5	0.0001306648
258.125	0.000157057
258.75	0.0001562173
259.375	0.0001586426
260	0.0001681282
260.625	0.0001663075
261.25	0.0001755263
261.875	0.0001746544
262.5	0.0001742629
263.125	0.0001811964
263.75	0.0001720109
264.375	0.0001683101
265	0.0001774377
265.625	0.0001587987
266.25	0.0001624791
266.875	0.0001642456
267.5	0.0001613115
268.125	0.0001446078
268.75	0.0001516871
269.375	0.0001452353
270	0.0001537227
270.625	0.0001688163
271.25	0.0001591246
271.875	0.0001684601
272.5	0.0001809541
273.125	0.0001983193
273.75	0.0002034159
274.375	0.0002119829
275	0.0002089819
275.625	0.0002133674
276.25	0.0002118604
276.875	0.0002020043
277.5	0.0002155363
278.125	0.0002080925
278.75	0.000212633
279.375	0.0002198807
280	0.0002057241
280.625	0.0002017981
281.25	0.000217843
281.875	0.0002161757
282.5	0.0002095626
283.125	0.0002155325
283.75	0.0002045073
284.375	0.0002067928
285	0.000211041
285.625	0.0002116447
286.25	0.0002099487
286.875	0.0002154132
287.5	0.0002055095
288.125	0.0002094589
288.75	0.0002117957
289.375	0.0002129937
290	0.0002276435
290.625	0.000234416
291.25	0.0002286587
291.875	0.0002492043
292.5	0.00024851
293.125	0.0002539189
293.75	0.0002585316
294.375	0.0002630301
295	0.0002586333
295.625	0.0002734046
296.25	0.0002871302
296.875	0.0002830908
297.5	0.0003085916
298.125	0.0003128351
298.75	0.0003127701
299.375	0.0003271649
300	0.0003210037
300.625	0.0003308984
301.25	0.0003308455
301.875	0.000323202
302.5	0.0003189467
303.125	0.0003037474
303.75	0.0003006847
304.375	0.0002944974
305	0.0002919293
305.625	0.0002711728
306.25	0.0002638971
306.875	0.0002637808
307.5	0.0002488421
308.125	0.0002617786
308.75	0.0002724379
309.375	0.0002621228
310	0.0002832939
310.625	0.0002778683
311.25	0.0002801889
311.875	0.0002838242
312.5	0.0002987779
313.125	0.0002948327
313.75	0.0002920829
314.375	0.0002952585
315	0.000288776
315.625	0.0003026775
316.25	0.0003063311
316.875	0.000297565
