Source File Name:	Analyzer
Signal:	FFT - Vib Velocity - Magnitude

Frequency	Magnitude
[ Hz ]	[ m/s ]
20	0.002713989
20.625	0.002654024
21.25	0.002168632
21.875	0.001513614
22.5	0.001141019
23.125	0.000968846
23.75	0.0008652805
24.375	0.0007783555
25	0.000718758
25.625	0.0006601735
26.25	0.0006188889
26.875	0.0005817331
27.5	0.0005490333
28.125	0.0005216404
28.75	0.0004973289
29.375	0.0004752422
30	0.0004527846
30.625	0.0004336484
31.25	0.0004161968
31.875	0.0004008142
32.5	0.0003887129
33.125	0.0003780095
33.75	0.0003656237
34.375	0.0003548242
35	0.0003447138
35.625	0.0003368122
36.25	0.0003306279
36.875	0.0003287947
37.5	0.0003282228
38.125	0.0003293095
38.75	0.000325924
39.375	0.0003201061
40	0.0003045347
40.625	0.0002877035
41.25	0.000271783
41.875	0.0002562852
42.5	0.0002413127
43.125	0.0002300207
43.75	0.0002163258
44.375	0.0002083865
45	0.0002031493
45.625	0.0001961769
46.25	0.0001871937
46.875	0.0001780936
47.5	0.0001726808
48.125	0.0001687248
48.75	0.0001621046
49.375	0.0001550731
50	0.0001544836
50.625	0.0001479232
51.25	0.000140984
51.875	0.0001415946
52.5	0.0001357128
53.125	0.0001305069
53.75	0.0001312024
54.375	0.0001273672
55	0.0001201749
55.625	0.0001204728
56.25	0.00012
56.875	0.0001179209
57.5	0.0001133369
58.125	0.0001077351
58.75	0.000111223
59.375	0.0001094148
60	0.0001056644
60.625	0.0001034597
61.25	0.0001040884
61.875	9.794038e-5
62.5	9.49547e-5
63.125	8.815779e-5
63.75	8.595337e-5
64.375	8.379655e-5
65	8.140982e-5
65.625	7.786728e-5
66.25	7.315943e-5
66.875	7.175849e-5
67.5	6.964835e-5
68.125	6.885029e-5
68.75	6.49471e-5
69.375	6.290442e-5
70	6.231044e-5
70.625	6.280904e-5
71.25	6.14802e-5
71.875	6.079765e-5
72.5	6.006364e-5
73.125	6.09719e-5
73.75	6.019312e-5
74.375	6.04191e-5
75	5.994321e-5
75.625	6.058415e-5
76.25	6.175673e-5
76.875	6.034797e-5
77.5	5.990461e-5
78.125	5.985133e-5
78.75	6.138121e-5
79.375	6.219847e-5
80	6.164478e-5
80.625	6.092734e-5
81.25	6.198623e-5
81.875	6.280329e-5
82.5	6.361973e-5
83.125	6.343846e-5
83.75	6.463641e-5
84.375	6.373474e-5
85	6.504506e-5
85.625	6.472359e-5
86.25	6.540612e-5
86.875	6.998056e-5
87.5	7.122532e-5
88.125	7.039231e-5
88.75	7.140865e-5
89.375	7.222815e-5
90	7.394886e-5
90.625	7.54742e-5
91.25	7.495971e-5
91.875	7.635058e-5
92.5	7.828162e-5
93.125	7.967729e-5
93.75	7.750864e-5
94.375	8.239811e-5
95	8.283227e-5
95.625	8.538505e-5
96.25	8.567641e-5
96.875	8.632912e-5
97.5	8.816396e-5
98.125	8.966596e-5
98.75	8.955468e-5
99.375	9.056328e-5
100	9.217746e-5
100.625	9.401909e-5
101.25	9.573918e-5
101.875	9.654462e-5
102.5	9.761591e-5
103.125	0.0001001989
103.75	0.0001022199
104.375	0.0001039798
105	0.0001058877
105.625	0.0001084637
106.25	0.0001104985
106.875	0.0001124392
107.5	0.0001133315
108.125	0.0001162247
108.75	0.0001191058
109.375	0.0001230912
110	0.0001237877
110.625	0.0001281135
111.25	0.0001305762
111.875	0.0001347027
112.5	0.0001388845
113.125	0.0001419781
113.75	0.0001462511
114.375	0.0001506027
115	0.0001549059
115.625	0.0001593569
116.25	0.000164005
116.875	0.0001699354
117.5	0.0001771394
118.125	0.0001797687
118.75	0.0001856616
119.375	0.0001912976
120	0.0001973886
120.625	0.0002018282
121.25	0.0002085176
121.875	0.0002142129
122.5	0.000221832
123.125	0.0002290454
123.75	0.0002359966
124.375	0.0002434498
125	0.0002533238
125.625	0.0002642035
126.25	0.000274062
126.875	0.0002834821
127.5	0.0002960088
128.125	0.0003087631
128.75	0.0003214523
129.375	0.000334885
130	0.0003504423
130.625	0.0003675741
131.25	0.0003852134
131.875	0.0004035776
132.5	0.0004240902
133.125	0.0004467716
133.75	0.0004698077
134.375	0.0004947411
135	0.0005212663
135.625	0.0005484421
136.25	0.0005782052
136.875	0.000609411
137.5	0.0006408931
138.125	0.0006747624
138.75	0.0007091584
139.375	0.0007439333
140	0.0007766889
140.625	0.000806591
141.25	0.0008341174
141.875	0.0008556845
142.5	0.0008698586
143.125	0.0008756366
143.75	0.0008767896
144.375	0.0008696267
145	0.0008608624
145.625	0.0008474222
146.25	0.0008331883
146.875	0.0008240079
147.5	0.0008196541
148.125	0.0008162101
148.75	0.0008100319
149.375	0.0007988623
150	0.0007819385
150.625	0.00075974
151.25	0.0007307294
151.875	0.0006985893
152.5	0.0006640541
153.125	0.000632207
153.75	0.0006026764
154.375	0.0005751131
155	0.0005451969
155.625	0.0005222455
156.25	0.0005005305
156.875	0.0004818983
157.5	0.000462885
158.125	0.0004459667
158.75	0.0004302136
159.375	0.0004170944
160	0.0004041182
160.625	0.0003914869
161.25	0.0003788046
161.875	0.0003679311
162.5	0.0003580217
163.125	0.0003474477
163.75	0.0003364278
164.375	0.0003257483
165	0.0003174367
165.625	0.0003068592
166.25	0.0002970069
166.875	0.0002862597
167.5	0.0002785946
168.125	0.0002684942
168.75	0.0002600362
169.375	0.0002510394
170	0.0002424171
170.625	0.0002353369
171.25	0.0002273784
171.875	0.0002204985
172.5	0.000213722
173.125	0.0002083723
173.75	0.0002038095
174.375	0.0001984945
175	0.0001931499
175.625	0.0001905396
176.25	0.0001885225
176.875	0.0001865664
177.5	0.0001826853
178.125	0.0001820028
178.75	0.0001798746
179.375	0.0001802688
180	0.0001801236
180.625	0.0001800675
181.25	0.000181061
181.875	0.00018278
182.5	0.000184166
183.125	0.0001851537
183.75	0.0001863437
184.375	0.0001873315
185	0.0001885498
185.625	0.0001883137
186.25	0.0001865777
186.875	0.0001853976
187.5	0.0001836853
188.125	0.000181672
188.75	0.0001806614
189.375	0.0001781495
190	0.000175971
190.625	0.0001741121
191.25	0.0001727975
191.875	0.0001719455
192.5	0.0001707503
193.125	0.0001708762
193.75	0.0001718589
194.375	0.0001720458
195	0.0001724064
195.625	0.000175149
196.25	0.0001780873
196.875	0.0001814743
197.5	0.0001869532
198.125	0.0001933296
198.75	0.000203394
199.375	0.0002140733
200	0.0002236263
200.625	0.0002354325
201.25	0.0002468413
201.875	0.000261152
202.5	0.0002742059
203.125	0.0002889283
203.75	0.0003016031
204.375	0.0003186219
205	0.0003343536
205.625	0.0003533456
206.25	0.000371293
206.875	0.0003888904
207.5	0.0004048847
208.125	0.0004198085
208.75	0.0004335527
209.375	0.0004427282
210	0.0004482419
210.625	0.0004483224
211.25	0.0004469036
211.875	0.0004431948
212.5	0.0004360449
213.125	0.0004288351
213.75	0.0004195998
214.375	0.000412237
215	0.0004047414
215.625	0.0004004916
216.25	0.0003935129
216.875	0.0003878734
217.5	0.0003836273
218.125	0.0003781413
218.75	0.0003724706
219.375	0.0003669364
220	0.0003609005
220.625	0.0003545506
221.25	0.0003478415
221.875	0.0003414266
222.5	0.0003342538
223.125	0.000326954
223.75	0.0003211862
224.375	0.0003143321
225	0.000308074
225.625	0.000300509
226.25	0.0002960393
226.875	0.0002890028
227.5	0.000283771
228.125	0.0002768362
228.75	0.000271609
229.375	0.0002668407
230	0.0002617338
230.625	0.0002564783
231.25	0.0002514578
231.875	0.0002468592
232.5	0.0002434116
233.125	0.0002395464
233.75	0.0002353294
234.375	0.0002326561
235	0.0002305862
235.625	0.000228285
236.25	0.0002254203
236.875	0.0002228732
237.5	0.0002209566
238.125	0.0002218993
238.75	0.0002199288
239.375	0.0002197809
240	0.0002190451
240.625	0.0002185822
241.25	0.0002197621
241.875	0.0002192262
242.5	0.0002190441
243.125	0.0002215352
243.75	0.0002220094
244.375	0.0002226619
245	0.0002233117
245.625	0.0002238541
246.25	0.0002247508
246.875	0.0002263226
247.5	0.0002260384
248.125	0.0002258138
248.75	0.0002267878
249.375	0.0002252043
250	0.0002246801
250.625	0.0002205703
251.25	0.000218033
251.875	0.0002153422
252.5	0.0002102015
253.125	0.0002038449
253.75	0.0001971835
254.375	0.0001893304
255	0.0001818134
255.625	0.000173365
256.25	0.0001626598
256.875	0.0001536398
257.5	0.0001463668
258.125	0.0001397136
258.75	0.0001319956
259.375	0.0001252809
260	0.0001200953
260.625	0.0001172793
261.25	0.00011253
261.875	0.0001102468
262.5	0.0001065768
263.125	0.0001043973
263.75	0.0001025389
264.375	9.979148e-5
265	9.570773e-5
265.625	9.299536e-5
266.25	9.07409e-5
266.875	8.72448e-5
267.5	8.267718e-5
268.125	7.825779e-5
268.75	7.441449e-5
269.375	7.06789e-5
270	6.669902e-5
270.625	6.426124e-5
271.25	6.191089e-5
271.875	6.116983e-5
272.5	6.215337e-5
273.125	6.153377e-5
273.75	6.251392e-5
274.375	6.544848e-5
275	6.74203e-5
275.625	7.05088e-5
276.25	7.188232e-5
276.875	7.615349e-5
277.5	7.870137e-5
278.125	8.190952e-5
278.75	8.552439e-5
279.375	8.905625e-5
280	9.328687e-5
280.625	9.71119e-5
281.25	0.0001010199
281.875	0.0001037307
282.5	0.0001092728
283.125	0.0001136666
283.75	0.000117464
284.375	0.0001193941
285	0.0001231053
285.625	0.0001259872
286.25	0.0001291296
286.875	0.0001292602
287.5	0.0001312201
288.125	0.0001307268
288.75	0.000132309
289.375	0.0001312232
290	0.0001302698
290.625	0.0001284929
291.25	0.0001281829
291.875	0.0001265677
292.5	0.0001246098
293.125	0.0001223918
293.75	0.0001205124
294.375	0.0001206807
295	0.0001194541
295.625	0.0001180414
296.25	0.0001161985
296.875	0.0001158709
297.5	0.0001150452
298.125	0.0001146003
298.75	0.0001117916
299.375	0.0001122451
300	0.0001103534
300.625	0.0001094208
301.25	0.0001090713
301.875	0.0001076589
302.5	0.0001081092
303.125	0.000108184
303.75	0.000107206
304.375	0.0001057401
305	0.0001061522
305.625	0.000105542
306.25	0.0001048747
306.875	0.0001026618
307.5	0.0001021581
308.125	0.0001018277
308.75	0.0001012433
309.375	9.854427e-5
310	9.902052e-5
310.625	9.733246e-5
311.25	9.802534e-5
311.875	9.615467e-5
312.5	9.408632e-5
313.125	9.307038e-5
