Source File Name:	14,3
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001232707	59.82301
10.5	0.0001219287	44.74503
11	0.0001229952	30.04353
11.5	0.0001233198	14.88306
12	0.0001232098	0.416412
12.5	0.0001248625	-14.29225
13	0.0001248406	-29.19396
13.5	0.0001248522	-44.07066
14	0.0001249929	-58.76331
14.5	0.0001253112	-73.14333
15	0.0001252353	-88.03463
15.5	0.0001252416	-102.8078
16	0.0001250965	-117.679
16.5	0.0001245345	-132.458
17	0.0001241351	-147.3042
17.5	0.0001241669	-161.9536
18	0.000124173	-176.9764
18.5	0.0001233528	168.0119
19	0.0001232599	153.023
19.5	0.0001228232	138.0883
20	0.0001228789	123.1245
20.5	0.0001227425	108.1872
21	0.0001226377	93.30425
21.5	0.0001227105	78.17172
22	0.0001230557	63.17398
22.5	0.0001230308	48.22841
23	0.0001229902	33.25797
23.5	0.000123271	18.27134
24	0.0001232058	3.42671
24.5	0.0001231608	-11.42293
25	0.0001232682	-26.35935
25.5	0.0001235889	-41.28838
26	0.0001236697	-56.19403
26.5	0.0001234153	-70.93191
27	0.00012358	-85.77768
27.5	0.000123715	-100.6876
28	0.0001237924	-115.3896
28.5	0.000123559	-130.3184
29	0.0001233968	-145.1593
29.5	0.0001231224	-160.0815
30	0.0001230543	-174.9224
30.5	0.0001226864	170.129
31	0.0001224609	155.1037
31.5	0.0001220849	140.1679
32	0.0001220635	125.2509
32.5	0.0001219858	110.2749
33	0.0001218755	95.1377
33.5	0.0001217305	80.21358
34	0.0001221475	65.35172
34.5	0.0001221153	50.47424
35	0.0001216665	35.36948
35.5	0.0001215617	20.4402
36	0.000122077	5.59851
36.5	0.0001221501	-9.367735
37	0.0001218593	-24.31084
37.5	0.0001219027	-39.21452
38	0.0001222321	-54.07694
38.5	0.0001222056	-68.86733
39	0.0001219658	-83.74068
39.5	0.0001220225	-98.6972
40	0.0001217548	-113.468
40.5	0.0001216049	-128.345
41	0.0001214905	-143.2567
41.5	0.0001213962	-158.17
42	0.0001210196	-173.0773
42.5	0.0001207569	172.0171
43	0.0001206479	157.032
43.5	0.000120527	142.1181
44	0.0001203044	127.1343
44.5	0.000120174	112.1494
45	0.0001199489	97.22539
45.5	0.0001197663	82.31316
46	0.0001198093	67.34094
46.5	0.0001197441	52.3624
47	0.0001198439	37.38289
47.5	0.0001198299	22.4265
48	0.0001198524	7.613882
48.5	0.0001196725	-7.34852
49	0.0001197257	-22.17708
49.5	0.0001198348	-37.10915
50	0.0001196641	-51.96047
50.5	0.0001195448	-66.76384
51	0.0001193627	-81.66506
51.5	0.0001191244	-96.52279
52	0.0001190312	-111.4038
52.5	0.0001187384	-126.3522
53	0.0001186658	-141.2844
53.5	0.0001184562	-156.1922
54	0.000118226	-171.0647
54.5	0.0001180404	173.979
55	0.0001178832	158.9966
55.5	0.0001178096	144.1528
56	0.0001176711	129.1229
56.5	0.0001173701	114.2058
57	0.000117204	99.2691
57.5	0.0001169357	84.4036
58	0.0001170498	69.43265
58.5	0.0001168907	54.43201
59	0.0001169457	39.49158
59.5	0.0001168509	24.5669
60	0.0001167329	9.761415
60.5	0.0001166398	-5.139506
61	0.000116706	-20.04712
61.5	0.0001166543	-34.95222
62	0.0001164394	-49.79362
62.5	0.0001162018	-64.79835
63	0.0001161191	-79.6069
63.5	0.000116034	-94.45533
64	0.0001156305	-109.3209
64.5	0.000115933	-124.4236
65	0.0001155519	-139.172
65.5	0.0001153994	-154.0024
66	0.0001150187	-168.9524
66.5	0.0001148542	176.0559
67	0.0001145764	161.2159
67.5	0.0001145883	146.3062
68	0.0001143485	131.3352
68.5	0.0001140424	116.4342
69	0.0001139104	101.4321
69.5	0.0001137079	86.55152
70	0.0001135244	71.5868
70.5	0.0001134865	56.61564
71	0.0001134609	41.63565
71.5	0.0001132732	26.78516
72	0.000113014	11.91529
72.5	0.000112968	-2.990827
73	0.0001129926	-17.92625
73.5	0.0001127684	-32.85493
74	0.0001126992	-47.68184
74.5	0.0001125368	-62.63404
75	0.0001125691	-77.45795
75.5	0.0001125353	-92.41573
76	0.0001121376	-107.185
76.5	0.0001119802	-122.0464
77	0.0001119067	-136.9814
77.5	0.0001115379	-151.9396
78	0.0001111272	-166.7468
78.5	0.0001109367	178.2781
79	0.0001108476	163.3885
79.5	0.0001106636	148.3956
80	0.0001103723	133.577
80.5	0.0001103835	118.627
81	0.0001100249	103.6583
81.5	0.0001098334	88.73048
82	0.0001098385	73.82638
82.5	0.0001094879	58.93556
83	0.0001095353	43.93337
83.5	0.0001092806	28.9107
84	0.0001090948	14.10359
84.5	0.0001087972	-0.7821617
85	0.0001088517	-15.67406
85.5	0.000108844	-30.53512
86	0.0001087086	-45.49289
86.5	0.0001084398	-60.33826
87	0.0001082126	-75.21456
87.5	0.0001079254	-90.07389
88	0.0001080756	-104.9444
88.5	0.0001079188	-119.8201
89	0.000107482	-134.6864
89.5	0.0001072953	-149.6824
90	0.0001069439	-164.5358
90.5	0.0001068823	-179.4222
91	0.0001063475	165.4966
91.5	0.0001061017	150.6343
