Source File Name:	7,1
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001056593	66.97227
10.5	0.0001066247	52.46919
11	0.0001063033	37.68328
11.5	0.0001070431	23.20032
12	0.0001062847	8.447621
12.5	0.0001072358	-6.086852
13	0.0001068659	-20.70115
13.5	0.0001075706	-35.12933
14	0.000107366	-49.45472
14.5	0.0001079559	-63.98302
15	0.0001079801	-78.43184
15.5	0.0001078034	-92.63174
16	0.0001076627	-107.2344
16.5	0.0001074859	-121.566
17	0.0001073462	-136.1812
17.5	0.0001070179	-150.5079
18	0.0001068768	-165.206
18.5	0.0001067415	-179.4187
19	0.0001065269	165.9568
19.5	0.0001061722	151.6269
20	0.0001058848	136.8794
20.5	0.0001059474	122.4159
21	0.0001056623	107.6761
21.5	0.0001056876	93.01868
22	0.0001055393	78.42795
22.5	0.0001055948	63.76046
23	0.0001053778	49.15264
23.5	0.0001056785	34.5584
24	0.0001055664	20.02288
24.5	0.0001054973	5.300454
25	0.0001058036	-9.159869
25.5	0.0001057256	-23.79713
26	0.0001057612	-38.25251
26.5	0.0001058487	-52.91153
27	0.0001057071	-67.17187
27.5	0.0001055422	-81.87617
28	0.0001056065	-96.21262
28.5	0.000105421	-110.9591
29	0.0001051521	-125.1953
29.5	0.0001053141	-139.7664
30	0.0001048001	-154.2587
30.5	0.0001047304	-168.9489
31	0.0001047168	176.7743
31.5	0.0001045801	162.0493
32	0.0001041554	147.612
32.5	0.0001038077	132.8665
33	0.000103818	118.3022
33.5	0.0001035858	103.4966
34	0.0001036425	89.19684
34.5	0.0001031965	74.24093
35	0.0001034439	59.90264
35.5	0.0001030849	45.10122
36	0.0001031485	30.6144
36.5	0.0001030366	15.87758
37	0.0001030526	1.593637
37.5	0.0001027963	-13.32924
38	0.0001027966	-27.73075
38.5	0.0001027749	-42.35104
39	0.0001026304	-56.66186
39.5	0.0001024914	-71.41788
40	0.0001022519	-85.79076
40.5	0.0001023715	-100.5343
41	0.0001022736	-114.8502
41.5	0.0001020255	-129.4447
42	0.0001017022	-143.9185
42.5	0.0001017063	-158.5996
43	0.0001012867	-173.0715
43.5	0.0001010827	172.2812
44	0.0001009014	157.861
44.5	0.0001007522	143.1326
45	0.0001005946	128.7482
45.5	0.000100079	114.0906
46	9.982387e-5	99.52763
46.5	9.978968e-5	84.72377
47	9.978686e-5	70.25963
47.5	9.956644e-5	55.54166
48	9.958467e-5	41.18155
48.5	9.919735e-5	26.48876
49	9.921758e-5	11.99467
49.5	9.892252e-5	-2.699068
50	9.894049e-5	-17.13015
50.5	9.881705e-5	-31.85968
51	9.884674e-5	-46.26873
