Source File Name:	15,4
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001353747	65.72279
10.5	0.0001361307	51.54802
11	0.0001350738	36.78099
11.5	0.0001360918	21.44538
12	0.0001359219	7.258953
12.5	0.0001358707	-7.943195
13	0.0001361016	-22.57265
13.5	0.0001363026	-36.95739
14	0.0001354884	-51.56338
14.5	0.000136818	-66.01483
15	0.0001358916	-80.63551
15.5	0.0001359316	-95.06711
16	0.0001366106	-109.624
16.5	0.0001362537	-123.9722
17	0.0001365627	-138.6616
17.5	0.000136593	-153.0947
18	0.0001360582	-167.4798
18.5	0.000136382	177.5849
19	0.0001359557	163.37
19.5	0.0001358281	148.6103
20	0.0001359111	134.0854
20.5	0.0001354868	119.4437
21	0.000135301	104.9611
21.5	0.000135202	90.08981
22	0.0001351351	75.65665
22.5	0.0001349504	60.91738
23	0.0001350176	46.3404
23.5	0.000134922	31.62953
24	0.0001351427	16.919
24.5	0.0001349642	2.313792
25	0.0001348925	-12.27938
25.5	0.0001349301	-26.93679
26	0.0001347619	-41.61037
26.5	0.0001346179	-56.29525
27	0.0001345902	-70.86052
27.5	0.0001345532	-85.45981
28	0.0001345258	-100.0414
28.5	0.0001343919	-114.6904
29	0.0001344759	-129.3648
29.5	0.0001342208	-144.0158
30	0.000134616	-158.7049
30.5	0.0001341431	-173.2999
31	0.0001339766	172.0513
31.5	0.0001334533	157.4839
32	0.0001336406	142.9088
32.5	0.0001332807	128.1867
33	0.0001332907	113.5537
33.5	0.000133158	98.91396
34	0.0001331111	84.33384
34.5	0.0001329325	69.65277
35	0.0001327249	55.12254
35.5	0.0001326779	40.43111
36	0.0001326253	25.77146
36.5	0.0001324965	11.19455
37	0.0001324584	-3.494368
37.5	0.0001322669	-18.17011
38	0.0001322126	-32.90224
38.5	0.0001320078	-47.42694
39	0.0001318607	-62.11246
39.5	0.0001316078	-76.70528
40	0.0001315035	-91.35645
40.5	0.0001313896	-106.0063
41	0.0001312889	-120.556
41.5	0.0001311942	-135.2284
42	0.0001307198	-149.7623
42.5	0.0001306878	-164.4928
43	0.0001302318	-179.0966
43.5	0.0001303194	166.2703
44	0.0001301931	151.6062
44.5	0.0001297573	137.0402
45	0.0001296503	122.3024
45.5	0.0001295351	107.7066
46	0.0001294521	93.07863
46.5	0.0001289915	78.40804
47	0.0001290429	63.78827
47.5	0.0001288367	49.08891
48	0.0001286575	34.46314
48.5	0.0001284639	19.83764
49	0.0001282996	5.259905
49.5	0.0001281661	-9.415949
50	0.0001279511	-24.04817
50.5	0.0001277643	-38.67685
51	0.0001275488	-53.37973
51.5	0.0001273958	-67.93626
52	0.0001270519	-82.60147
52.5	0.000126985	-97.23547
53	0.0001268107	-111.8265
53.5	0.0001266097	-126.4567
54	0.0001264296	-141.1412
54.5	0.0001261613	-155.6582
55	0.0001257155	-170.3391
55.5	0.0001257283	175.027
56	0.0001253768	160.4509
56.5	0.0001251889	145.8767
57	0.0001249643	131.1985
