Source File Name:	15,1
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	0.0001141236	66.22483
10.5	0.000113512	51.26513
11	0.0001138831	37.27383
11.5	0.0001159591	21.8949
12	0.0001143858	7.374257
12.5	0.0001162386	-7.020464
13	0.000115738	-21.91873
13.5	0.0001161066	-36.18206
14	0.0001162658	-50.71438
14.5	0.0001160946	-65.17118
15	0.0001163056	-79.46516
15.5	0.0001165203	-93.93826
16	0.0001162724	-108.3909
16.5	0.0001168846	-122.8901
17	0.0001161935	-137.7291
17.5	0.0001154999	-151.8282
18	0.0001162344	-166.5949
18.5	0.0001149298	178.819
19	0.00011527	164.4858
19.5	0.0001148973	149.5645
20	0.000115064	134.9986
20.5	0.0001149399	120.3176
21	0.0001145602	105.2649
21.5	0.0001144703	91.03045
22	0.0001147474	76.15884
22.5	0.0001143531	61.28548
23	0.0001147091	46.92597
23.5	0.0001145799	31.96876
24	0.0001146793	17.58674
24.5	0.0001149014	2.833204
25	0.0001151033	-11.84905
25.5	0.0001147733	-26.53362
26	0.000114961	-40.97544
26.5	0.0001149882	-55.53917
27	0.000114879	-70.19536
27.5	0.0001148511	-84.60083
28	0.000114815	-99.22263
28.5	0.0001147288	-113.8191
29	0.0001142922	-128.4052
29.5	0.0001143102	-142.8541
30	0.0001138728	-157.6757
30.5	0.0001138323	-172.0763
31	0.0001137521	173.3455
31.5	0.0001133914	158.4511
32	0.0001130425	143.9352
32.5	0.0001130318	129.4433
33	0.0001128987	114.6578
33.5	0.0001127407	99.91631
34	0.0001125997	85.43433
34.5	0.0001124663	70.64936
35	0.000112723	55.95283
35.5	0.0001122511	41.44649
36	0.0001124522	26.57101
36.5	0.000112525	12.22955
37	0.0001121362	-2.599687
37.5	0.0001124877	-17.10297
38	0.0001122119	-31.68354
38.5	0.0001122087	-46.27073
39	0.0001121191	-60.86743
39.5	0.0001120247	-75.35279
40	0.0001120177	-90.08939
40.5	0.0001116987	-104.6442
41	0.0001115959	-119.0526
41.5	0.0001115007	-133.7825
42	0.0001112404	-148.3705
42.5	0.0001107554	-162.869
43	0.0001111175	-177.519
43.5	0.0001104729	167.7122
44	0.0001103641	153.2046
44.5	0.0001102048	138.5373
45	0.0001099493	123.8314
45.5	0.0001098584	109.1478
46	0.0001096309	94.6152
46.5	0.0001095632	79.77871
47	0.0001093046	65.28049
47.5	0.0001093592	50.59952
48	0.0001093652	35.8784
48.5	0.0001090043	21.25227
49	0.0001089972	6.721056
49.5	0.0001091876	-7.875586
50	0.0001088729	-22.64561
50.5	0.0001087201	-37.08867
51	0.0001087459	-51.73711
51.5	0.0001085453	-66.27834
52	0.0001084016	-80.90702
52.5	0.000108193	-95.47873
53	0.0001078813	-110.0669
53.5	0.0001077643	-124.6967
54	0.0001073902	-139.1285
54.5	0.0001074469	-153.7664
55	0.0001072453	-168.4695
55.5	0.0001066718	176.9347
56	0.0001067056	162.382
56.5	0.0001064914	147.6751
57	0.0001060228	133.0325
57.5	0.0001057867	118.4272
58	0.0001060704	103.8474
58.5	0.0001055539	89.11311
59	0.0001054839	74.43202
59.5	0.00010534	59.91378
60	0.0001051569	45.14845
60.5	0.0001050116	30.58681
61	0.0001049655	16.08336
61.5	0.0001048075	1.30678
62	0.0001046016	-13.2708
62.5	0.0001045699	-27.71924
