Source File Name:	1,1,4
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
20	1.768112e-5
20.5	2.099288e-5
21	2.180161e-5
21.5	2.374288e-5
22	2.42026e-5
22.5	2.508366e-5
23	2.359531e-5
23.5	2.480626e-5
24	2.633857e-5
24.5	2.524737e-5
25	2.396228e-5
25.5	2.274305e-5
26	2.535942e-5
26.5	2.48348e-5
27	2.534491e-5
27.5	2.121807e-5
28	2.000776e-5
28.5	2.211729e-5
29	2.262588e-5
29.5	2.374911e-5
30	2.202664e-5
30.5	2.224193e-5
31	2.271325e-5
31.5	2.068599e-5
32	2.458313e-5
32.5	1.91464e-5
33	2.190355e-5
33.5	2.042671e-5
34	2.171102e-5
34.5	2.089035e-5
35	2.053128e-5
35.5	1.96343e-5
36	1.730164e-5
36.5	1.855434e-5
37	1.508384e-5
37.5	1.48066e-5
38	1.556325e-5
38.5	1.650379e-5
39	1.637554e-5
39.5	1.350256e-5
40	1.580183e-5
40.5	1.273655e-5
41	1.235502e-5
41.5	1.33345e-5
42	1.411645e-5
42.5	1.377184e-5
43	1.215863e-5
43.5	1.509807e-5
44	1.154052e-5
44.5	1.363021e-5
45	1.083934e-5
45.5	1.171569e-5
46	6.453016e-6
46.5	8.497584e-6
47	9.174954e-6
47.5	6.181198e-6
48	9.098794e-6
48.5	4.601014e-6
49	9.024428e-6
49.5	5.587651e-6
50	1.718278e-5
50.5	6.576962e-6
51	4.094509e-6
51.5	6.160064e-6
52	3.70068e-6
52.5	1.879126e-6
53	4.293757e-6
53.5	4.653582e-6
54	3.958223e-6
54.5	1.935826e-6
55	1.766936e-6
55.5	5.104219e-6
56	2.877586e-6
56.5	3.031988e-6
57	3.932908e-6
57.5	2.782087e-6
58	4.59798e-6
58.5	3.693496e-6
59	2.980806e-6
59.5	4.135981e-6
60	5.167255e-6
60.5	3.892757e-6
61	3.243779e-6
61.5	4.141166e-6
62	4.718516e-6
62.5	4.803347e-6
63	4.96099e-6
63.5	6.038623e-6
64	3.586983e-6
64.5	6.368133e-6
65	5.848729e-6
65.5	7.168482e-6
66	6.645201e-6
66.5	4.992827e-6
67	8.135865e-6
67.5	7.764874e-6
68	7.296661e-6
68.5	7.841235e-6
69	8.686298e-6
69.5	7.997521e-6
70	7.629808e-6
70.5	7.064755e-6
71	8.467707e-6
71.5	7.713484e-6
72	6.285218e-6
72.5	6.218e-6
73	6.801116e-6
73.5	6.735254e-6
74	6.712014e-6
74.5	7.136932e-6
75	7.442356e-6
75.5	7.693578e-6
76	7.729747e-6
76.5	8.010531e-6
77	6.978903e-6
77.5	8.177204e-6
78	7.64057e-6
78.5	7.580727e-6
79	8.94238e-6
79.5	7.628077e-6
80	7.669965e-6
80.5	6.545873e-6
81	5.932545e-6
81.5	7.192653e-6
82	5.157437e-6
82.5	6.04694e-6
83	6.148045e-6
83.5	6.338654e-6
84	5.608536e-6
84.5	4.970103e-6
85	6.903265e-6
85.5	5.114814e-6
86	6.185498e-6
86.5	6.600753e-6
87	6.086964e-6
87.5	6.308463e-6
88	6.597018e-6
88.5	7.821918e-6
89	5.47075e-6
89.5	5.438013e-6
90	7.049721e-6
90.5	4.932123e-6
91	5.014371e-6
91.5	4.859869e-6
92	5.742555e-6
92.5	5.565596e-6
93	5.851276e-6
93.5	5.31829e-6
94	5.623943e-6
94.5	5.742279e-6
95	5.594505e-6
95.5	4.906708e-6
96	5.457903e-6
96.5	4.586605e-6
97	4.82555e-6
97.5	4.889317e-6
98	3.694188e-6
98.5	6.024912e-6
99	5.233392e-6
99.5	4.082239e-6
100	2.884718e-6
100.5	4.517235e-6
101	3.180365e-6
101.5	4.661269e-6
102	5.114483e-6
102.5	3.708842e-6
103	3.290995e-6
103.5	2.4494e-6
104	3.153821e-6
104.5	3.682123e-6
105	4.667435e-6
105.5	3.686086e-6
106	4.195974e-6
106.5	4.850863e-6
107	2.444327e-6
107.5	3.15594e-6
