Source File Name:	1,1,3
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
20	4.420697e-5
20.5	2.484067e-5
21	7.38965e-5
21.5	6.543664e-5
22	7.380496e-5
22.5	3.882572e-5
23	2.99181e-5
23.5	5.048796e-5
24	4.783821e-5
24.5	5.934676e-5
25	3.666673e-5
25.5	3.933402e-5
26	2.654851e-5
26.5	2.150722e-5
27	3.807871e-5
27.5	3.651802e-5
28	5.746403e-5
28.5	2.180254e-5
29	1.641878e-5
29.5	1.888446e-5
30	1.844502e-5
30.5	4.110399e-5
31	2.26625e-5
31.5	1.997646e-5
32	8.987661e-6
32.5	1.131743e-5
33	1.985343e-5
33.5	3.466378e-5
34	2.762774e-5
34.5	1.925652e-5
35	1.814437e-5
35.5	7.818437e-6
36	2.860051e-5
36.5	2.589702e-5
37	3.465714e-5
37.5	2.528895e-5
38	2.331538e-5
38.5	3.060546e-5
39	2.953346e-5
39.5	4.803278e-5
40	3.231863e-5
40.5	3.547337e-5
41	2.311683e-5
41.5	2.515249e-5
42	5.052254e-5
42.5	4.045653e-5
43	4.711693e-5
43.5	2.976485e-5
44	3.528412e-5
44.5	4.384653e-5
45	4.945408e-5
45.5	4.945953e-5
46	3.350048e-5
46.5	4.277409e-5
47	3.967095e-5
47.5	5.129347e-5
48	5.145597e-5
48.5	4.268488e-5
49	4.868537e-5
49.5	3.636657e-5
50	6.07777e-5
50.5	4.901758e-5
51	4.877572e-5
51.5	4.492456e-5
52	3.698624e-5
52.5	4.186596e-5
53	4.203879e-5
53.5	5.225458e-5
54	4.478125e-5
54.5	3.97439e-5
55	3.964937e-5
55.5	3.411358e-5
56	4.707056e-5
56.5	3.887822e-5
57	4.110984e-5
57.5	3.799716e-5
58	3.448014e-5
58.5	4.296788e-5
59	3.402893e-5
59.5	4.245244e-5
60	3.16278e-5
60.5	3.58625e-5
61	3.082721e-5
61.5	3.077761e-5
62	4.301282e-5
62.5	2.92757e-5
63	3.754814e-5
63.5	2.587979e-5
64	2.732559e-5
64.5	3.48437e-5
65	2.974494e-5
65.5	3.490276e-5
66	1.957634e-5
66.5	2.934364e-5
67	2.562045e-5
67.5	3.240029e-5
68	3.153747e-5
68.5	2.49946e-5
69	2.912007e-5
69.5	1.525134e-5
70	3.064696e-5
70.5	2.510993e-5
71	2.606652e-5
71.5	2.959897e-5
72	1.884658e-5
72.5	2.532201e-5
73	2.139445e-5
73.5	3.057587e-5
74	2.376846e-5
74.5	2.445784e-5
75	2.137791e-5
75.5	1.710238e-5
76	2.871528e-5
76.5	1.891003e-5
77	2.821253e-5
77.5	1.719365e-5
78	2.063075e-5
78.5	2.782663e-5
79	1.975879e-5
79.5	2.917974e-5
80	1.607984e-5
80.5	2.489088e-5
81	1.780415e-5
81.5	2.178721e-5
82	2.709086e-5
82.5	1.925392e-5
83	2.412399e-5
83.5	1.213894e-5
84	2.336894e-5
84.5	2.194256e-5
85	2.22793e-5
85.5	2.343535e-5
86	1.139034e-5
86.5	2.260597e-5
87	1.652067e-5
87.5	2.312775e-5
88	1.976822e-5
88.5	2.006337e-5
89	1.819352e-5
89.5	1.197745e-5
90	2.454142e-5
90.5	1.446462e-5
91	2.355823e-5
91.5	1.366678e-5
92	1.405093e-5
92.5	1.979455e-5
93	1.336029e-5
93.5	2.418739e-5
94	1.123151e-5
94.5	1.795675e-5
95	1.400705e-5
95.5	1.656542e-5
96	2.009733e-5
96.5	1.102568e-5
97	1.995595e-5
97.5	5.742683e-6
98	1.523492e-5
98.5	1.464141e-5
99	1.538005e-5
99.5	1.829567e-5
100	1.070443e-5
100.5	1.433123e-5
101	8.413081e-6
101.5	1.602954e-5
102	1.306778e-5
102.5	1.584738e-5
103	1.327533e-5
103.5	5.325765e-6
104	1.858875e-5
104.5	9.897818e-6
105	1.790919e-5
105.5	1.005512e-5
106	8.749495e-6
106.5	1.256591e-5
107	9.384381e-6
