Source File Name:	11,1
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
10	9.507258e-5	65.13152
10.5	9.643377e-5	51.72943
11	9.477109e-5	36.63892
11.5	9.772857e-5	22.43984
12	9.625663e-5	7.78146
12.5	9.709921e-5	-7.338536
13	9.717122e-5	-21.05927
13.5	9.683136e-5	-36.15547
14	9.809043e-5	-49.88104
14.5	9.659852e-5	-64.73833
15	9.754518e-5	-79.13455
15.5	9.604942e-5	-92.9832
16	9.77904e-5	-108.1184
16.5	9.67962e-5	-122.0486
17	9.656901e-5	-137.2908
17.5	9.716702e-5	-151.164
18	9.526124e-5	-166.0724
18.5	9.662484e-5	179.2488
19	9.491292e-5	164.8999
19.5	9.56211e-5	149.4492
20	9.469399e-5	135.713
20.5	9.440227e-5	120.1785
21	9.508542e-5	106.3709
21.5	9.41438e-5	91.15168
22	9.498036e-5	76.49391
22.5	9.391024e-5	62.27008
23	9.475584e-5	46.95627
23.5	9.461494e-5	33.0027
24	9.461776e-5	17.6146
24.5	9.495397e-5	3.571644
25	9.441444e-5	-11.2576
25.5	9.512437e-5	-25.75665
26	9.448467e-5	-40.05802
26.5	9.49134e-5	-55.02205
27	9.452861e-5	-68.85751
27.5	9.432428e-5	-84.25349
28	9.469353e-5	-98.12997
28.5	9.375945e-5	-112.9462
29	9.470928e-5	-127.4437
29.5	9.333933e-5	-141.7132
30	9.371447e-5	-156.7807
30.5	9.318795e-5	-170.8079
31	9.276874e-5	174.1395
31.5	9.283733e-5	159.9421
32	9.188827e-5	144.9989
32.5	9.264183e-5	130.4442
33	9.163647e-5	115.7726
33.5	9.208149e-5	101.0091
34	9.171903e-5	86.60343
34.5	9.153888e-5	71.60243
35	9.176332e-5	57.35372
35.5	9.13556e-5	42.34496
36	9.15864e-5	27.85439
36.5	9.105126e-5	13.32611
37	9.145655e-5	-1.438486
37.5	9.112318e-5	-15.73107
38	9.107453e-5	-30.63161
38.5	9.120038e-5	-45.02921
39	9.073654e-5	-59.59879
39.5	9.073444e-5	-74.08275
40	9.049837e-5	-88.60286
40.5	9.033856e-5	-103.253
41	8.982013e-5	-117.6081
41.5	8.957099e-5	-132.3923
42	8.937415e-5	-146.8175
42.5	8.915367e-5	-161.7153
43	8.882338e-5	-176.1335
43.5	8.855227e-5	169.3175
44	8.862522e-5	154.6899
44.5	8.815047e-5	140.0731
45	8.801585e-5	125.2621
45.5	8.754896e-5	110.8542
46	8.74308e-5	95.97866
46.5	8.730705e-5	81.53161
47	8.689381e-5	66.78053
47.5	8.70366e-5	52.1833
48	8.659181e-5	37.60168
48.5	8.650513e-5	22.9629
49	8.626044e-5	8.429626
49.5	8.605777e-5	-6.221963
50	8.610912e-5	-20.7646
50.5	8.580782e-5	-35.39319
51	8.572535e-5	-49.69535
51.5	8.532715e-5	-64.56741
52	8.521054e-5	-78.95039
52.5	8.49581e-5	-93.5502
53	8.457586e-5	-108.0086
53.5	8.450136e-5	-122.4421
54	8.399288e-5	-137.2536
54.5	8.364334e-5	-151.6992
55	8.336764e-5	-166.358
55.5	8.327031e-5	179.0015
56	8.28222e-5	164.5554
56.5	8.260078e-5	149.6885
57	8.233177e-5	135.3627
57.5	8.17717e-5	120.4737
58	8.168469e-5	105.8933
58.5	8.134076e-5	91.32956
59	8.123033e-5	76.58672
59.5	8.111347e-5	62.18103
60	8.087751e-5	47.45325
60.5	8.073721e-5	32.87938
61	8.031317e-5	18.29791
61.5	8.024688e-5	3.664497
62	7.993236e-5	-10.84578
62.5	7.998198e-5	-25.54121
63	7.967513e-5	-39.95368
63.5	7.934217e-5	-54.59869
64	7.913798e-5	-69.04055
64.5	7.842622e-5	-83.5588
65	7.86459e-5	-98.06314
65.5	7.815201e-5	-112.6453
66	7.786078e-5	-127.1708
66.5	7.746577e-5	-141.5606
67	7.697805e-5	-156.3339
67.5	7.682193e-5	-170.8183
68	7.631582e-5	174.4933
68.5	7.618871e-5	159.9457
69	7.575419e-5	145.3967
69.5	7.55438e-5	130.6935
70	7.512185e-5	116.3639
