Source File Name:	3,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
10	32.18158	2.31389
10.5	33.02542	-15.90987
11	33.82485	-33.0262
11.5	34.83389	-51.20386
12	35.79454	-70.74328
12.5	35.10891	-91.59791
13	37.28676	-109.9889
13.5	37.96424	-126.9269
14	39.07699	-150.0873
14.5	39.14529	-170.9036
15	41.80371	168.5133
15.5	40.99063	147.3303
16	41.61288	125.4486
16.5	42.41128	103.4874
17	43.40071	80.90945
17.5	44.4865	57.07089
18	45.13988	32.15688
18.5	44.61814	5.315719
19	45.61752	-23.81443
19.5	44.22017	-56.90324
20	39.45639	-89.88857
20.5	34.07621	-122.3683
21	26.64285	-154.5438
21.5	20.30486	176.2143
22	16.61602	137.7191
22.5	10.97791	126.8803
23	7.652046	70.09608
23.5	5.852879	59.28401
24	4.377072	30.12324
24.5	3.504653	-5.204402
25	2.96383	-28.12289
25.5	2.834486	-72.25024
26	3.214069	-102.7631
26.5	3.911743	-129.8708
27	4.272992	-152.5721
27.5	4.880181	-174.982
28	5.853798	163.6881
28.5	6.289467	141.0166
29	6.77651	119.2857
29.5	7.246412	99.23332
30	7.41217	78.41262
30.5	7.382552	59.56805
31	7.725365	40.66432
31.5	8.170307	24.04744
32	8.375676	3.023296
32.5	8.370664	-16.22225
33	8.441207	-36.12644
33.5	8.565855	-55.39875
34	8.473428	-75.51253
34.5	8.402513	-94.28866
35	8.107189	-114.2631
35.5	8.067024	-131.4079
36	7.807258	-150.4081
36.5	7.63981	-168.5572
37	7.475232	174.3759
37.5	7.04268	156.3682
38	7.112247	139.0335
38.5	6.626762	123.2479
39	6.403803	106.6093
39.5	6.079269	92.07014
40	5.874485	80.36835
40.5	5.834245	68.30653
41	6.167566	56.26313
41.5	6.521259	41.96942
42	7.003992	25.38762
42.5	7.440885	8.565862
43	7.63346	-9.102849
43.5	7.891346	-27.06404
44	8.214203	-43.6466
44.5	8.405152	-62.50754
45	8.655836	-80.533
45.5	8.885666	-97.20676
46	8.942789	-116.01
46.5	9.103104	-134.2137
47	9.19953	-150.7001
47.5	9.620195	-169.0763
48	9.722437	172.873
48.5	9.82153	155.4805
49	10.40703	140.0923
49.5	10.08737	120.1771
50	10.17511	102.3262
50.5	10.46731	85.00856
51	10.57871	67.67753
51.5	10.81954	49.49811
52	11.04633	31.66892
52.5	11.21175	14.1985
53	11.14187	-4.28613
53.5	11.4442	-20.91921
54	11.47762	-38.72937
54.5	11.65372	-56.44114
55	12.03733	-74.8347
55.5	12.06769	-91.79169
56	12.31578	-109.8558
56.5	12.45479	-127.4851
57	12.67699	-144.6632
57.5	12.87667	-162.2549
58	13.28869	-179.6901
58.5	13.60035	162.5632
59	13.80413	144.1313
59.5	14.12786	126.3305
60	14.35474	108.6095
60.5	14.54885	90.40373
61	14.76862	73.04981
61.5	15.04624	55.58546
62	15.37423	37.15062
62.5	15.53076	19.40216
63	15.72626	2.205605
63.5	16.17964	-15.81945
64	16.43177	-33.57378
64.5	16.79707	-51.61699
65	17.05623	-69.80836
65.5	17.30853	-87.64075
66	17.53906	-105.2113
66.5	17.9713	-123.0577
67	18.249	-140.6413
67.5	18.70784	-158.8002
68	19.06981	-176.6343
68.5	19.54295	165.429
69	19.84445	146.878
69.5	20.23687	129.2559
70	20.50177	111.1081
70.5	20.92037	93.45985
71	21.40153	75.25435
71.5	21.73291	57.5401
72	22.26268	39.43705
72.5	22.73178	21.54353
73	23.216	3.271927
73.5	23.75898	-15.55229
