Source File Name:	4,4
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
10	5.000078	172.9704
10.5	4.210866	152.7743
11	4.370299	148.6145
11.5	4.307814	115.1744
12	2.236526	124.6146
12.5	3.897995	67.06313
13	4.982858	110.9618
13.5	2.752357	86.2252
14	4.199398	49.77636
14.5	4.068794	32.57386
15	3.981866	15.61359
15.5	3.734636	6.832142
16	4.580557	-14.45498
16.5	4.145645	-23.29982
17	4.332084	-42.26809
17.5	3.816896	-65.1926
18	3.749	-72.59978
18.5	7.058293	-135.1656
19	0.9739011	-102.487
19.5	4.388097	-151.0616
20	2.632101	-153.0057
20.5	3.002839	-137.584
21	1.677588	-108.192
21.5	2.902281	164.7393
22	1.963132	-169.1543
22.5	1.105765	145.4786
23	2.388431	150.0995
23.5	2.125012	133.5478
24	1.866802	119.8447
24.5	2.699173	100.5383
25	3.008536	83.50169
25.5	2.589754	69.19376
26	2.22278	63.00142
26.5	2.568545	39.3686
27	2.219165	32.67121
27.5	2.559681	15.3186
28	2.533294	-4.872611
28.5	2.66318	-21.25391
29	2.473471	-38.51534
29.5	2.565609	-55.29409
30	2.691197	-71.32423
30.5	2.869527	-86.25145
31	3.408417	-98.17326
31.5	3.237724	-126.6099
32	3.071904	-141.7525
32.5	3.389549	-155.7072
33	3.42452	-173.9375
33.5	3.51398	169.2279
34	3.731834	153.1458
34.5	3.794609	133.0891
35	3.556244	110.3107
35.5	3.355502	93.72315
36	3.096161	71.45615
36.5	2.781123	54.68794
37	2.556275	29.07105
37.5	1.956568	17.53194
38	1.665699	-10.47355
38.5	1.300708	-8.734455
39	1.287792	-20.55689
39.5	1.219648	-31.14189
40	1.049655	-38.54831
40.5	1.061088	-43.56761
41	0.9791522	-49.97637
41.5	1.26396	-58.15347
42	1.122458	-81.92301
42.5	1.307379	-92.71659
43	1.016369	-101.3492
43.5	1.185688	-111.1363
44	0.9954288	-127.4159
44.5	1.291262	-131.1227
45	1.091407	-154.8583
45.5	1.081249	-151.6904
46	1.058158	-159.0716
46.5	1.343676	-165.1127
47	1.377212	-174.199
47.5	1.84299	170.2764
48	1.893426	150.1589
48.5	2.043175	140.8094
49	2.627481	133.7281
49.5	2.166755	110.0438
50	2.352459	95.84547
50.5	2.630871	75.33738
51	2.585954	60.95932
51.5	3.182836	41.72178
52	2.735974	21.09708
52.5	2.773597	10.01756
53	2.920671	-3.338986
53.5	2.990723	-15.19543
54	3.129759	-34.25757
54.5	2.908077	-46.4154
55	3.144055	-66.94094
55.5	2.908416	-76.89545
56	3.040229	-91.4291
56.5	3.217571	-107.1927
57	3.272615	-122.2148
57.5	3.455117	-137.3386
58	3.540095	-151.8916
