Source File Name:	7,1,4
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	4.190553	-11.7295
20.5	6.042857	-47.42392
21	7.671605	-82.27121
21.5	10.36335	-123.2584
22	12.18889	-156.9605
22.5	13.42163	172.5577
23	14.38333	132.2002
23.5	13.44851	111.6538
24	13.32441	85.57613
24.5	13.86116	64.08976
25	11.85656	44.7606
25.5	12.03221	17.12571
26	11.21708	0.7941969
26.5	11.33612	-19.16975
27	10.41261	-38.41631
27.5	10.58622	-55.02065
28	10.32037	-75.08585
28.5	10.23398	-94.90956
29	10.17838	-114.7251
29.5	10.09282	-130.5022
30	9.819744	-149.231
30.5	9.06103	-166.7101
31	9.247419	177.953
31.5	8.9863	155.9887
32	9.349415	141.5027
32.5	8.796463	121.4233
33	8.532702	105.1491
33.5	7.743606	79.40945
34	8.291029	71.45692
34.5	8.042858	54.19304
35	7.626974	39.63818
35.5	7.496087	20.4127
36	7.391216	-1.180371
36.5	7.10969	-13.16725
37	7.079476	-33.39058
37.5	6.746089	-46.18626
38	6.369076	-63.84933
38.5	5.921058	-82.78214
39	5.93787	-101.58
39.5	5.610854	-116.0136
40	5.300466	-133.4915
40.5	5.294102	-147.7416
41	4.73701	-165.3898
41.5	4.678469	179.7045
42	4.462622	165.9621
42.5	4.156747	150.1575
43	4.16263	130.6197
43.5	3.841456	112.3589
44	3.716154	96.04544
44.5	3.588677	72.656
45	3.058157	65.21032
45.5	3.101033	46.53891
46	2.537069	22.94124
46.5	2.425369	2.025324
47	1.968071	-22.67339
47.5	1.905435	-40.97755
48	1.52511	-59.52205
48.5	0.8996605	-70.65955
49	1.56181	-87.83289
49.5	0.8010288	-64.08784
50	0.9569811	125.4655
50.5	1.232601	90.53637
51	1.349896	40.15632
51.5	1.558822	37.67647
52	1.590661	13.03756
52.5	2.389923	-9.74229
53	2.645142	-30.93407
53.5	3.013847	-43.70753
54	3.55678	-67.32088
54.5	3.941883	-79.50242
55	3.956321	-93.60872
55.5	4.796561	-117.7213
56	4.785811	-135.7065
56.5	5.11766	-153.3845
57	5.607826	-173.0618
57.5	5.875706	171.4625
58	6.213934	155.0432
58.5	6.552229	136.0463
59	6.585647	122.4297
59.5	6.866719	100.3016
60	7.233227	86.0738
60.5	7.546056	66.53918
61	7.883173	53.03432
61.5	8.541738	34.50166
62	8.263208	17.86266
62.5	8.741146	1.391992
63	8.996581	-17.53766
63.5	9.163099	-31.73738
64	9.802667	-52.31645
64.5	9.750257	-67.96988
65	10.4053	-85.74479
65.5	10.29385	-103.8685
66	10.93566	-119.2558
66.5	10.60544	-136.8896
67	10.96593	-155.0633
67.5	11.1786	-172.7321
68	11.26923	169.8562
68.5	11.91063	153.8137
69	11.96406	137.0804
69.5	12.26395	120.0232
70	12.39708	100.0237
70.5	12.34721	82.77814
71	12.52984	66.08566
71.5	12.92949	47.48787
72	12.63465	30.67031
72.5	12.89272	12.93318
73	13.16823	-4.110882
73.5	13.46373	-20.94466
74	13.01198	-38.98235
74.5	13.29347	-57.32319
75	13.00923	-75.26994
75.5	13.28924	-92.44255
76	13.76782	-110.0405
76.5	13.0763	-127.0055
77	13.32549	-144.6802
77.5	13.13784	-163.2
78	13.32648	179.059
78.5	13.25214	161.1117
79	13.57946	143.5233
79.5	12.90028	123.1236
80	12.8705	108.1372
80.5	13.62212	90.14768
81	13.0036	71.68428
81.5	13.1416	54.77682
82	12.74631	34.81701
82.5	12.45354	17.11403
83	12.854	-1.550992
83.5	12.76519	-17.919
84	12.35313	-36.42964
84.5	12.24381	-54.71749
85	11.91561	-74.51517
85.5	11.88958	-93.89277
86	11.837	-111.1556
86.5	11.73153	-130.3739
87	11.16973	-149.7856
87.5	11.31044	-168.459
88	11.54039	171.9047
88.5	10.98092	151.8965
89	10.70925	134.5551
89.5	9.976601	113.1243
90	10.0358	94.3548
90.5	10.37325	73.87177
91	9.724772	57.01695
91.5	9.672864	36.7947
92	9.14564	16.23322
92.5	8.955826	-7.639023
93	8.95435	-30.43043
93.5	8.228445	-47.40434
94	8.077396	-69.71442
94.5	7.426439	-91.32343
95	7.644213	-112.5822
95.5	7.307642	-136.2574
96	7.06652	-155.3226
96.5	6.404981	-179.2489
97	6.231935	156.3639
97.5	6.166094	133.9497
98	6.050339	113.2229
98.5	5.900022	89.49531
99	5.114963	62.02814
99.5	4.61402	38.81232
100	5.212133	11.17689
100.5	4.55297	-12.3566
101	4.408084	-35.22248
101.5	4.180017	-62.50951
102	3.926752	-91.2439
102.5	3.958075	-114.9748
103	4.132006	-140.3232
103.5	3.86023	-168.016
104	3.928996	157.1406
104.5	3.612116	133.8907
