Source File Name:	2,1,2
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	13.46819	-102.9186
20.5	12.02032	-114.7861
21	11.6882	-141.5355
21.5	9.042519	-157.5942
22	10.36052	177.9952
22.5	8.131944	177.3885
23	6.568923	141.5209
23.5	6.716768	151.4363
24	5.417842	135.448
24.5	7.014436	120.0348
25	6.503608	91.56399
25.5	4.807132	78.21432
26	7.845779	54.81255
26.5	6.923611	42.38876
27	3.694458	10.82844
27.5	3.790036	11.59194
28	3.572255	-10.58177
28.5	4.296517	-5.146597
29	5.367474	-17.11313
29.5	4.225654	-52.29596
30	2.249699	-47.71577
30.5	2.979288	-88.5016
31	2.268911	-72.49663
31.5	3.446651	-94.29965
32	3.164006	-119.6863
32.5	3.083265	-153.3893
33	0.5334762	-124.6954
33.5	1.901136	-164.0785
34	3.052022	-178.2916
34.5	3.966643	-173.5796
35	4.005986	-170.1781
35.5	3.551907	-161.5672
36	1.96707	152.001
36.5	3.717609	170.6548
37	3.696182	124.1012
37.5	3.541958	117.7516
38	3.972734	130.077
38.5	5.225828	113.4651
39	4.143704	78.39478
39.5	4.433067	76.19467
40	6.640908	56.88247
40.5	6.551376	23.74793
41	5.026756	-15.67724
41.5	5.273102	-6.083728
42	5.344402	1.823662
42.5	6.438154	-31.09836
43	9.13907	-38.28775
43.5	8.28622	-53.89643
44	8.376516	-84.0283
44.5	8.753963	-89.75019
45	8.973443	-132.5331
45.5	10.43182	-136.3432
46	9.06737	-163.987
46.5	7.611331	-179.0038
47	8.545438	161.5289
47.5	9.523246	147.3522
48	8.183825	124.926
48.5	7.297788	118.7755
49	10.00217	117.3273
49.5	8.611198	78.56869
50	6.186505	68.93606
50.5	7.816083	46.22752
51	9.252334	36.87512
51.5	10.17701	19.86298
52	8.301204	22.37163
52.5	5.874979	-36.51456
53	6.383288	-32.56099
53.5	6.519897	-34.2943
54	8.310972	-69.99622
54.5	5.803083	-62.18723
55	6.691781	-86.02074
55.5	7.299016	-102.0809
56	5.830585	-105.4042
56.5	7.159213	-123.2396
57	8.386669	-139.3442
57.5	6.742927	-147.689
58	8.109436	-172.9433
58.5	7.084159	156.0618
59	9.009428	166.4881
59.5	7.724347	164.3456
60	7.0613	123.9794
60.5	9.069845	125.3424
61	6.89977	109.7802
61.5	7.50375	83.01743
62	8.590434	74.8436
62.5	9.136923	50.57779
63	8.871589	36.72731
63.5	7.529123	34.94611
64	10.97667	11.56081
64.5	8.788241	-3.196714
65	9.099294	-15.1193
65.5	11.64586	-21.82005
66	10.25193	-47.9018
66.5	12.99407	-61.21378
67	12.59999	-78.12866
67.5	14.15367	-93.99582
68	13.12478	-103.6053
68.5	13.68443	-128.8945
69	14.50004	-147.3562
69.5	13.88503	-156.3304
70	15.41072	177.7426
70.5	17.31507	168.0564
71	16.10983	147.4128
71.5	16.78751	125.1061
72	15.77876	115.8005
72.5	16.56474	92.90329
73	18.67222	75.31985
73.5	18.52326	59.13587
74	18.81301	43.46315
74.5	20.2123	22.53727
75	20.00088	3.300326
75.5	18.16549	-13.23469
76	20.96939	-36.70451
76.5	20.75587	-46.75177
77	20.24378	-72.17281
77.5	22.3886	-90.07621
78	20.2034	-113.274
78.5	19.07322	-134.4224
79	21.28648	-149.3661
79.5	19.54331	-168.2625
80	19.26465	167.6318
80.5	17.95728	143.6777
81	17.19873	126.6188
81.5	16.93122	106.9419
82	14.06915	93.4247
82.5	11.71717	62.20736
83	13.04955	44.41613
83.5	10.86948	16.14741
84	8.740414	4.225465
84.5	7.774171	-6.723432
85	5.650751	-35.17233
85.5	4.075944	-61.41225
86	4.482882	-42.73063
86.5	1.587997	-70.5613
87	0.8337134	-56.1751
87.5	1.741822	-46.83494
88	2.50839	-91.37372
88.5	1.944972	-67.15191
89	0.3355179	-45.3642
89.5	3.06163	-39.51163
90	2.611055	-45.1286
90.5	1.974304	-67.53068
91	3.072977	-59.49808
91.5	4.536427	-103.2591
92	5.1971	-125.0228
92.5	6.156579	-127.9696
93	4.994619	-140.2396
93.5	7.532876	-167.4289
94	8.13519	-169.7135
94.5	8.641829	159.7321
95	9.441531	142.4708
95.5	8.685405	128.6994
96	11.34722	108.7171
96.5	9.078299	90.59624
97	9.958557	64.17548
97.5	10.57944	47.46955
98	10.89462	25.58345
98.5	10.58991	12.30882
99	6.918911	-11.90019
99.5	12.1962	-26.70496
100	8.162848	-48.75422
100.5	9.184613	-52.10941
101	8.675606	-71.90717
101.5	10.263	-83.50392
102	6.611432	-95.34152
102.5	8.291685	-123.4086
103	9.79517	-133.0514
103.5	4.595073	-146.6603
104	8.696382	-162.599
104.5	6.750381	174.3585
105	7.292188	154.46
105.5	7.406574	152.2139
106	7.472251	132.9458
106.5	7.956017	119.6352
107	6.132273	104.521
107.5	7.654905	86.73798
108	5.494744	62.09031
108.5	6.612934	68.23639
109	5.541861	40.58615
109.5	7.657018	34.81603
110	6.433833	28.18986
110.5	7.699276	1.874962
111	4.123145	-7.689934
111.5	7.637563	-10.89814
112	6.592317	-31.91647
112.5	5.430555	-42.60764
113	8.554681	-72.21796
113.5	10.22017	-86.05662
114	8.949085	-101.7612
114.5	9.075959	-100.2685
115	9.436087	-138.0657
115.5	6.74473	-151.2569
116	8.786294	-171.3699
116.5	10.39629	171.652
117	7.223995	161.8777
117.5	9.99442	140.078
118	8.810124	121.0305
118.5	8.589499	90.63082
119	6.988161	93.19027
119.5	7.970628	63.4516
120	6.053586	42.26019
120.5	5.102393	35.81603
121	7.179627	-2.089808
121.5	7.252155	17.43283
122	5.480542	-5.940744
122.5	5.500731	0.5839357
123	4.281427	-12.18007
123.5	7.073471	-44.06709
124	5.408535	-55.25406
124.5	4.559805	-82.52518
125	8.550254	-72.09709
125.5	5.216648	-114.1511
126	5.581141	-108.8755
126.5	6.159169	-124.4489
127	6.001108	-149.5372
127.5	6.387364	-176.4347
128	6.142492	172.7948
128.5	5.993055	168.1927
129	6.905296	127.9877
129.5	8.260494	128.3842
130	8.301187	91.52439
130.5	6.180488	81.8334
131	5.525945	40.50848
131.5	5.72997	68.61943
132	5.630803	40.86893
132.5	6.594516	-0.09301868
133	5.120875	-14.64044
133.5	5.530254	-14.98358
134	3.4191	-64.40484
134.5	4.689905	-83.62705
135	3.526345	-85.20251
135.5	2.771735	-167.6728
136	3.636531	-148.5615
136.5	0.7768491	-125.1376
137	1.386369	-136.0512
137.5	1.341113	-12.92453
138	1.281148	38.46754
138.5	1.613048	6.546877
139	1.370003	-107.9151
139.5	1.186014	-152.961
140	2.480617	-78.10045
140.5	3.799213	-118.8838
141	2.429837	163.8502
141.5	3.576679	-171.6027
142	3.135708	136.4155
142.5	3.617303	118.5086
143	2.625535	134.2309
143.5	2.311391	90.19777
144	2.192503	80.8027
144.5	1.983861	6.730033
145	4.406625	61.74923
145.5	0.904194	166.1554
146	0.5773383	113.141
146.5	3.157349	55.72506
147	0.1830896	-29.53793
147.5	1.886527	-1.671708
148	1.173885	41.11266
148.5	3.57784	-9.478025
149	1.603367	-70.0972
149.5	1.821587	18.26515
150	0.7004018	-20.8611
150.5	4.990868	-59.564
151	3.116621	-102.1623
151.5	1.784664	-111.1937
152	5.419284	-98.33294
152.5	4.236069	-129.6654
153	3.813056	-157.511
153.5	2.577587	-149.3302
154	4.218269	-161.6589
154.5	5.451331	157.1982
155	5.468334	130.2787
155.5	2.981733	135.5965
156	1.564367	71.95643
156.5	5.656828	91.9527
157	2.817789	72.27442
157.5	2.460544	45.58941
158	2.948401	6.450227
158.5	2.469995	42.22315
159	3.631027	28.89933
159.5	0.9380301	-23.56173
160	1.125484	-21.03281
160.5	1.855469	26.39567
161	3.796018	-33.42859
161.5	4.109584	-22.7628
162	4.556191	-41.44342
162.5	6.336201	-53.18617
163	2.915233	-48.52596
163.5	6.020471	-113.6524
164	5.409285	-123.756
164.5	5.404262	-141.3808
165	3.330511	-146.0944
165.5	4.590066	170.7558
166	5.068098	-178.6916
166.5	5.039484	138.1115
167	4.498435	113.6068
167.5	5.485016	99.43635
168	2.924396	113.3183
168.5	4.002598	59.30579
169	3.493345	59.0083
169.5	4.043394	12.52925
170	1.938833	-9.012549
170.5	4.59174	50.60571
171	2.924763	1.185186
171.5	2.983962	-53.39997
172	1.467812	-74.07729
172.5	2.517219	-10.22276
173	2.112387	22.34348
173.5	3.455368	-49.59203
174	2.460623	-53.69163
174.5	0.8391579	-175.6485
175	3.544177	-63.36621
175.5	2.746123	-105.5217
176	3.065737	-124.8913
176.5	1.671646	-96.50327
177	2.520433	-130.5186
177.5	3.307744	-139.9966
178	4.535124	179.6842
178.5	3.430423	158.8418
179	1.726566	141.9951
179.5	5.977708	131.899
180	3.404811	96.55832
180.5	4.395031	83.67561
181	2.851247	92.53427
181.5	4.604602	46.90266
182	1.659478	60.44243
182.5	1.947701	90.1824
183	1.624775	36.19234
183.5	1.149027	9.065168
184	1.918273	32.41235
184.5	1.904279	23.2404
185	3.281954	-32.90823
185.5	3.048846	-30.81483
186	2.779002	-8.508803
186.5	3.825524	-41.47194
187	3.424321	-98.92251
187.5	4.885207	-125.9194
188	3.612064	-117.0784
188.5	6.203374	-117.912
189	5.215303	-129.6684
189.5	4.248015	-166.6359
190	2.576942	166.7359
190.5	4.466005	174.7867
191	4.191947	153.2837
191.5	4.197747	114.4319
192	5.240602	112.549
192.5	3.703699	118.6113
193	4.477424	48.65696
193.5	4.068902	47.69821
194	4.070682	32.36748
194.5	3.732327	27.77069
195	6.039382	-26.00639
195.5	5.317443	-34.09106
196	2.501222	0.682852
196.5	2.327613	-69.07748
197	4.033197	-77.80498
197.5	2.550315	-123.0635
198	3.944257	-46.64972
198.5	2.077339	111.5701
199	2.410637	-121.562
199.5	1.394666	-59.98522
200	2.227065	-148.4979
200.5	0.9032883	-146.8873
201	1.787452	-135.5701
201.5	3.067097	158.3151
202	1.098873	141.9342
202.5	1.005241	142.8212
203	2.987722	135.0626
203.5	2.699933	124.0101
204	3.454074	46.94367
204.5	2.777645	80.43977
205	0.3686498	-114.5057
205.5	0.6734231	0.1538983
206	0.4663807	-178.4111
206.5	0.644891	170.7005
207	3.101383	71.03928
207.5	0.2195213	73.44386
208	1.590097	62.28392
208.5	2.091979	15.31634
209	1.285524	-63.68619
209.5	2.078163	-30.12385
210	3.001652	-3.011918
210.5	2.212666	-72.87067
211	1.903928	-120.2977
211.5	1.943212	-101.61
212	2.976913	-109.7757
212.5	2.836458	-139.8611
213	0.7991661	-131.1623
213.5	0.7794069	25.45879
214	2.336062	-142.9146
214.5	2.201538	161.8031
215	1.725817	163.1036
215.5	2.106251	178.1294
216	0.8326213	160.8294
216.5	1.175935	-170.4127
217	1.895125	103.2951
217.5	2.468244	56.91366
218	1.280851	-7.504128
218.5	1.37967	138.6618
219	1.234939	10.61983
219.5	2.830151	-5.936325
220	1.619791	31.67752
220.5	1.74762	106.5284
221	1.73052	65.21122
221.5	2.494292	-28.65129
222	1.783197	-2.982442
222.5	1.478811	-45.15622
223	3.254555	-18.22568
223.5	3.566013	-63.27411
224	3.60543	-89.33094
224.5	2.51394	-109.5873
225	0.678494	89.34947
225.5	1.888274	-154.7735
226	2.317776	-116.4939
226.5	0.26366	-35.89233
227	3.121973	125.6245
227.5	2.267948	177.5555
228	0.9090611	-163.0486
228.5	2.630332	-178.896
229	2.857652	110.9408
229.5	1.015894	138.1833
230	3.966494	80.6283
230.5	3.634231	91.21562
231	2.635776	64.65793
231.5	2.520943	70.42525
232	1.827764	29.4239
232.5	2.533688	-11.82736
233	3.364069	-3.010395
233.5	2.00249	-108.305
234	2.210861	-96.93838
234.5	3.989795	-61.02958
235	3.603801	-101.3743
235.5	1.477258	-114.5829
236	1.474287	-94.05218
236.5	1.178788	-117.7014
237	1.818871	-177.5233
237.5	1.253772	169.0347
238	1.435921	-164.7087
238.5	1.305192	21.016
239	2.127704	140.2862
239.5	0.9597051	176.8615
240	1.541105	-162.2083
240.5	0.5993771	-34.41853
241	0.5772794	125.3204
241.5	0.5263296	103.9559
242	1.63104	169.3428
242.5	1.875519	100.851
243	1.491263	63.51801
243.5	3.188704	38.61699
244	2.824791	74.58502
244.5	1.172648	46.67962
245	2.805735	-48.62636
245.5	2.121083	-22.87573
246	1.258465	-115.5009
246.5	1.485923	-26.93235
247	1.634442	-76.30392
247.5	1.444185	136.4992
248	1.74137	126.0732
248.5	1.062377	-24.33023
249	1.592777	-160.8513
249.5	0.7977949	-128.3753
250	0.6838163	-61.98944
250.5	0.6134133	142.49
251	1.681697	-166.3259
251.5	1.469033	-97.92414
252	0.6242076	133.5072
252.5	1.357849	146.5396
253	1.284611	-176.2987
253.5	1.492148	151.1457
254	2.969024	167.5456
254.5	1.186403	109.2778
255	0.8214288	84.90117
255.5	1.902626	160.748
256	2.647707	89.80721
256.5	3.007216	42.96939
257	1.614169	-5.03019
257.5	1.445184	-18.50607
258	2.6203	-29.02153
258.5	1.512917	66.50805
259	2.166257	-76.75795
259.5	1.018612	-117.4417
260	1.42127	-112.4941
260.5	1.034489	-131.911
261	1.45379	-2.987096
261.5	2.772893	25.09808
262	0.2276476	0.04070254
262.5	1.456793	-108.6244
263	1.939397	-78.92104
263.5	2.222792	-157.5683
264	3.192332	-91.11475
264.5	2.532642	-149.8334
265	2.007868	167.4424
265.5	3.998549	157.0834
266	2.944595	131.3624
266.5	3.193032	112.7921
267	1.392195	92.35407
267.5	3.829937	76.36533
268	3.162711	71.51881
268.5	2.538133	66.55798
269	2.527427	48.04245
269.5	2.084008	-0.2677993
270	1.65469	2.769099
270.5	3.465251	-53.3289
271	3.998622	-35.09074
271.5	1.957282	-46.80995
272	2.841817	-78.7856
272.5	2.265217	-109.9397
273	2.229173	-129.964
273.5	3.514738	-150.0379
274	0.8563585	-92.50201
274.5	1.213232	156.8007
275	2.675892	-178.1979
275.5	2.483144	172.73
276	1.059971	-153.8712
276.5	1.990891	145.8324
277	1.318019	96.60268
277.5	3.50704	123.5724
278	2.729925	98.66715
278.5	1.555152	116.3326
279	1.45001	-44.72804
279.5	2.627401	57.5216
280	3.792403	-6.906205
280.5	3.303977	-22.34432
281	0.5222102	5.177636
281.5	0.8852442	-17.97226
282	3.79975	-69.71058
282.5	1.410745	-106.3234
283	0.911065	-42.64807
283.5	3.067966	-59.0104
284	1.497026	-120.9336
284.5	1.542434	95.05853
285	0.2972896	-0.2313913
285.5	0.9478383	-128.473
286	1.7359	163.3093
286.5	0.1647929	167.3843
287	0.9520611	137.8714
287.5	1.688617	-163.7631
288	1.145594	-174.6046
288.5	0.706922	6.931472
289	2.427558	107.9547
289.5	2.228348	128.6362
290	2.137078	83.13588
290.5	0.4798098	-151.7839
291	2.17377	41.14543
291.5	1.75904	117.0086
292	3.028481	-21.40683
292.5	1.578988	23.99726
293	1.558014	33.47838
293.5	0.2745495	54.28757
294	2.251552	-47.76426
294.5	1.819999	-102.6849
295	1.153616	-90.30784
295.5	2.926528	-118.9384
296	1.838662	-131.3411
296.5	3.07896	171.4012
297	0.3826732	-157.1883
297.5	0.8485484	-129.8855
298	1.591926	175.0625
298.5	2.188761	145.8745
299	2.758399	81.45763
299.5	0.6015015	-141.7061
300	2.135258	66.95074
300.5	1.238828	48.81464
301	0.8106968	135.9767
301.5	1.364975	166.7407
302	2.204558	-65.75768
302.5	2.506153	-37.88863
303	0.352791	1.007828
303.5	0.9488778	116.7991
304	0.1995085	-23.67022
304.5	0.3922631	141.4987
305	1.562458	174.6573
305.5	1.527057	-29.07465
306	1.483327	-63.95144
306.5	0.2072931	-161.8719
307	1.523968	155.2515
307.5	2.529858	-88.8042
308	0.705364	-151.6028
308.5	1.138204	-150.1019
309	1.293772	100.1297
309.5	0.7274968	-28.92187
310	1.767943	21.967
310.5	0.989197	176.3226
311	1.215781	26.33579
311.5	1.647117	-157.0451
