Source File Name:	13,2,2
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	9.558035	98.08545
20.5	8.4999	67.11404
21	7.398695	50.93809
21.5	5.247732	43.07827
22	5.31488	13.1916
22.5	3.662678	-5.245973
23	4.890017	-28.24454
23.5	3.354491	-40.76367
24	2.955341	-49.56689
24.5	2.902784	-73.84245
25	2.568037	-89.3746
25.5	2.316171	-92.64259
26	1.880273	-105.2483
26.5	1.745206	-122.6726
27	1.623481	-148.9428
27.5	1.329842	-141.5585
28	1.675421	-153.0058
28.5	1.707659	-172.3381
29	1.937626	178.0768
29.5	1.92075	155.2767
30	1.211289	139.4057
30.5	1.516361	122.0024
31	1.580325	105.3545
31.5	1.386151	83.05135
32	1.271995	75.39737
32.5	1.547531	58.46442
33	1.573135	51.64402
33.5	2.002711	21.81283
34	0.9745267	-9.173464
34.5	1.00381	-26.89267
35	0.7983674	-27.71355
35.5	1.185806	-37.86626
36	1.065536	-84.35075
36.5	0.6513574	-71.42767
37	0.8117644	-90.09317
37.5	0.9150514	-132.8817
38	0.6821764	-154.28
38.5	0.5204644	141.5272
39	0.4167144	-146.7491
39.5	0.7984111	145.298
40	0.5768213	57.07981
40.5	0.4624821	31.78436
41	0.4511586	74.94098
41.5	0.2448994	-56.24939
42	0.5521384	-36.02919
42.5	0.6346609	-80.09151
43	0.3699605	-113.1123
43.5	0.5746163	-106.0052
44	0.6328941	-132.9932
44.5	0.511426	-100.5235
45	0.5153221	-163.3943
45.5	0.6581928	-174.2491
46	0.7768748	-177.0654
46.5	0.9238784	153.9376
47	0.9784756	161.9157
47.5	1.077218	119.3926
48	0.4473746	114.1231
48.5	0.7735834	112.0659
49	1.258803	92.99765
49.5	0.5938686	21.79128
50	1.019726	32.12416
50.5	1.191617	45.45398
51	1.347086	23.91838
51.5	1.333402	-22.05921
52	1.014798	-46.06277
52.5	1.345384	-29.85712
53	1.095213	-40.60844
53.5	1.22432	-70.59288
54	1.542367	-87.29652
54.5	1.284425	-114.9374
55	1.00316	-108.9744
55.5	1.499991	-141.0258
56	1.215426	-149.4023
56.5	1.123571	-156.3927
57	1.332631	-161.7471
57.5	1.549704	174.9557
58	1.105349	151.5552
58.5	1.469038	141.866
59	1.673051	120.8703
59.5	1.317074	108.0838
60	1.209572	97.74852
60.5	1.318467	70.44466
61	1.359917	73.54163
61.5	0.8966153	62.40229
62	1.373667	45.67722
62.5	1.67669	9.214647
63	1.0423	4.985137
63.5	1.020895	8.571198
64	1.214669	-20.86183
64.5	1.28061	-44.1014
65	1.112281	-31.45899
65.5	1.425187	-55.34207
66	1.660874	-75.7254
66.5	1.314571	-100.4076
67	1.158737	-104.028
67.5	1.085257	-113.0469
68	1.415722	-131.1845
68.5	1.005688	-152.9848
69	1.234838	-155.1945
69.5	1.419042	-159.6124
70	1.553889	-163.3093
70.5	1.310864	162.7896
71	1.333876	151.6531
71.5	1.311504	139.353
72	1.285297	140.6983
72.5	1.233032	115.6846
73	1.558601	105.3176
73.5	1.521646	103.8589
74	1.5284	85.82129
74.5	1.53516	74.03137
75	1.896297	55.48124
75.5	1.906253	48.72565
76	2.073084	29.25757
76.5	2.145759	11.22302
77	2.324441	3.136423
77.5	2.224095	-23.37181
78	2.304868	-36.92492
78.5	2.411425	-45.4903
79	2.656621	-62.70519
79.5	2.535624	-80.32002
80	2.68232	-90.72217
80.5	3.039058	-98.96887
81	2.907964	-126.668
81.5	2.813421	-142.7307
82	3.150947	-149.2294
82.5	3.389386	-166.8137
83	3.314812	173.5468
83.5	2.967999	161.5346
84	3.522801	155.0733
84.5	3.408991	129.6428
85	3.316672	113.4263
85.5	3.248963	106.6635
86	3.512697	90.516
86.5	3.589172	74.27621
87	3.487745	60.54559
87.5	3.54505	50.02385
88	3.381608	33.49169
88.5	3.812864	19.05625
89	3.908389	8.541557
89.5	3.633873	-3.550508
90	3.972847	-17.91076
90.5	3.885122	-29.21238
91	4.68611	-37.41608
