Source File Name:	8,1,2
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	17.91417	-106.3092
20.5	15.39686	-128.7978
21	14.51995	-169.6517
21.5	11.94203	171.8257
22	11.6312	146.1145
22.5	9.716649	115.7385
23	9.820694	101.2827
23.5	9.4937	79.26335
24	9.074493	66.498
24.5	9.215497	39.00108
25	9.128151	20.66751
25.5	8.163897	2.109975
26	8.307973	-17.05421
26.5	8.337932	-30.5969
27	8.325183	-45.34786
27.5	8.66119	-64.56474
28	8.767393	-82.03209
28.5	8.867881	-97.93275
29	8.917952	-116.3047
29.5	8.698886	-133.5946
30	8.811227	-151.6859
30.5	8.814603	-167.0015
31	8.685667	175.3136
31.5	8.759759	161.308
32	8.738986	144.8443
32.5	9.148079	128.5705
33	9.03663	112.054
33.5	10.23883	100.1719
34	9.046348	75.90854
34.5	9.04938	58.27143
35	9.300797	43.22403
35.5	9.662498	24.32432
36	9.460884	8.45875
36.5	9.527468	-9.904113
37	9.609111	-24.61382
37.5	9.459856	-40.82384
38	9.053066	-58.06372
38.5	9.107186	-77.05647
39	8.83804	-90.25987
39.5	8.492751	-110.0051
40	8.264531	-122.2994
40.5	8.355377	-139.9243
41	7.795317	-155.3939
41.5	7.533051	-172.4103
42	7.442818	173.7203
42.5	7.101702	158.0082
43	7.228298	143.5732
43.5	7.252659	128.2619
44	7.35549	111.3358
44.5	7.117072	101.5097
45	6.999798	84.31036
45.5	7.088412	70.67935
46	7.237345	53.18678
46.5	7.049855	40.44753
47	6.997766	18.5155
47.5	6.891512	5.095974
48	7.343152	-14.35805
48.5	6.876819	-28.03514
49	6.37893	-44.00509
49.5	6.783051	-65.90012
50	6.568976	-73.51576
50.5	6.336235	-89.08604
51	6.30954	-103.6716
51.5	6.43156	-121.7771
52	6.247283	-136.3265
52.5	6.33012	-152.6518
53	5.96077	-164.0804
53.5	5.803572	176.6312
54	5.527698	160.8422
54.5	5.508785	144.0053
55	5.055548	136.259
