Source File Name:	1,2,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	9.661507	-136.1501
20.5	8.592215	-147.1427
21	8.059392	176.632
21.5	7.754008	166.3763
22	7.353152	141.4857
22.5	7.214697	119.2033
23	7.988457	109.9499
23.5	6.143641	89.21581
24	6.724985	68.74988
24.5	6.771871	51.35793
25	7.119051	28.71407
25.5	6.156096	11.82796
26	6.51222	-9.855317
26.5	6.436444	-28.02699
27	7.466939	-46.65563
27.5	6.698189	-66.8364
28	7.119076	-86.0242
28.5	6.716448	-107.2204
29	6.495739	-127.28
29.5	7.512912	-153.4637
30	7.308829	-170.7815
30.5	5.822741	171.4563
31	4.846155	149.3176
31.5	4.76476	125.6222
32	4.999575	108.0324
32.5	3.188697	96.69243
33	2.482026	81.74896
33.5	2.669375	40.51469
34	2.684937	72.6552
34.5	2.278822	44.11294
35	3.263963	42.31723
35.5	2.35784	59.47844
36	3.38514	22.46311
36.5	2.118031	10.74091
37	3.54342	-36.12675
37.5	3.703448	-48.42774
38	3.037627	-34.10634
38.5	2.597329	-66.74387
39	2.469278	-83.82051
39.5	2.324707	-107.4915
40	3.075102	-130.0849
40.5	1.864457	-114.4848
41	3.978618	-160.4807
41.5	2.985983	-156.7558
42	2.367383	-175.2207
42.5	2.985039	159.4004
43	1.428441	174.8934
43.5	2.82639	119.7613
44	1.470906	100.9894
44.5	2.486433	58.94664
45	2.413061	73.28396
45.5	1.266805	57.70636
46	1.901906	36.77251
46.5	1.513844	-36.00332
47	1.427372	-68.29456
47.5	2.025603	-42.21191
48	2.405468	-114.6443
48.5	1.671343	-73.01958
49	1.30719	-154.8154
49.5	2.068054	155.9506
50	0.8076048	-158.6317
50.5	1.143638	100.0502
51	1.737747	105.7873
51.5	1.919539	104.4532
52	3.185485	65.912
52.5	2.517513	55.71156
53	3.645635	32.95618
53.5	2.850834	-4.332514
54	4.164218	-8.159595
54.5	4.234342	-34.14302
55	4.081369	-35.64976
55.5	3.833652	-60.43526
56	3.365025	-73.09595
56.5	3.546155	-109.0796
57	4.224758	-123.0063
57.5	4.932858	-142.1617
58	5.217859	-148.2974
58.5	6.173503	-171.8393
59	6.151391	-170.7407
59.5	6.113837	161.574
60	7.250902	149.3885
60.5	6.787666	132.1296
61	7.551197	116.4192
61.5	7.236633	98.43277
62	8.694896	84.29876
62.5	7.134136	64.44798
63	8.442974	46.85578
63.5	8.641395	27.66324
64	9.109797	12.24128
64.5	10.2916	2.703398
65	10.73138	-26.1723
65.5	12.13578	-37.06402
66	11.99096	-52.10836
66.5	12.64319	-68.87669
67	13.57865	-80.7882
67.5	12.93109	-102.4487
68	13.32926	-116.7668
68.5	14.45682	-140.3226
69	16.75977	-155.0887
69.5	17.12956	-171.6055
70	16.94119	167.969
70.5	16.91602	149.1148
71	17.62799	131.7654
71.5	19.84253	109.7348
72	20.32646	95.69976
72.5	21.67095	75.78024
73	21.496	61.42233
73.5	20.71998	40.71218
74	21.94046	20.29206
74.5	21.61707	0.07939819
75	22.66716	-19.69028
75.5	21.68321	-37.30218
76	22.36648	-56.85095
76.5	23.37633	-76.33492
77	21.30194	-94.56097
77.5	21.89013	-115.8964
78	21.47711	-131.4276
78.5	19.90813	-149.0858
79	20.14091	-168.9035
79.5	18.33925	174.1403
80	19.2219	158.0639
80.5	17.43394	144.2968
81	17.34512	126.782
81.5	17.70674	109.6742
82	17.21334	94.054
82.5	17.09172	76.26638
83	18.70353	56.62719
83.5	18.14632	42.97694
84	18.8265	23.53645
84.5	17.88485	6.163023
85	17.84414	-12.10533
85.5	18.89307	-30.26262
86	17.51371	-46.77845
86.5	17.6057	-69.80666
87	17.51452	-86.55861
87.5	16.74291	-105.0984
88	16.71438	-125.18
88.5	15.67282	-148.5938
89	16.33533	-160.3908
89.5	15.07488	174.5126
90	14.28937	157.9146
90.5	14.43529	136.4743
91	12.72471	122.6539
91.5	11.84856	102.9406
92	11.33723	80.76817
92.5	10.59712	62.37822
93	9.849174	46.75838
93.5	9.245291	20.78049
94	7.843162	4.842415
94.5	8.675988	-19.96811
95	6.311235	-32.80894
95.5	5.858354	-59.64382
96	5.913019	-69.41843
96.5	4.985728	-81.26404
97	3.454833	-110.0714
97.5	3.982805	-140.9068
98	4.07622	-144.5941
98.5	3.358977	-149.5644
99	2.16973	164.092
99.5	2.08448	150.0847
100	1.316076	120.816
100.5	1.080885	62.28307
101	2.055269	74.7264
101.5	1.026807	33.5327
102	1.375986	25.31775
102.5	1.66912	-88.81223
103	2.929487	-58.15771
103.5	1.117444	-78.73018
104	2.124135	-131.5828
104.5	1.285985	-166.0686
105	2.634666	-177.6518
105.5	1.857346	170.6011
106	2.093387	131.2616
106.5	2.931361	148.2216
107	1.635564	121.5806
107.5	2.245647	98.52052
108	2.031055	66.1384
108.5	3.055929	75.61065
109	1.607071	68.11781
109.5	2.096571	43.89691
110	1.44901	25.5349
110.5	2.291516	18.64561
111	0.8255573	13.81874
111.5	2.665427	-20.40578
112	3.417377	-35.96833
112.5	3.517796	-23.34468
113	2.418517	-43.45337
113.5	3.087502	-68.66071
114	3.245209	-70.48081
114.5	3.313277	-102.9347
115	4.432765	-113.2456
115.5	4.211532	-127.1545
116	4.261075	-148.2599
116.5	4.023977	-163.4956
117	3.545562	159.7808
117.5	4.877166	158.5473
118	4.01913	138.5314
118.5	4.307454	121.7576
119	2.997216	116.1364
119.5	4.123001	70.38055
120	4.568043	68.39735
120.5	3.202477	51.22576
121	3.610463	34.18672
121.5	2.858006	30.59139
122	2.765167	5.273256
122.5	2.04557	-12.93407
123	2.945088	-16.3756
123.5	3.368709	-23.03363
124	2.773242	-7.349745
124.5	2.047104	-49.93163
125	1.938412	-54.35316
125.5	2.322611	-60.01346
126	2.354178	-78.22449
126.5	3.54766	-87.02696
127	2.396418	-109.7622
127.5	3.424142	-125.6461
128	3.872887	-125.7623
128.5	4.217284	-159.1108
129	5.473188	-155.7568
129.5	4.065714	-178.4194
130	5.385115	169.3477
130.5	4.00082	149.3835
131	4.855914	118.1143
131.5	5.87521	117.9331
132	5.177844	108.0973
132.5	5.039413	88.47119
133	5.072388	73.67966
133.5	4.862453	44.01328
134	5.249525	33.64888
134.5	5.082278	10.03285
135	6.124161	-5.454375
135.5	6.281004	-8.145955
136	6.080795	-36.72645
136.5	6.289228	-55.00898
137	6.733351	-61.26176
137.5	5.890281	-82.71397
138	6.732213	-96.60046
138.5	5.972471	-112.4919
139	6.402816	-128.2619
139.5	5.749918	-143.2381
140	6.048944	-161.3068
140.5	5.213777	179.7738
141	5.97753	154.8272
141.5	6.188634	139.7479
142	5.898207	120.6943
142.5	6.503292	109.9865
143	6.518006	96.14915
143.5	5.736762	85.65813
144	5.774788	69.72318
144.5	5.6429	41.93885
145	6.105906	41.28428
145.5	5.840817	5.347934
146	6.60888	-2.14867
146.5	5.069201	-20.56996
147	4.790895	-38.99062
147.5	4.333779	-65.61093
148	4.782052	-77.85918
148.5	4.165398	-99.55812
149	5.092435	-108.2337
149.5	4.792042	-111.5605
150	4.496156	-128.4337
150.5	4.626131	-146.5812
151	3.89864	-179.0134
151.5	3.61902	-177.4996
152	3.364917	170.8006
152.5	3.601043	152.8167
153	3.295279	147.9922
153.5	2.879638	117.0038
154	2.97313	120.1555
154.5	2.918745	83.57549
155	2.832739	75.95269
155.5	2.518036	67.77704
156	2.496247	30.03934
156.5	2.89536	22.43075
157	3.607821	3.064317
157.5	3.455783	-3.31883
158	3.376532	-6.263947
158.5	2.861404	-12.91228
159	2.425759	-26.02257
159.5	1.698236	-24.40767
160	2.926917	-94.01229
160.5	2.598598	-78.6562
161	2.306205	-112.7934
161.5	2.294505	-116.9698
162	1.328591	-100.2306
162.5	2.529541	171.323
163	1.872054	-156.9533
163.5	1.969023	137.6097
164	2.735708	163.2278
164.5	2.241554	-179.5259
165	2.133849	135.6621
165.5	0.9427504	146.2575
166	0.9407497	97.54428
166.5	1.55462	117.7197
167	0.9983761	135.7695
167.5	0.7242184	22.36387
168	0.5460861	50.47252
168.5	0.6086115	90.73228
169	1.117382	-17.94808
169.5	1.447691	9.040165
170	1.346461	14.16691
170.5	0.8085153	3.204344
171	0.8389773	42.71323
171.5	1.310796	-87.41241
172	1.601197	-41.63875
172.5	1.420515	-56.25992
173	1.67912	-19.99564
173.5	1.979358	-26.60487
174	0.484003	15.50042
174.5	0.770883	-33.62059
175	0.4391536	154.1322
175.5	0.9831542	-137.2258
176	1.742192	-113.9
176.5	0.8990852	-110.2336
177	0.9171906	-79.26367
177.5	0.207204	57.207
178	0.824459	145.1715
178.5	1.687768	177.089
179	1.487945	161.9663
179.5	1.734235	139.5435
180	1.916084	170.7895
180.5	0.6110594	-177.285
181	0.9612857	104.4864
181.5	1.310442	119.9017
182	0.9627822	119.8075
182.5	1.754466	103.2184
183	0.4670675	51.18074
183.5	1.678419	47.18528
184	1.352895	19.41792
184.5	1.549727	-0.3698803
185	2.599313	30.34
185.5	2.043549	21.91392
186	2.115761	-18.11181
186.5	1.969971	-37.35873
187	1.774264	-47.2717
187.5	2.554026	-76.81969
188	2.896531	-73.16487
188.5	1.154212	-72.14329
189	1.443711	-108.6347
189.5	2.123335	-97.88165
190	1.955429	-129.7143
190.5	2.572131	-150.949
191	1.879573	175.0652
191.5	2.741775	-169.9454
192	1.974466	167.7992
192.5	2.747762	150.4248
193	3.124074	142.1871
193.5	1.47675	128.4358
194	2.761552	115.5074
194.5	2.474438	83.79853
195	3.006928	75.29282
195.5	2.489053	56.05665
196	2.593571	59.9739
196.5	3.289757	64.67238
197	2.139786	20.10489
197.5	2.979964	12.2943
198	2.765297	-3.101678
198.5	3.440282	-28.31935
199	4.383902	-40.85347
199.5	4.108531	-47.57674
200	3.74826	-68.33456
200.5	3.117312	-66.67712
201	3.150583	-95.93706
201.5	3.686601	-112.8151
202	4.399906	-134.9952
202.5	4.139819	-153.6112
203	4.32295	-146.7926
203.5	3.694216	-178.6635
204	4.119446	178.8551
204.5	2.904745	150.398
205	4.098879	135.5285
205.5	4.524988	130.6983
206	4.786725	106.1433
206.5	4.85942	94.11277
207	4.556717	67.08991
207.5	5.108384	67.65234
208	4.388239	47.86022
208.5	4.642955	27.81205
209	3.996995	13.6805
209.5	4.227019	-4.961122
210	5.062001	-18.33077
210.5	5.046174	-32.84783
211	5.415987	-41.87991
211.5	5.089384	-52.99614
212	4.408835	-69.42532
212.5	5.133847	-98.58343
213	5.357141	-111.1279
213.5	5.279112	-124.3021
214	5.519939	-141.7825
214.5	5.033631	-148.9848
215	5.321653	179.5509
215.5	4.815866	179.866
216	5.164027	156.7623
216.5	5.964008	146.7618
217	4.964255	131.2181
217.5	4.61666	105.7923
218	5.445157	88.92776
218.5	5.992872	77.29372
219	6.24886	64.25253
219.5	5.054484	51.11893
220	5.030556	33.54159
220.5	5.201374	17.43369
221	5.498033	-4.154262
221.5	5.851738	-17.13707
222	5.492443	-25.88591
222.5	5.27861	-33.0382
223	5.108944	-53.31678
223.5	4.457148	-72.44486
224	5.333004	-91.03685
224.5	4.959561	-103.8978
225	5.179011	-114.7962
225.5	4.962898	-134.7245
226	6.099048	-156.3524
226.5	5.702285	-162.0684
227	4.931267	-174.8155
227.5	5.873738	164.1059
228	5.321486	158.6921
228.5	5.005492	135.6261
229	4.958826	119.3038
229.5	5.208668	102.7863
230	5.242922	90.55082
230.5	5.112264	77.1855
231	5.60245	54.55277
231.5	5.292212	52.39539
232	5.509597	31.87463
232.5	5.881855	18.49604
233	5.511332	-1.735394
233.5	6.144542	-23.77435
234	5.435991	-27.73073
234.5	6.287052	-43.91916
235	4.91694	-50.51964
235.5	5.03621	-78.24929
236	5.045444	-90.72907
236.5	4.502462	-107.5014
237	5.478784	-129.3957
237.5	5.829688	-135.3336
238	4.705989	-148.2188
238.5	4.954937	-164.1141
239	5.6333	177.2718
239.5	6.22102	172.8022
240	6.457499	150.2466
240.5	5.555541	139.0737
241	5.497931	116.991
241.5	4.863708	104.4208
242	5.479649	82.02802
242.5	6.338402	64.9744
243	5.205441	63.93209
243.5	5.521491	44.11073
244	4.861303	26.22393
244.5	5.182356	9.572233
245	5.220112	-13.07588
245.5	5.892002	-13.14449
246	5.300682	-22.98496
246.5	5.416071	-37.47958
247	5.941973	-57.35316
247.5	4.889107	-74.0629
248	5.57401	-89.99845
248.5	5.690085	-105.9249
249	6.298618	-126.6053
249.5	5.044528	-136.787
250	4.885092	-156.6146
250.5	4.96287	-168.5004
251	5.260323	178.2198
251.5	5.096774	161.7947
252	5.313775	147.3515
252.5	6.267989	135.0585
253	5.723005	124.0439
253.5	5.393559	102.8173
254	5.48805	92.02119
254.5	5.168575	75.69759
255	5.794716	59.82043
255.5	4.630274	48.24857
256	4.931781	29.90407
256.5	4.725047	15.22673
257	5.372691	-6.602779
257.5	5.899531	-10.41324
258	5.510755	-25.57839
258.5	6.056476	-39.41234
259	5.513165	-49.54906
259.5	5.059823	-76.27698
260	5.270322	-94.12946
260.5	5.381398	-106.3421
261	5.780337	-109.7261
261.5	5.459183	-128.7424
262	5.411553	-147.6421
262.5	5.413991	-150.8801
263	5.462386	-173.408
263.5	6.304643	169.0491
264	5.982553	153.7453
264.5	5.853284	136.4542
265	6.183086	126.9424
265.5	5.863039	111.5013
266	6.77241	94.09067
266.5	6.18735	84.8945
267	5.692667	56.90376
267.5	6.304163	51.14878
268	6.28378	30.49886
268.5	6.359931	18.00107
269	6.085331	3.591867
269.5	5.85608	-12.93934
270	6.239361	-23.13865
270.5	6.240732	-40.078
271	6.225794	-58.27218
271.5	6.130844	-73.25388
272	5.754417	-82.7775
272.5	6.23875	-97.89249
273	6.769658	-120.0186
273.5	6.982451	-132.822
274	7.304643	-140.9273
274.5	6.424204	-155.654
275	6.933812	177.8579
275.5	7.115511	163.1955
276	6.88361	148.5737
276.5	6.685753	133.6912
277	6.513993	125.4493
277.5	6.528579	110.1113
278	5.754028	88.39132
278.5	6.190624	68.20285
279	7.62863	55.67154
279.5	7.194736	48.26844
280	7.447681	33.64182
280.5	6.653573	20.97231
281	6.880621	1.753501
281.5	7.677096	-13.38713
282	6.627041	-32.31404
282.5	8.022925	-47.83423
283	6.952687	-60.91973
283.5	6.88609	-79.35359
284	6.749591	-96.24352
284.5	6.369157	-112.341
285	7.204447	-122.0406
285.5	7.401134	-138.9835
286	6.753783	-151.8217
286.5	7.360729	-171.5211
287	7.395	175.9623
287.5	7.475357	160.6482
288	7.732853	140.0285
288.5	7.248365	135.7052
289	7.67511	118.234
289.5	6.249901	105.0897
290	7.32076	86.32303
290.5	6.90169	62.89302
291	6.511146	51.23785
291.5	6.656931	33.9848
292	7.662222	17.90249
292.5	7.927095	9.040751
293	7.378175	-12.70325
293.5	7.747432	-19.13158
294	7.028889	-38.94823
294.5	7.624307	-56.51713
295	7.008587	-69.45188
295.5	7.413569	-87.45682
296	7.473207	-93.31911
296.5	7.167613	-105.2884
297	7.13856	-126.3178
297.5	6.311467	-148.42
298	7.360175	-167.2999
298.5	7.426332	-179.2552
299	7.783525	165.7822
299.5	7.366943	146.537
300	6.780452	134.0937
300.5	7.277886	121.5341
301	6.975867	108.5039
301.5	7.61119	89.03651
302	7.680919	76.17525
302.5	6.531672	63.45299
303	6.977915	40.56406
303.5	7.428502	27.20098
304	7.039984	10.02566
304.5	6.56346	5.144597
305	5.938076	-13.46037
305.5	6.033825	-30.03828
306	6.560236	-50.71796
306.5	6.576818	-60.376
307	7.47476	-77.82851
307.5	7.378593	-87.06022
308	6.983623	-99.91393
308.5	6.939063	-119.6582
309	6.038069	-141.9192
309.5	7.222987	-156.8602
310	7.024957	-170.8107
310.5	6.563324	176.0873
311	6.737578	158.154
311.5	6.446369	150.2494
312	6.109441	131.7536
312.5	6.244645	116.5348
313	6.046178	101.6988
313.5	7.011176	83.06146
314	6.332691	70.40572
314.5	6.316927	57.80802
315	6.510323	40.00451
315.5	6.280362	32.30449
316	6.706679	13.08165
316.5	5.921906	-7.682559
317	6.607299	-20.11978
317.5	6.274673	-33.51044
318	5.770562	-57.83368
318.5	6.274214	-68.12439
319	5.758787	-78.11725
319.5	6.253953	-87.66424
320	5.874254	-103.4118
320.5	5.563808	-118.0724
321	6.1757	-136.5582
321.5	6.132891	-153.2538
322	6.964994	-167.2015
322.5	6.363742	-178.0639
323	6.300528	161.7988
323.5	6.208207	145.2876
324	5.763329	130.2638
324.5	6.653582	111.1133
325	6.484459	102.2036
325.5	6.123209	91.23172
326	6.085271	71.69038
326.5	6.079692	51.44976
327	7.162692	41.10457
327.5	6.017442	24.54003
328	6.891859	15.53042
328.5	6.102235	-6.884232
329	6.017973	-17.16172
329.5	6.248846	-39.9738
330	6.379845	-48.35491
330.5	6.437645	-63.61752
331	6.127155	-82.08675
331.5	5.880661	-99.21474
332	6.24249	-112.1937
332.5	6.555228	-130.5173
333	6.464733	-140.6519
333.5	6.268865	-151.0977
334	4.627421	-170.1407
334.5	6.017268	166.2939
335	6.60444	157.7867
335.5	6.170687	146.4436
336	6.952461	124.8391
336.5	6.11817	119.6869
337	5.790062	103.7797
337.5	6.333045	75.34605
338	5.951791	64.72243
