Source File Name:	12,1,3
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	14.76211	-128.787
20.5	12.09171	-145.4095
21	12.10266	-162.4086
21.5	10.86221	-173.714
22	10.42768	168.8298
22.5	9.98313	160.7356
23	7.996243	143.6445
23.5	8.980862	134.5719
24	8.525539	114.8871
24.5	8.940981	100.485
25	7.999609	89.08033
25.5	8.703838	73.72429
26	8.46502	60.73236
26.5	8.392381	43.59005
27	8.375877	31.84071
27.5	8.139144	16.16354
28	8.606204	1.739568
28.5	8.352579	-14.80141
29	8.749041	-28.94058
29.5	8.37394	-44.64619
30	8.657467	-61.76777
30.5	8.739158	-74.91266
31	8.919179	-94.40731
31.5	8.957703	-108.1514
32	9.047565	-127.3991
32.5	9.239094	-143.0179
33	9.082826	-158.944
33.5	8.660519	-178.5668
34	9.534076	169.3962
34.5	9.682877	152.3171
35	9.410769	135.6733
35.5	9.616618	119.9961
36	9.470679	106.3444
36.5	9.554015	88.70814
37	9.607415	75.02321
37.5	9.789566	58.59991
38	9.773117	43.67682
38.5	9.665606	28.94167
39	9.880847	13.57328
39.5	9.703003	0.58309
40	10.08365	-13.94999
40.5	10.43622	-27.41627
41	11.06824	-42.67369
41.5	11.86683	-57.72121
42	12.33193	-75.15074
42.5	13.05789	-90.90484
43	13.63093	-108.064
43.5	14.39491	-125.4136
44	14.88613	-142.5471
44.5	15.71979	-160.5443
45	16.06157	-177.7144
45.5	16.54371	164.2366
46	17.02602	147.6117
46.5	17.31566	130.179
47	18.01472	113.2303
47.5	18.25642	95.33486
48	18.72783	77.89284
48.5	18.90075	61.03374
49	19.54825	45.68193
49.5	19.24348	26.37243
50	20.46009	10.52726
50.5	21.04192	-6.629743
51	21.37087	-25.07717
51.5	21.81656	-41.87596
52	22.3185	-59.19411
52.5	23.09373	-76.71432
53	23.51824	-94.52184
53.5	24.35536	-112.1909
54	24.79164	-129.1928
54.5	25.7304	-148.0016
55	26.23322	-165.4868
55.5	27.00613	176.7264
56	27.87268	158.5099
56.5	28.49954	140.4179
57	29.06253	121.7575
57.5	29.69697	103.9611
58	30.31604	85.52066
58.5	31.03233	66.81627
59	31.4485	48.28267
59.5	31.97526	29.69716
60	32.5284	10.95455
60.5	32.98388	-7.988512
