Source File Name:	8,1,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	15.83649	-131.6048
20.5	15.75566	-157.1744
21	12.74387	176.5965
21.5	12.64571	158.5224
22	10.3393	138.1763
22.5	9.455637	110.5892
23	11.60978	100.0585
23.5	10.29993	80.05902
24	9.702351	50.82185
24.5	9.692014	38.01795
25	9.346922	16.07672
25.5	9.459573	-0.9922549
26	8.809843	-15.99266
26.5	9.107092	-32.40296
27	9.544746	-50.29515
27.5	9.463264	-67.33905
28	9.141246	-81.86146
28.5	8.941002	-99.08803
29	8.918395	-116.5339
29.5	8.822585	-133.8017
30	9.139291	-146.8633
30.5	8.657151	-164.0859
31	9.38038	178.0494
31.5	8.956549	161.6294
32	9.096164	144.8856
32.5	8.979931	130.538
33	8.735076	110.1217
33.5	8.981329	88.85662
34	9.089421	80.11723
34.5	9.18848	63.33038
35	8.858813	45.29939
35.5	8.887007	30.87511
36	9.073416	13.79287
36.5	8.927862	-3.710989
37	8.547311	-17.47226
37.5	8.191883	-37.1487
38	8.627596	-49.98743
38.5	8.774831	-65.23679
39	8.665622	-82.46316
39.5	8.384719	-97.23843
40	8.453466	-114.3594
40.5	8.354178	-130.3991
41	8.083979	-142.9849
41.5	7.6626	-160.6852
42	8.122751	-176.3813
42.5	7.827735	166.4911
43	7.707685	155.4164
43.5	7.451488	138.2188
44	7.471431	123.4531
44.5	7.896929	105.4075
45	7.256019	88.61327
45.5	7.235447	78.63885
46	7.324158	58.8138
46.5	7.640011	45.4022
47	7.289391	28.91069
47.5	7.311395	13.35524
48	7.3129	-1.224774
48.5	7.25219	-20.40716
49	6.596447	-30.057
49.5	7.483825	-54.98098
50	6.896676	-60.08683
50.5	6.901787	-79.26239
51	6.871398	-92.55552
51.5	6.986188	-109.3695
52	7.09482	-126.554
52.5	6.468563	-143.3725
53	6.509363	-152.4276
53.5	7.013371	-170.1367
54	6.889543	172.9555
54.5	7.005096	157.505
55	6.512613	142.2868
55.5	6.707036	124.7462
56	6.685112	108.1605
56.5	6.626167	93.73395
57	6.209988	73.49919
57.5	6.06381	60.24898
58	6.013567	42.10047
58.5	6.154442	34.57153
59	6.061145	19.92
59.5	5.914093	-2.760367
60	5.531216	-18.79454
60.5	5.535585	-32.08664
61	5.543832	-42.41159
61.5	5.323412	-65.9355
62	5.68098	-77.13752
62.5	5.711192	-97.87178
63	5.217682	-108.1743
63.5	5.022048	-127.6042
64	4.757977	-145.5249
64.5	4.77448	-154.6988
65	4.650968	-175.0331
65.5	4.474738	176.1458
66	4.535456	152.4708
66.5	4.831631	144.4368
67	4.554613	124.7744
67.5	3.967607	104.2141
68	3.91345	89.70766
68.5	3.807755	72.57961
69	3.518744	57.32715
69.5	3.622884	41.82201
70	3.258274	24.92869
70.5	3.363277	18.17501
71	3.424273	-0.6713759
71.5	2.91466	-18.44272
72	3.03334	-34.72443
72.5	2.81468	-55.38374
73	2.16009	-70.50375
73.5	2.28324	-89.76166
74	2.24579	-94.15751
74.5	2.324499	-114.4143
75	1.952409	-130.3626
75.5	1.657756	-141.5534
76	1.821207	-166.9445
76.5	1.47994	-170.1141
77	1.756527	152.1316
77.5	0.7870035	131.3994
78	1.206086	122.1306
78.5	1.197876	113.7611
79	0.7030657	72.42433
79.5	0.6011096	49.52955
80	0.8997598	2.872981
80.5	0.9434361	-43.87904
81	0.983619	-96.22782
81.5	0.9582354	-107.4986
82	0.9148552	-122.087
82.5	0.9885247	-139.0393
83	1.173158	-168.9023
83.5	1.775101	169.8208
84	2.031558	161.6073
84.5	2.198286	139.4865
85	2.817094	120.3847
85.5	2.910643	103.0096
86	3.022406	93.72559
86.5	3.799122	75.80149
87	3.928487	51.10739
