Source File Name:	2,2,4
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
20	1.088411e-5	4.877147
20.5	9.723078e-6	-40.3525
21	1.2138e-5	-69.50665
21.5	9.487142e-6	-104.1821
22	1.010272e-5	-144.6149
22.5	1.098074e-5	176.3166
23	1.00902e-5	151.4434
23.5	1.136676e-5	122.6719
24	1.148049e-5	84.98162
24.5	1.299724e-5	45.38664
25	1.172198e-5	9.079231
25.5	1.222079e-5	-36.95121
26	1.27738e-5	-71.96324
26.5	1.209293e-5	-117.2863
27	1.360854e-5	-151.1361
27.5	1.354024e-5	178.3084
28	1.245961e-5	131.3092
28.5	1.31499e-5	80.71265
29	1.033365e-5	42.47001
29.5	1.080843e-5	0.1698165
30	1.19377e-5	-41.35729
30.5	1.078096e-5	-74.53082
31	1.161953e-5	-122.505
31.5	9.92184e-6	-150.0142
32	9.774253e-6	173.0695
32.5	9.670618e-6	125.7788
33	9.016448e-6	85.81465
33.5	7.687979e-6	57.17932
34	7.269794e-6	12.02988
34.5	7.170929e-6	-30.93192
35	4.735098e-6	-72.46462
35.5	5.977783e-6	-116.7495
36	4.453999e-6	-163.2319
36.5	5.303702e-6	174.6094
37	4.237098e-6	133.9429
37.5	4.723065e-6	115.2736
38	3.378511e-6	101.5941
38.5	1.482396e-6	14.94291
39	2.82641e-6	-14.12208
39.5	3.476872e-6	28.42857
40	3.017592e-6	-0.2763641
40.5	2.955486e-6	-39.7574
41	3.560362e-6	-74.25293
41.5	3.620591e-6	-160.212
42	3.299076e-6	-171.8216
42.5	3.828628e-6	147.7127
43	6.731552e-6	81.46594
43.5	4.74987e-6	60.03979
44	2.635683e-6	52.73809
44.5	3.697692e-6	-22.10919
45	1.590783e-6	-55.37438
45.5	4.740407e-6	-131.9811
46	7.42876e-6	-141.9412
46.5	7.437727e-6	179.362
47	4.66964e-6	112.9469
47.5	5.109684e-6	-178.4033
48	4.205931e-6	76.26038
48.5	8.794095e-6	7.551869
49	1.670719e-6	-19.32222
49.5	5.233319e-6	-56.02776
50	7.237229e-5	-104.3655
50.5	6.323006e-6	-141.186
51	2.330924e-6	98.4478
51.5	7.133964e-6	169.7276
52	3.434982e-6	113.0426
52.5	3.914968e-6	-15.14656
53	4.434356e-6	75.24519
53.5	7.223395e-6	5.326426
54	7.434741e-6	-49.8306
54.5	4.667881e-6	-69.34647
55	5.567548e-7	-69.74714
55.5	3.266919e-6	-130.853
56	2.052969e-6	138.8868
56.5	2.659914e-6	128.9072
57	4.033016e-6	80.85665
57.5	4.398974e-6	72.46425
58	3.209683e-6	28.38477
58.5	2.840525e-6	-2.889086
59	2.227407e-6	-63.99533
59.5	1.370653e-6	177.4388
60	3.080107e-6	-139.0653
60.5	3.455865e-6	-173.4316
61	4.052702e-6	155.8385
61.5	3.760351e-6	137.8548
62	2.39323e-6	75.99451
62.5	3.414e-6	31.10985
63	2.28071e-6	-39.58251
63.5	2.318245e-6	-86.82084
64	2.356606e-7	40.95123
64.5	3.370875e-6	-93.62793
65	3.101967e-6	-125.0519
65.5	3.687064e-6	-165.295
66	2.700941e-6	123.6277
66.5	2.384892e-6	109.5356
67	1.387731e-6	-22.27981
67.5	2.054029e-6	41.47104
68	3.124073e-6	1.966234
68.5	3.793232e-6	-12.69542
69	3.633571e-6	-60.08932
69.5	3.276405e-6	-78.99719
70	3.250329e-6	-146.2064
70.5	1.050279e-6	138.6107
71	2.379805e-6	128.1436
71.5	3.438439e-6	117.0469
72	2.707593e-6	86.17264
72.5	5.124458e-7	9.536505
73	2.058824e-6	4.690036
73.5	2.929178e-6	-48.42281
74	1.822133e-6	-76.41103
74.5	2.273584e-6	-86.35374
75	3.432988e-6	-144.3395
75.5	3.056367e-6	-167.2456
76	2.336422e-6	143.9684
76.5	2.099144e-6	126.8553
77	3.324796e-6	76.86612
77.5	3.149928e-6	37.96232
78	3.283882e-6	14.92393
