Source File Name:	4,2,4
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	0.08488204	-174.6889
20.5	0.09233885	133.2858
21	0.09748457	77.51403
21.5	0.09728786	20.66787
22	0.08712339	-38.09056
22.5	0.06693427	-96.09403
23	0.05191442	-138.4573
23.5	0.04001553	177.778
24	0.03480507	138.0902
24.5	0.03147336	98.57732
25	0.02773375	60.43661
25.5	0.0256605	20.02424
26	0.02346327	-19.97272
26.5	0.02148882	-59.64398
27	0.02010116	-96.4735
27.5	0.01834062	-134.9896
28	0.01726979	-173.4999
28.5	0.01727061	147.8251
29	0.01655529	109.3284
29.5	0.01619544	71.88198
30	0.01536046	31.23648
30.5	0.01431723	-6.980238
31	0.01410984	-42.74252
31.5	0.01396852	-79.17383
32	0.01381837	-117.4837
32.5	0.01348865	-156.7398
33	0.01321025	165.5178
33.5	0.01229824	133.6263
34	0.01359055	89.84367
34.5	0.01318672	52.24583
35	0.01350327	13.52781
35.5	0.01357227	-25.90531
36	0.01291955	-63.68971
36.5	0.01277166	-102.9106
37	0.01267457	-138.1427
37.5	0.0128815	-174.2143
38	0.01287143	148.8511
38.5	0.01310647	108.5389
39	0.01369697	69.78264
39.5	0.01380547	31.92275
40	0.01326693	-1.4678
40.5	0.01357885	-42.53809
41	0.01466076	-81.67572
41.5	0.01553329	-121.8309
42	0.01499161	-161.1992
42.5	0.01455731	158.8917
43	0.01476665	120.1291
43.5	0.01497031	80.70661
44	0.01478327	43.0475
44.5	0.01471451	0.8417017
45	0.01444942	-38.81347
45.5	0.01392776	-73.89473
46	0.01307691	-112.1421
46.5	0.01356951	-151.221
47	0.01422469	169.0731
47.5	0.01377093	131.8039
48	0.01289434	94.899
48.5	0.01251039	55.64808
49	0.01367469	17.04479
49.5	0.01314461	-16.8107
50	0.01295253	-54.39911
50.5	0.01294042	-94.03955
51	0.01362698	-133.6324
51.5	0.01271353	-172.6464
52	0.01281543	150.592
52.5	0.01281988	110.1504
53	0.01292293	72.94363
53.5	0.01218238	35.71726
54	0.0118094	-0.0544655
54.5	0.01161246	-38.76543
55	0.01276095	-74.94337
55.5	0.01233071	-111.8961
56	0.01279809	-148.4064
56.5	0.0130858	169.8333
57	0.01309325	130.5261
57.5	0.01293776	92.04898
58	0.012581	53.73469
58.5	0.01225385	17.1087
59	0.0126414	-21.04565
59.5	0.0127066	-57.84704
60	0.01278504	-96.44661
60.5	0.01311853	-135.5037
61	0.01285111	-173.8402
61.5	0.01312674	149.0944
62	0.01351904	107.7084
62.5	0.0134078	68.83775
63	0.01320898	27.92058
63.5	0.01263172	-8.645228
64	0.0123344	-44.90217
64.5	0.01236084	-82.71454
65	0.01283349	-121.1604
65.5	0.01353777	-157.905
66	0.01386659	162.16
66.5	0.013692	123.7251
67	0.01417142	82.29097
67.5	0.01456326	41.71524
68	0.01473238	2.420506
68.5	0.01398206	-38.19955
69	0.01386906	-78.44943
69.5	0.01409877	-116.9774
70	0.01399525	-157.9026
70.5	0.01355935	164.2154
71	0.01425929	123.5724
71.5	0.01403564	84.30441
72	0.0139541	43.7165
72.5	0.01333446	1.561014
73	0.01349923	-39.2527
73.5	0.01384739	-75.7505
74	0.01315651	-116.694
74.5	0.0124391	-157.8512
75	0.0129665	161.0682
75.5	0.01332049	121.8793
76	0.01293901	80.42003
76.5	0.01225433	37.1024
77	0.01155716	-3.478746
77.5	0.0119439	-41.0988
78	0.01105888	-84.51222
78.5	0.0108489	-125.4638
79	0.01066244	-166.0973
79.5	0.009997508	156.186
80	0.009220212	113.8044
80.5	0.009417498	71.23596
81	0.009023152	31.21466
81.5	0.008710824	-5.215314
82	0.007573211	-50.75803
82.5	0.00674216	-93.30857
83	0.006816332	-129.6371
83.5	0.006032073	-163.0275
84	0.00565959	159.5367
84.5	0.005400098	119.293
85	0.005309052	84.36
85.5	0.005121119	49.83922
86	0.005245674	7.614193
