Source File Name:	11,2,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	0.04229432	-138.5149
20.5	0.04600792	177.108
21	0.05086355	130.5099
21.5	0.05608856	83.49023
22	0.06160634	34.13552
22.5	0.06779474	-16.18401
23	0.07168649	-68.48489
23.5	0.073402	-126.2051
24	0.06840885	175.6865
24.5	0.05678906	119.1405
25	0.03968552	70.78948
25.5	0.03243276	29.96398
26	0.02737381	-8.455209
26.5	0.02442686	-48.59987
27	0.02176253	-88.15702
27.5	0.02000175	-126.551
28	0.01870712	-166.0905
28.5	0.0174718	155.2805
29	0.01633367	116.0843
29.5	0.01545692	77.32637
30	0.01470026	38.84654
30.5	0.01422549	-0.1093774
31	0.013488	-39.5661
31.5	0.01286369	-78.38038
32	0.01247086	-117.36
32.5	0.01223775	-156.2049
33	0.01185137	164.5407
33.5	0.01283435	118.8361
34	0.01118674	88.89359
34.5	0.0108818	50.44524
35	0.01068228	12.22707
35.5	0.01041318	-26.42764
36	0.01028976	-64.45638
36.5	0.01013618	-102.7797
37	0.009986147	-141.1432
37.5	0.009937788	-177.5609
38	0.009884908	143.5814
38.5	0.009843828	105.0606
39	0.009782303	67.47063
39.5	0.009619972	29.85618
40	0.009552385	-7.297702
40.5	0.009660319	-45.50122
41	0.009618943	-83.46008
41.5	0.009696293	-120.5996
42	0.009915392	-158.3269
42.5	0.01011425	163.1599
43	0.01011689	124.9438
43.5	0.01023342	87.57206
44	0.01043958	49.37769
44.5	0.01053106	9.956708
45	0.01053811	-28.79559
45.5	0.01056945	-67.29386
46	0.01068088	-106.5741
46.5	0.01074556	-145.6914
47	0.01057099	175.3387
47.5	0.01049277	137.693
48	0.01041549	99.6403
48.5	0.01028202	61.56526
49	0.009980013	18.31077
49.5	0.009879979	-14.91217
50	0.01013746	-51.12903
50.5	0.009913631	-89.17294
51	0.009894045	-126.4161
51.5	0.009888561	-163.2837
52	0.009988679	159.6161
52.5	0.009938385	121.6116
53	0.01003364	84.60689
53.5	0.01018947	46.75381
54	0.01011503	9.541175
54.5	0.01020254	-28.6846
55	0.01007093	-66.31813
55.5	0.01005046	-103.6707
56	0.0102053	-141.3222
56.5	0.01017805	-179.0396
57	0.01020146	143.6552
57.5	0.01028212	106.915
58	0.010451	69.07193
58.5	0.0104027	31.23419
59	0.01034984	-6.231494
59.5	0.01041708	-43.33767
60	0.01053233	-81.24952
60.5	0.01047332	-119.1767
61	0.01044194	-156.217
61.5	0.01052	166.7857
62	0.01061199	129.3593
62.5	0.01059544	92.04827
63	0.01061251	55.25699
63.5	0.01077201	18.17358
64	0.01087748	-19.78835
64.5	0.01081241	-57.64225
65	0.01080052	-94.61617
65.5	0.01091032	-131.8498
66	0.01095091	-169.4713
66.5	0.01092202	153.4712
67	0.01097304	116.8078
67.5	0.01111633	79.93871
68	0.01119676	42.52536
68.5	0.01121265	5.412642
69	0.01130323	-31.50996
69.5	0.01147142	-68.7449
70	0.01156661	-106.5412
70.5	0.01155955	-143.8812
71	0.01162906	179.4156
71.5	0.01181098	142.4493
72	0.01195068	105.169
72.5	0.01200673	68.02364
73	0.01214653	31.22235
73.5	0.01235718	-6.143988
74	0.01246649	-43.91671
74.5	0.01252409	-81.27579
75	0.01269774	-118.2779
75.5	0.0128686	-155.8972
76	0.01291639	166.4682
76.5	0.0129467	129.4771
77	0.01309661	92.80574
77.5	0.01328662	55.64644
78	0.01340966	18.22948
78.5	0.01350839	-18.64228
79	0.01376542	-55.67617
79.5	0.01400971	-93.36027
80	0.0141186	-130.898
80.5	0.01427665	-167.9492
81	0.01450998	154.8589
81.5	0.01471166	117.4275
82	0.01484296	80.24029
82.5	0.01503945	43.31426
83	0.01532874	6.224656
83.5	0.01561279	-31.30091
84	0.01585223	-68.73122
84.5	0.01615054	-106.0465
85	0.01651617	-143.5438
85.5	0.01682479	178.6409
86	0.01703987	141.1059
86.5	0.01732647	103.869
87	0.01770622	66.37386
87.5	0.01802197	28.6047
88	0.0182823	-8.973005
88.5	0.01866034	-46.36906
89	0.01912114	-84.14226
89.5	0.01950749	-122.1664
90	0.01984429	-159.9477
90.5	0.02028402	162.4294
91	0.02079581	124.4488
91.5	0.02118374	86.24022
92	0.02148512	48.34919
92.5	0.02192302	10.68722
93	0.02247768	-27.34209
93.5	0.0229505	-65.59009
94	0.02342067	-103.597
94.5	0.02405042	-141.6377
95	0.02472463	179.9553
95.5	0.02529758	141.4433
96	0.02587149	103.0951
96.5	0.02657494	64.6804
