Source File Name:	10,2,0
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
20	0.0008972238	2.58412
20.5	0.0009000374	-33.12765
21	0.0009003481	-68.86775
21.5	0.0008978967	-104.9293
22	0.0008974178	-140.5906
22.5	0.0008987252	-176.5789
23	0.0008944424	147.5122
23.5	0.0008938885	111.7016
24	0.0008921449	75.79013
24.5	0.0008905953	39.73414
25	0.0008891283	3.969747
25.5	0.0008869438	-32.12963
26	0.0008884218	-67.85922
26.5	0.0008861993	-103.889
27	0.0008860877	-139.7796
27.5	0.0008823758	-175.7677
28	0.0008807551	148.5422
28.5	0.0008809618	112.6544
29	0.0008787902	76.60838
29.5	0.0008774668	40.91441
30	0.0008774002	4.822092
30.5	0.0008748558	-31.01048
31	0.0008734454	-66.83369
31.5	0.0008742897	-102.8498
32	0.0008721906	-138.7508
32.5	0.0008739597	-174.6684
33	0.0008666639	149.5632
33.5	0.0008665474	113.5844
34	0.000864637	77.85607
34.5	0.0008638584	41.82816
35	0.0008624874	5.923896
35.5	0.0008595932	-30.02421
36	0.0008589505	-65.8315
36.5	0.0008551835	-101.8312
37	0.0008546863	-137.6191
37.5	0.0008538048	-173.4753
38	0.0008486114	150.4854
38.5	0.0008486685	114.5736
39	0.0008476566	78.65856
39.5	0.0008456149	42.80359
40	0.0008458787	6.960225
40.5	0.0008449023	-28.92287
41	0.0008416591	-64.79795
41.5	0.0008428422	-100.7825
42	0.0008392411	-136.4008
42.5	0.0008360293	-172.4637
43	0.0008356945	151.7064
43.5	0.0008319011	115.7538
44	0.0008308424	79.83588
44.5	0.0008304807	43.99836
45	0.0008264924	8.112584
45.5	0.0008265434	-27.86655
46	0.0008233167	-63.60244
46.5	0.000820887	-99.56633
47	0.0008172509	-135.4117
47.5	0.0008153259	-171.4456
48	0.00081287	152.6662
48.5	0.0008117856	116.7622
49	0.0008099089	80.77805
49.5	0.0008085963	45.03847
50	0.0008065353	9.272408
50.5	0.0008038483	-26.88633
51	0.0008018517	-62.57166
51.5	0.0008010226	-98.56676
52	0.0007982043	-134.3426
52.5	0.000795729	-170.2085
53	0.0007921833	154.0632
53.5	0.0007908704	118.0306
54	0.0007900122	82.27615
54.5	0.0007874318	46.30579
55	0.0007848138	10.38031
55.5	0.0007817643	-25.6309
56	0.0007795539	-61.26589
56.5	0.0007772963	-97.2952
57	0.0007744339	-132.9704
57.5	0.0007747696	-168.9883
58	0.0007703537	155.3591
58.5	0.0007655379	119.1044
59	0.0007661028	83.47186
59.5	0.0007637694	47.51869
60	0.0007595342	11.7504
60.5	0.0007588812	-24.27596
61	0.0007570127	-60.07761
61.5	0.0007528938	-95.79657
62	0.0007515695	-131.7148
62.5	0.0007472018	-167.6765
63	0.0007456285	156.3617
63.5	0.0007418211	120.5713
64	0.0007407994	84.74588
64.5	0.0007361791	48.79328
65	0.0007355984	12.91736
65.5	0.0007340392	-22.8891
66	0.0007307488	-58.83643
66.5	0.0007286037	-94.61304
67	0.0007248902	-130.5732
67.5	0.0007222058	-166.2736
68	0.0007198735	157.8246
68.5	0.0007165416	121.7819
69	0.0007145974	86.03488
69.5	0.0007136049	50.30537
70	0.0007106839	14.48101
70.5	0.0007068833	-21.51331
71	0.0007062455	-57.20458
71.5	0.0007023982	-93.04696
72	0.0007014353	-129.04
72.5	0.0006974829	-164.9175
73	0.0006948846	159.3625
73.5	0.0006917288	123.5431
74	0.000690566	87.50056
74.5	0.0006867474	51.91927
75	0.0006851183	15.92835
75.5	0.0006815073	-19.84556
76	0.0006809829	-55.82584
76.5	0.0006778363	-91.64146
77	0.0006743103	-127.4884
77.5	0.0006719148	-163.237
78	0.0006671567	160.805
78.5	0.0006653574	125.1145
79	0.0006636812	89.28169
79.5	0.0006625311	53.45533
80	0.0006578695	17.4616
80.5	0.000654464	-18.24879
81	0.0006528213	-54.22759
81.5	0.0006504527	-89.9728
82	0.0006482142	-125.7939
82.5	0.0006443352	-161.5854
83	0.0006404737	162.5372
83.5	0.0006413069	126.6841
84	0.0006363691	90.84373
84.5	0.0006333193	55.0877
85	0.0006324411	19.192
85.5	0.0006275608	-16.55293
86	0.0006260794	-52.35553
86.5	0.000622486	-88.25739
87	0.0006204766	-124.0357
87.5	0.0006168215	-159.8343
88	0.0006138926	164.3224
88.5	0.000612384	128.528
89	0.0006096777	92.84827
89.5	0.000606209	56.87483
90	0.0006020928	21.15
90.5	0.0006018045	-14.70766
91	0.0005979097	-50.57511
91.5	0.0005962195	-86.43848
92	0.0005927281	-122.0805
92.5	0.0005911794	-158.0265
93	0.0005875714	166.3934
93.5	0.0005856264	130.3085
94	0.0005818669	94.5945
94.5	0.0005803889	58.92057
95	0.0005764099	22.9357
95.5	0.0005712225	-12.75781
96	0.000572448	-48.49598
96.5	0.0005673632	-84.40584
