Source File Name:	1,1,2
Signal:	FFT - Ref1 Voltage - Magnitude

Frequency	Magnitude
[ Hz ]	[ V ]
20	2.97808e-5
20.5	3.097459e-5
21	2.813148e-5
21.5	2.806237e-5
22	3.036264e-5
22.5	3.439279e-5
23	3.337389e-5
23.5	3.615388e-5
24	3.821609e-5
24.5	3.545571e-5
25	3.742826e-5
25.5	3.835335e-5
26	4.040918e-5
26.5	3.945011e-5
27	4.032119e-5
27.5	3.756574e-5
28	3.814203e-5
28.5	3.642847e-5
29	3.324701e-5
29.5	3.241374e-5
30	2.904345e-5
30.5	2.888996e-5
31	2.814065e-5
31.5	2.627217e-5
32	2.641724e-5
32.5	2.646389e-5
33	2.650539e-5
33.5	2.664942e-5
34	2.657609e-5
34.5	2.611877e-5
35	2.477129e-5
35.5	2.601157e-5
36	2.585608e-5
36.5	2.667733e-5
37	2.420802e-5
37.5	2.496076e-5
38	2.63406e-5
38.5	2.47988e-5
39	2.444069e-5
39.5	2.503722e-5
40	2.563316e-5
40.5	2.282133e-5
41	2.445403e-5
41.5	2.317926e-5
42	2.287813e-5
42.5	2.536777e-5
43	2.50177e-5
43.5	2.524207e-5
44	2.658038e-5
44.5	2.574887e-5
45	2.526978e-5
45.5	2.58303e-5
46	2.474618e-5
46.5	2.755996e-5
47	2.73335e-5
47.5	2.741137e-5
48	2.761235e-5
48.5	2.763461e-5
49	2.393331e-5
49.5	2.204385e-5
50	0.0004637802
50.5	2.609284e-5
51	2.327429e-5
51.5	2.106627e-5
52	2.078346e-5
52.5	2.287554e-5
53	2.200373e-5
53.5	2.519466e-5
54	2.453735e-5
54.5	2.359801e-5
55	2.178179e-5
55.5	2.127434e-5
56	2.025917e-5
56.5	2.044823e-5
57	2.202997e-5
57.5	2.103323e-5
58	2.070601e-5
58.5	2.239443e-5
59	2.113227e-5
59.5	2.353158e-5
60	2.131971e-5
60.5	2.172399e-5
61	1.895908e-5
61.5	2.073892e-5
62	2.087169e-5
62.5	2.014531e-5
63	2.107636e-5
63.5	2.148665e-5
64	1.902695e-5
64.5	2.046247e-5
65	2.14687e-5
65.5	2.089106e-5
66	2.208815e-5
66.5	2.200133e-5
67	1.981725e-5
67.5	2.232377e-5
68	2.180916e-5
68.5	2.409091e-5
69	2.148082e-5
69.5	2.011196e-5
70	1.915353e-5
70.5	2.025937e-5
71	1.931707e-5
71.5	1.828885e-5
72	1.822865e-5
72.5	1.786358e-5
73	1.660703e-5
73.5	1.601094e-5
74	1.621983e-5
74.5	1.628704e-5
75	1.697599e-5
75.5	1.542572e-5
76	1.595512e-5
76.5	1.575978e-5
77	1.6163e-5
77.5	1.577484e-5
78	1.458249e-5
78.5	1.582424e-5
79	1.588943e-5
79.5	1.506276e-5
80	1.492779e-5
80.5	1.329265e-5
81	1.419327e-5
81.5	1.316384e-5
82	1.363743e-5
82.5	1.465164e-5
83	1.656498e-5
83.5	1.350545e-5
84	1.480098e-5
84.5	1.416713e-5
85	1.338693e-5
85.5	1.357112e-5
86	1.367692e-5
86.5	1.328282e-5
87	1.469902e-5
87.5	1.210067e-5
88	1.395365e-5
88.5	1.296785e-5
89	1.332284e-5
89.5	1.251565e-5
90	1.260369e-5
90.5	1.166132e-5
91	1.151675e-5
91.5	1.136486e-5
92	1.23539e-5
92.5	1.071837e-5
93	1.0354e-5
93.5	1.149332e-5
94	1.0776e-5
94.5	8.874829e-6
95	8.99939e-6
95.5	9.966751e-6
96	8.299922e-6
96.5	8.105425e-6
97	9.597226e-6
97.5	8.437642e-6
98	7.546609e-6
98.5	8.721822e-6
99	1.166769e-5
99.5	1.007167e-5
100	1.262452e-5
100.5	8.970916e-6
101	7.583921e-6
101.5	6.54324e-6
102	1.004161e-5
102.5	8.686914e-6
103	9.592632e-6
103.5	9.067874e-6
104	8.489354e-6
104.5	8.765993e-6
105	8.632738e-6
105.5	9.4768e-6
106	9.556351e-6
106.5	8.217407e-6
107	8.894327e-6
107.5	8.575952e-6
