Source File Name:	7,1,1
Signal:	FFT - Ref1 Force - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ N ]	[ ° ]
20	0.0008002864	0.6105636
20.5	0.0008008964	-35.2196
21	0.0008013439	-71.28998
21.5	0.0008000451	-107.1535
22	0.0008022977	-143.3649
22.5	0.0008008996	-179.0003
23	0.0007975036	145.0679
23.5	0.0007981125	109.1881
24	0.0007992123	73.13151
24.5	0.0007969706	37.11648
25	0.0007949258	1.221886
25.5	0.000796699	-34.69141
26	0.0007945711	-70.86803
26.5	0.0007962668	-106.8401
27	0.0007954414	-142.8645
27.5	0.0007982067	-178.8266
28	0.0007967236	145.2647
28.5	0.0007958575	109.3192
29	0.0007929855	73.47536
29.5	0.0007946246	37.4272
30	0.0007907762	1.3145
30.5	0.0007926545	-34.68867
31	0.0007924156	-70.55882
31.5	0.0007912413	-106.708
32	0.0007897565	-142.48
32.5	0.0007914926	-178.4645
33	0.0007901455	145.5516
33.5	0.0007863521	109.6259
34	0.0007858226	73.68258
34.5	0.0007865963	37.73667
35	0.0007872202	1.786825
35.5	0.000785213	-34.27716
36	0.0007826598	-70.42154
36.5	0.0007815405	-106.1526
37	0.0007801697	-142.0477
37.5	0.0007828467	-178.0941
38	0.0007813245	145.8918
38.5	0.0007816666	109.8954
39	0.0007778582	73.88355
39.5	0.0007790806	38.03512
40	0.0007773912	2.215126
40.5	0.0007766683	-33.94474
41	0.0007758978	-69.81467
41.5	0.0007755602	-105.8283
42	0.0007729716	-141.7017
42.5	0.0007734293	-177.6688
43	0.0007746744	146.4654
43.5	0.0007719066	110.347
44	0.0007686766	74.49452
44.5	0.0007701658	38.44104
45	0.000767416	2.598538
45.5	0.0007647562	-33.49707
46	0.0007657398	-69.34097
46.5	0.0007670357	-105.3394
47	0.0007647295	-141.2735
47.5	0.0007630715	-177.4974
48	0.0007628943	146.7274
48.5	0.0007609446	110.8812
49	0.0007603536	74.87777
49.5	0.0007618697	38.74879
50	0.0007607591	3.059777
50.5	0.0007582504	-32.92597
51	0.0007575775	-68.91315
51.5	0.0007560099	-105.0821
52	0.0007571414	-141.0379
52.5	0.0007554853	-176.9209
53	0.0007550688	147.09
53.5	0.0007525518	111.1904
54	0.0007515517	75.35592
54.5	0.0007511526	39.28875
55	0.0007520003	3.274829
