Source File Name:	3,2,0
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	0.1091216	145.7584
20.5	0.1075241	91.1151
21	0.09430498	33.6201
21.5	0.07152373	-15.97179
22	0.05686215	-58.30406
22.5	0.04626634	-97.52734
23	0.04195364	-135.1843
23.5	0.03750011	-172.8911
24	0.03357393	149.5035
24.5	0.03060723	112.1357
25	0.0289844	73.66463
25.5	0.02738823	36.59951
26	0.02622375	-0.5946845
26.5	0.02516172	-38.8705
27	0.0241031	-76.57056
27.5	0.02291442	-116.1165
28	0.02200918	-153.9996
28.5	0.02065497	169.9574
29	0.02005124	131.7006
29.5	0.01935791	95.13763
30	0.01862805	58.29611
30.5	0.01823758	20.5664
31	0.0176368	-16.16722
31.5	0.01715021	-53.89326
32	0.01718581	-91.23975
32.5	0.01654886	-127.8248
33	0.01648981	-165.5738
33.5	0.0162262	151.5145
34	0.01594191	121.0872
34.5	0.01607168	83.15983
35	0.01599312	46.6406
35.5	0.01577389	8.397078
36	0.01587549	-29.09657
36.5	0.01573125	-66.02939
37	0.01587182	-104.8687
37.5	0.0161732	-142.3168
38	0.01606292	179.3115
38.5	0.01634275	139.8056
39	0.01611811	101.7594
39.5	0.01604053	62.621
40	0.01580648	23.81466
40.5	0.01567373	-14.86266
41	0.01531364	-53.79047
41.5	0.01499374	-93.39093
42	0.01446015	-130.6078
42.5	0.01443797	-168.5749
43	0.01403854	153.8791
43.5	0.01389863	115.7637
44	0.01362323	77.95304
44.5	0.013525	40.94669
45	0.01325419	2.661438
45.5	0.01313952	-35.72533
46	0.01285837	-73.06172
46.5	0.01272994	-110.6573
47	0.01261488	-147.8266
47.5	0.01263167	173.8198
48	0.01260178	135.6336
48.5	0.01252942	99.49649
49	0.01136461	59.49949
49.5	0.01211577	23.41856
50	0.01192196	-14.20663
50.5	0.0122512	-52.37176
51	0.01199669	-89.71035
51.5	0.01193594	-128.7366
52	0.01204373	-165.858
52.5	0.01167871	157.8258
53	0.01190421	118.4551
53.5	0.01199873	81.43796
54	0.01190602	42.91098
54.5	0.01174755	4.891305
55	0.01177754	-33.77053
55.5	0.01158554	-71.27811
56	0.01168087	-108.703
56.5	0.011561	-146.8139
57	0.01150061	174.8635
57.5	0.01162274	137.4266
58	0.01148225	99.33025
58.5	0.01146041	61.54185
59	0.01156597	23.54815
59.5	0.0113926	-14.33332
60	0.01160942	-52.92867
60.5	0.0115205	-89.81938
61	0.01154966	-128.0318
61.5	0.01159719	-166.6858
62	0.01160154	156.4397
62.5	0.01160969	117.4462
63	0.0118137	79.95786
63.5	0.01156622	41.87603
64	0.0119384	3.087166
64.5	0.01189985	-34.19674
65	0.01183043	-72.61797
65.5	0.01199819	-110.8654
66	0.01204097	-148.9337
66.5	0.01212637	173.1481
67	0.01231689	135.1206
67.5	0.01222971	95.53047
68	0.01249773	58.40757
68.5	0.01246722	19.83195
69	0.01248893	-17.66046
69.5	0.01281046	-56.61897
70	0.01290609	-94.5567
70.5	0.01300568	-133.7903
71	0.01311654	-171.2775
71.5	0.01317817	149.2304
72	0.01347949	111.4495
72.5	0.01353816	73.56564
73	0.01372491	34.61712
73.5	0.01404942	-4.09948
74	0.01395207	-42.49504
74.5	0.01424992	-81.0038
75	0.01445281	-118.8786
75.5	0.01473788	-158.5206
76	0.01504093	162.9713
76.5	0.01529632	124.1824
77	0.01524587	85.20032
77.5	0.01584868	46.49528
78	0.01578303	7.85638
78.5	0.01609883	-31.15744
79	0.01652758	-69.64382
79.5	0.01659299	-108.7754
80	0.01729072	-148.0978
80.5	0.01757502	173.0765
81	0.01768313	133.3198
81.5	0.01833085	94.57759
82	0.01858778	54.94829
82.5	0.01898909	15.65187
83	0.01948567	-24.19593
83.5	0.01963686	-64.03674
84	0.02025938	-104.0745
84.5	0.02057282	-143.4654
85	0.02077047	175.8973
85.5	0.02145894	136.5606
86	0.02185735	95.89571
86.5	0.02209363	55.13372
87	0.02240049	15.14919
87.5	0.02263424	-26.03357
88	0.02315644	-66.45892
88.5	0.02327226	-107.7739
89	0.02344246	-149.4072
89.5	0.02348889	169.7012
90	0.02365276	128.1035
90.5	0.02331312	86.28498
91	0.02318449	44.5435
91.5	0.02265538	2.128098
92	0.0220224	-39.37667
92.5	0.02121847	-81.43324
93	0.02026648	-123.2457
93.5	0.01922753	-163.9969
94	0.01805105	155.3377
94.5	0.01692649	115.1991
95	0.01568774	76.96967
95.5	0.01490106	38.0224
96	0.01422333	1.623768
96.5	0.01390724	-35.73089
97	0.01385253	-73.92759
97.5	0.01406283	-111.7897
98	0.01412644	-150.8914
98.5	0.01458163	168.4511
99	0.01451645	127.988
99.5	0.01476106	84.73917
100	0.01456512	43.11904
100.5	0.01416024	-0.3891589
101	0.01389945	-45.22601
101.5	0.01302201	-87.84706
102	0.01214607	-132.5047
102.5	0.01130049	-174.7793
103	0.01018557	141.0361
103.5	0.00955703	98.49151
104	0.008498491	54.89996
104.5	0.007630966	11.79569
105	0.007163062	-33.09742
105.5	0.006279127	-76.04243
106	0.005548359	-121.3252
106.5	0.005153513	-165.5695
107	0.004783776	148.0465
107.5	0.004424798	99.53764
108	0.00419414	51.89885
108.5	0.003986772	-0.08256888
109	0.004080654	-42.66256
109.5	0.004158332	-93.30445
110	0.004481926	-140.4726
110.5	0.004750908	174.0409
111	0.005227261	128.3435
111.5	0.005763257	82.90038
112	0.00605603	39.09602
112.5	0.006715069	-4.213708
113	0.007051061	-44.63718
113.5	0.007865254	-87.14237
114	0.008519455	-129.454
114.5	0.009040748	-171.3517
115	0.009706813	146.9072
115.5	0.01028481	106.6631
116	0.01086972	64.81239
116.5	0.01174401	25.16775
117	0.01226029	-16.66864
117.5	0.01293605	-57.16551
118	0.01346799	-98.14352
118.5	0.01403792	-138.556
119	0.01482133	-178.8236
119.5	0.01540088	141.0389
120	0.01605094	99.32515
