Source File Name:	3,2,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	16.74779	-24.15448
20.5	17.27912	-73.56745
21	13.53125	-109.2875
21.5	6.447433	-141.4017
22	11.49171	155.0347
22.5	7.050539	119.8633
23	7.07717	71.68694
23.5	6.878484	55.4054
24	6.536151	29.98995
24.5	6.168465	5.328173
25	6.658128	-18.54425
25.5	6.820703	-35.08751
26	6.8572	-54.85598
26.5	7.306157	-72.92892
27	7.252359	-92.27732
27.5	7.146873	-107.8635
28	7.375089	-123.6531
28.5	7.343992	-140.8156
29	7.391312	-157.8372
29.5	7.472158	-175.2607
30	7.402473	168.7861
30.5	7.691976	152.3026
31	7.928416	134.4286
31.5	7.796283	120.2668
32	7.943246	104.7616
32.5	8.190022	89.05093
33	8.303617	72.10701
33.5	9.391376	56.61521
34	8.661642	37.20019
34.5	8.831188	19.50452
35	9.194142	3.251122
35.5	9.335553	-15.2088
36	9.328531	-31.11038
36.5	9.268778	-48.10843
37	9.255702	-66.58421
37.5	9.029054	-84.35222
38	8.770252	-99.95899
38.5	8.881995	-115.2314
39	8.859136	-130.5774
39.5	9.052446	-145.5501
40	8.960173	-161.8596
40.5	8.853823	-177.8475
41	8.849578	166.3341
41.5	8.675623	148.8637
42	8.738366	132.3279
42.5	8.761688	115.8812
43	8.871075	100.3912
43.5	9.140965	83.91216
44	8.997842	67.02768
44.5	8.783358	51.38694
45	8.661232	35.97303
45.5	8.802368	17.97242
46	8.644553	3.094729
46.5	8.746265	-14.6122
47	8.908018	-31.0063
47.5	8.909459	-46.27438
48	8.981074	-61.88734
48.5	8.812938	-78.55102
49	8.540928	-93.94087
49.5	8.615776	-110.0495
50	8.543702	-125.7874
50.5	8.56365	-143.9933
51	8.572347	-159.8513
51.5	8.58833	-176.087
52	8.550406	169.1743
52.5	8.456968	153.9398
53	8.336841	138.6376
53.5	8.310107	122.6818
54	8.29297	106.6695
54.5	8.609588	87.88272
55	8.407991	70.39463
55.5	8.419137	55.38092
56	8.497027	40.70497
56.5	8.481576	24.34908
57	8.336771	8.833241
57.5	8.349333	-8.764423
58	8.189757	-25.6077
58.5	8.054187	-41.6604
59	8.089809	-56.98462
59.5	8.284856	-71.89028
60	8.489408	-87.91109
60.5	8.528904	-103.6415
61	8.45975	-119.8782
61.5	8.288406	-137.0719
62	8.155432	-154.0735
62.5	8.101494	-171.0062
63	8.279987	173.2167
63.5	8.305408	155.3862
64	8.147053	140.3493
64.5	8.135605	125.1422
65	8.063308	109.1865
65.5	7.886591	92.7418
66	7.683444	76.30106
66.5	7.739558	60.86674
