Source File Name:	8,1,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	8.838071	67.75959
20.5	9.791229	49.79045
21	10.55688	33.67892
21.5	11.70508	16.60288
22	11.0304	2.88039
22.5	11.27758	-12.53226
23	10.42641	-37.00091
23.5	11.05751	-49.08643
24	11.08262	-64.40836
24.5	11.06206	-79.97208
25	11.27421	-96.31271
25.5	11.48093	-113.1107
26	11.59388	-129.6243
26.5	11.59382	-146.6568
27	11.58156	-163.3817
27.5	11.6223	179.1949
28	11.52295	161.1339
28.5	11.52881	145.3255
29	11.69066	127.8439
29.5	11.73178	110.223
30	11.81949	92.77309
30.5	11.91105	76.44717
31	12.07053	58.34385
31.5	12.1071	42.20422
32	12.26092	25.46991
32.5	12.24816	8.888394
33	12.45418	-7.84689
33.5	12.37569	-21.88658
34	12.38312	-42.2247
34.5	12.30797	-58.77767
35	12.18591	-75.07317
35.5	11.96927	-91.90308
36	11.95561	-108.9912
36.5	11.74584	-125.582
37	11.7377	-142.8374
37.5	11.79956	-160.2321
38	11.74563	-176.8073
38.5	11.96665	166.2725
39	11.9897	148.7697
39.5	12.06665	131.9353
40	12.26035	115.2782
40.5	12.30162	98.56699
41	12.32194	81.86322
41.5	12.41922	65.12337
42	12.36759	48.50731
42.5	12.40201	32.12353
43	12.46863	15.64535
43.5	12.46498	-1.316323
44	12.45813	-18.20654
44.5	12.52856	-34.94986
45	12.58158	-52.39106
45.5	12.35761	-69.36435
46	12.52915	-87.43752
46.5	12.59461	-104.0956
47	12.65256	-121.8298
47.5	12.6794	-139.8139
48	12.78652	-156.5242
48.5	12.939	-174.2985
49	13.81797	168.9707
49.5	13.45113	151.6558
50	13.43423	132.6147
50.5	13.46303	116.1581
51	13.50091	98.29252
51.5	13.59093	81.11526
52	13.55103	64.24047
52.5	13.55346	47.11161
53	13.5421	29.30429
53.5	13.51309	11.25676
54	13.52585	-7.141687
54.5	13.52775	-24.18004
55	13.65839	-42.87102
55.5	13.67877	-60.98753
56	13.84574	-79.14592
56.5	14.0238	-97.94081
57	14.05111	-116.2796
57.5	14.18364	-134.2023
58	14.22338	-152.9074
58.5	14.25079	-170.9206
59	14.46838	171.015
59.5	14.56445	152.2512
60	14.46964	133.328
60.5	14.50812	115.2356
61	14.5392	96.57989
61.5	14.42524	77.72523
62	14.40023	58.98114
62.5	14.39084	39.86607
63	14.31184	20.54766
63.5	14.1707	0.8882984
64	14.1477	-18.35373
64.5	14.21141	-38.10157
65	14.16005	-57.81308
65.5	14.3047	-77.60019
66	14.30988	-97.43037
66.5	14.25039	-116.4898
67	14.28454	-135.6143
67.5	14.3386	-155.2507
68	14.29535	-174.5806
68.5	14.19044	165.9586
69	14.02233	146.0493
69.5	13.81647	126.3687
70	13.68203	106.9713
70.5	13.58533	86.63272
71	13.33108	66.17438
71.5	13.23979	46.53972
72	13.24654	26.50672
72.5	13.21857	6.038582
73	13.10197	-14.12103
73.5	13.21506	-34.16477
74	13.07117	-54.32822
74.5	13.03986	-74.43586
75	13.03736	-94.75932
75.5	12.66238	-113.9721
76	12.48692	-133.1134
76.5	12.43536	-152.3262
77	12.19379	-171.879
77.5	11.8891	168.7146
78	11.5036	149.2899
78.5	11.19313	131.1941
79	10.97444	111.7173
79.5	10.64539	92.22059
80	10.3748	73.40903
80.5	10.17278	54.32424
81	9.870439	35.03772
81.5	9.659041	17.03916
82	9.529842	-0.8002862
82.5	9.33343	-18.58074
83	9.159912	-35.66005
83.5	9.141013	-52.78041
84	8.893161	-69.39205
84.5	8.675881	-86.19444
85	8.431452	-102.3893
85.5	8.255319	-117.9507
86	8.074392	-133.9541
86.5	7.908322	-149.8394
87	7.758522	-166.6812
87.5	7.50666	178.0711
88	7.481851	163.1929
88.5	7.495785	145.6017
89	7.307043	129.6234
89.5	7.316072	114.8251
90	7.351586	98.1339
90.5	7.393267	82.31882
91	7.515178	66.55981
91.5	7.490589	50.30195
92	7.52339	35.33245
92.5	7.696121	20.25539
93	7.785888	4.508921
93.5	7.764302	-9.798715
94	7.920488	-23.99114
94.5	8.276403	-38.85538
95	8.337049	-54.6874
95.5	8.313332	-69.37589
96	8.562644	-84.16367
96.5	8.738799	-100.0215
97	8.80696	-115.5925
97.5	8.972392	-131.9558
98	8.94908	-148.5096
98.5	9.022423	-163.3244
99	9.237092	-178.9287
99.5	9.485074	164.7166
100	9.75483	148.565
100.5	10.14241	132.3667
101	10.34901	115.3231
101.5	10.57453	98.8031
102	10.74249	82.98019
102.5	10.95914	67.46911
103	11.24957	51.39543
103.5	11.42738	35.11163
104	11.55225	19.86095
104.5	11.75439	4.250409
105	11.89349	-11.60576
105.5	12.14614	-27.16501
106	12.40885	-43.09464
106.5	12.50158	-59.61937
107	12.70459	-75.86115
107.5	12.83084	-92.19652
108	12.89653	-108.2263
108.5	13.11321	-124.4454
109	13.36604	-140.6039
109.5	13.64582	-157.092
110	13.86946	-173.6691
110.5	14.07953	169.8932
111	14.43305	153.482
111.5	14.69753	136.991
112	14.81818	120.3608
112.5	15.00988	104.1535
113	15.21387	88.28732
113.5	15.38087	72.25154
114	15.55422	55.9457
114.5	15.72117	40.05496
115	15.93235	23.9355
115.5	16.04555	7.435776
116	16.13149	-8.883002
116.5	16.3209	-25.40423
117	16.369	-42.12237
117.5	16.32524	-58.76839
118	16.40788	-75.38189
118.5	16.41115	-91.94001
119	16.36474	-107.9063
119.5	16.68216	-124.1501
120	16.81577	-141.1572
120.5	16.80083	-157.3048
121	16.97664	-173.3708
121.5	17.08945	169.9839
122	17.117	153.8908
122.5	17.24932	138.058
123	17.27987	121.5173
123.5	17.24179	105.1434
124	17.2098	89.32677
124.5	17.06039	73.33416
125	17.05732	57.56937
125.5	17.19881	41.54607
126	17.2106	24.98903
126.5	17.07919	8.445667
127	17.00307	-7.692345
127.5	17.05338	-24.12032
128	16.93291	-40.64135
128.5	16.78152	-56.87165
129	16.78967	-73.08666
129.5	16.75862	-89.19444
130	16.62097	-105.2255
130.5	16.62946	-121.2476
131	16.65377	-137.0367
131.5	16.69598	-152.9312
132	16.67108	-169.3637
132.5	16.512	174.7595
133	16.49457	159.191
133.5	16.51604	143.3074
134	16.29363	127.0388
134.5	16.12245	111.0261
135	15.94966	95.61349
135.5	15.79088	79.878
136	15.68134	63.65182
136.5	15.52175	47.7045
137	15.36882	31.84043
137.5	15.23819	15.5519
138	15.06971	-0.5297049
138.5	14.92954	-16.42312
139	14.82811	-31.76488
139.5	14.80296	-47.62403
140	14.78669	-63.56686
140.5	14.6949	-79.42523
141	14.42864	-94.63738
141.5	14.42719	-110.0089
142	14.43635	-125.6566
142.5	14.25381	-141.2255
143	14.14394	-156.873
143.5	13.9862	-172.6127
144	13.77027	172.0829
144.5	13.6475	157.0794
145	13.56904	141.4803
145.5	13.37165	125.8525
146	13.29799	110.968
146.5	13.22221	95.39291
147	13.07697	79.2468
147.5	12.95453	63.92204
148	12.87579	48.19326
148.5	12.68091	32.20299
149	12.60324	16.91801
149.5	12.63958	1.257151
150	12.51024	-14.60457
150.5	12.40237	-29.50104
151	12.49065	-45.28386
151.5	12.37362	-60.53701
152	12.2163	-75.00945
152.5	12.28637	-90.20163
153	12.26553	-105.6785
153.5	12.10612	-120.3986
154	12.1078	-135.9805
154.5	11.97689	-151.9909
155	11.78588	-167.0963
155.5	11.70972	177.3371
156	11.54215	161.6584
156.5	11.40784	146.0853
157	11.32374	130.924
157.5	11.22063	115.8995
158	11.17185	100.4667
158.5	11.2206	85.11293
159	11.18852	69.88302
159.5	11.12705	54.06583
160	11.15746	38.4137
160.5	11.13794	22.3878
161	10.95912	6.49206
161.5	10.78912	-8.530528
162	10.74289	-23.6386
162.5	10.75722	-38.04999
163	10.81025	-53.11739
163.5	10.77112	-68.60414
164	10.85244	-83.81377
164.5	10.76146	-99.37161
165	10.52059	-114.9226
165.5	10.4705	-129.6911
166	10.49102	-145.4721
166.5	10.27156	-161.6695
167	10.09724	-177.1975
167.5	9.974703	167.176
168	9.914355	152.0421
168.5	9.971575	136.8199
169	9.942146	120.6106
169.5	9.974542	104.738
170	9.944448	89.4643
170.5	9.840391	73.50083
171	9.71205	58.09398
171.5	9.701167	43.63719
172	9.685129	28.29767
172.5	9.692935	12.51353
173	9.596098	-3.412704
173.5	9.477942	-18.91583
174	9.409229	-33.7189
174.5	9.405945	-49.31842
175	9.40045	-65.45214
175.5	9.264237	-80.52956
176	9.209855	-96.12132
176.5	9.106081	-112.4793
177	8.96308	-127.6474
177.5	8.810555	-143.3626
178	8.669849	-159.4681
178.5	8.515881	-174.8968
179	8.49223	169.2677
179.5	8.368468	153.1813
180	8.237569	137.7467
180.5	8.334975	122.2094
181	8.338222	106.2397
181.5	8.148247	90.94585
182	8.235787	75.74748
182.5	8.289054	60.05923
183	8.068674	44.44415
183.5	8.085123	29.06312
184	7.93342	12.2515
184.5	7.633775	-2.754848
185	7.601096	-17.58988
185.5	7.466557	-34.08499
186	7.304069	-50.06651
186.5	7.274148	-65.20219
187	7.074237	-81.26083
187.5	6.959192	-97.03564
188	6.947363	-111.4613
188.5	6.934686	-127.0148
189	6.894499	-143.4383
189.5	6.845055	-159.7242
190	6.749338	-176.0731
190.5	6.591448	167.5889
191	6.447101	152.2352
191.5	6.475788	135.5263
192	6.374365	119.5365
192.5	6.207973	103.7451
193	6.146845	87.63022
193.5	6.07545	72.93854
194	6.030953	58.23353
194.5	5.984956	41.64013
195	5.896585	25.99836
195.5	5.724894	10.00037
196	5.535033	-6.030225
196.5	5.344161	-21.07777
197	5.31436	-37.48529
197.5	5.236477	-54.06683
198	5.066529	-70.44112
198.5	5.008864	-87.69971
199	4.959959	-104.3064
199.5	4.818037	-119.5657
200	4.802547	-136.5596
200.5	4.749006	-152.4819
201	4.665413	-168.1761
201.5	4.560748	175.2209
202	4.367954	159.5529
202.5	4.357743	144.9085
203	4.396685	128.142
203.5	4.240977	111.112
204	4.158343	93.63875
204.5	4.138494	76.7159
205	3.866922	60.87598
205.5	3.763664	45.35129
206	3.79859	29.9295
206.5	3.705179	13.74583
207	3.605111	-2.302263
207.5	3.548406	-19.4428
208	3.411557	-36.52072
208.5	3.409688	-51.96217
209	3.477452	-70.0591
209.5	3.383405	-92.35757
210	3.287241	-108.7314
210.5	3.28595	-126.042
211	3.170393	-146.9811
211.5	2.994758	-161.1196
212	3.096229	-173.723
212.5	3.146209	167.5245
213	3.100478	150.5951
213.5	3.051423	133.034
214	2.927672	115.8952
214.5	2.812042	101.1749
215	2.93011	82.12916
215.5	2.930004	61.93019
216	2.732018	43.42575
216.5	2.690278	25.39066
217	2.788114	7.649324
217.5	2.712149	-9.88229
218	2.712203	-27.50828
218.5	2.809647	-44.63131
219	2.791846	-63.61554
219.5	2.77816	-80.7246
220	2.744361	-98.52643
220.5	2.78308	-115.8641
221	2.921094	-132.5134
221.5	2.922462	-150.9593
222	2.942217	-170.0733
222.5	3.054713	174.0236
223	2.982411	157.0688
223.5	3.017464	141.3313
224	3.142379	125.3279
224.5	3.165802	107.4369
225	3.110128	90.58462
225.5	3.10645	73.64513
226	3.113316	56.2793
226.5	3.22196	39.63869
227	3.216059	21.382
227.5	3.292143	2.304167
228	3.395447	-12.84906
228.5	3.544021	-29.97595
229	3.652574	-49.09526
229.5	3.667406	-64.93385
230	3.736237	-79.69868
230.5	3.812392	-96.20192
231	3.837047	-111.008
231.5	3.952676	-126.8324
232	4.097545	-142.947
232.5	4.081041	-159.2902
233	4.221837	-177.4583
233.5	4.157279	165.543
234	4.094889	151.6314
234.5	4.289401	134.6967
235	4.374568	117.5681
235.5	4.343295	102.0266
236	4.457662	85.31356
236.5	4.414963	68.85596
237	4.42263	53.5891
237.5	4.561093	38.74726
238	4.625195	22.01024
238.5	4.738827	5.237197
239	4.886255	-11.25127
239.5	4.855804	-27.45217
240	4.872088	-43.25845
240.5	5.160964	-57.67751
241	5.255789	-74.52542
241.5	5.239642	-90.10721
242	5.375644	-104.8067
242.5	5.430794	-121.3491
243	5.334483	-135.9965
243.5	5.394956	-150.441
244	5.423973	-167.0666
244.5	5.465161	177.5621
245	5.480075	162.2097
245.5	5.487417	145.012
246	5.559917	130.0242
246.5	5.742497	114.4031
247	5.871598	96.89271
247.5	5.897278	80.14537
248	5.931804	65.03835
248.5	6.010982	49.55445
249	6.079187	34.64349
249.5	6.185049	18.46298
250	6.296541	2.775812
250.5	6.225991	-11.96695
251	6.304443	-27.94473
251.5	6.382351	-43.57594
252	6.415093	-58.09446
252.5	6.495714	-73.86135
253	6.656095	-89.84393
253.5	6.697213	-105.7904
254	6.66089	-122.1728
254.5	6.544107	-136.7649
255	6.605834	-151.7133
255.5	6.739787	-167.6912
256	6.633772	176.4029
256.5	6.563825	160.8453
257	6.662354	145.2305
257.5	6.718987	129.9986
258	6.77576	113.3928
258.5	6.925022	97.16249
259	6.92813	81.20541
259.5	7.037401	65.74224
260	7.074528	50.14831
260.5	7.030166	35.04344
261	7.186162	21.36107
261.5	7.372818	6.118448
262	7.291404	-10.5226
262.5	7.279309	-25.73834
263	7.241429	-40.30313
263.5	7.134387	-56.2933
264	7.228992	-71.62599
264.5	7.233677	-88.41324
265	7.071735	-104.1015
265.5	7.061993	-119.3811
266	7.040014	-134.8403
266.5	7.048718	-149.4055
267	7.258841	-163.4521
267.5	7.384576	179.563
268	7.411202	162.8518
268.5	7.337628	147.8977
269	7.257433	132.0221
269.5	7.244331	116.6738
270	7.338674	101.7199
270.5	7.36525	85.76984
271	7.350652	69.96743
271.5	7.356193	55.37906
272	7.47042	39.63256
272.5	7.413166	25.27423
273	7.42593	10.60174
273.5	7.576335	-5.444151
274	7.433594	-21.07739
274.5	7.178411	-35.73023
275	7.157064	-50.80832
275.5	7.165194	-65.74222
276	7.114023	-81.23136
276.5	7.19234	-97.85459
277	7.090165	-113.9941
277.5	7.156703	-129.2633
278	7.24961	-144.929
278.5	7.224059	-160.8257
279	7.28429	-176.1581
279.5	7.356764	168.9207
280	7.252519	154.2159
280.5	7.292821	138.718
281	7.265728	124.2168
281.5	7.207378	109.8463
282	7.295598	94.15686
282.5	7.219709	77.85928
