Source File Name:	6,1,2
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	39.21811	-64.86313
20.5	37.96036	-93.74969
21	33.25213	-118.0701
21.5	29.33605	-139.7842
22	26.53807	-163.8475
22.5	23.25975	-178.9236
23	20.81017	159.1842
23.5	19.04663	145.367
24	17.71122	129.9328
24.5	15.95125	114.6857
25	15.42036	98.77854
25.5	14.55807	87.4837
26	14.21453	73.21774
26.5	13.86245	59.05539
27	13.43824	43.7991
27.5	13.18507	28.265
28	12.76476	13.64826
28.5	12.53228	-1.472231
29	12.16403	-16.25029
29.5	12.07758	-31.1882
30	11.92217	-46.02756
30.5	11.77092	-61.6198
31	11.64246	-76.53664
31.5	11.48098	-91.66588
32	11.57352	-106.3231
32.5	11.37764	-121.807
33	11.34728	-136.7016
33.5	11.99893	-154.0921
34	11.20026	-166.1852
34.5	11.21713	178.0466
35	11.22444	163.129
35.5	11.23806	148.6784
36	11.30008	133.0413
36.5	11.37375	118.1668
37	11.48147	101.8128
37.5	11.20731	86.06007
38	11.27031	70.60146
38.5	11.32501	55.65219
39	11.2049	39.07735
39.5	11.21746	23.11238
40	10.85079	7.134378
40.5	10.70849	-7.957841
41	10.31439	-23.16517
41.5	10.02257	-37.57718
42	9.941648	-50.90636
42.5	9.75805	-64.75334
43	9.948936	-78.23119
43.5	9.932918	-92.88512
44	10.00613	-106.2872
44.5	10.0003	-121.5152
45	10.11139	-135.2598
45.5	10.43897	-149.5351
46	10.67268	-165.2838
46.5	10.68408	-179.6504
47	10.88709	165.5039
47.5	11.07062	150.2003
48	11.09813	135.3019
48.5	11.25973	121.4694
49	11.51519	106.1632
49.5	11.89324	91.41676
50	11.67904	75.72842
50.5	12.02833	60.78717
51	12.05134	45.36599
51.5	12.19016	29.97404
52	12.30629	15.36672
52.5	12.51875	0.315378
53	12.88063	-13.91312
53.5	12.9771	-29.51978
54	13.17054	-43.35143
54.5	13.51489	-59.96387
55	13.85443	-75.1199
55.5	14.10716	-90.25322
56	14.42443	-105.7328
56.5	14.71005	-121.0519
57	15.05393	-136.55
57.5	15.40618	-151.7584
58	15.84591	-167.7263
58.5	16.12224	176.4444
59	16.38292	160.7972
59.5	16.74022	145.7014
60	17.18934	129.6975
60.5	17.6352	114.1992
61	17.98966	98.39841
61.5	18.55472	82.33176
62	18.96768	66.36688
62.5	19.46841	50.23124
63	19.87794	33.99125
63.5	20.38057	17.8434
64	20.84344	1.712146
64.5	21.3916	-14.82587
65	21.81966	-31.34481
65.5	22.36441	-47.61048
66	22.90121	-64.05038
66.5	23.47696	-80.99775
67	24.0657	-97.77862
67.5	24.55754	-114.386
68	25.25755	-131.3668
68.5	25.72829	-148.4587
69	26.39654	-165.5456
69.5	27.03144	177.2707
70	27.73528	159.6698
70.5	28.22351	142.0112
71	28.80131	124.0081
71.5	29.259	106.2989
72	29.71171	88.28245
72.5	30.18955	70.01141
73	30.5244	51.40471
73.5	30.85554	32.64503
74	30.90959	14.03853
74.5	31.08038	-5.085531
75	30.80599	-24.30461
75.5	30.56833	-43.49602
76	30.1184	-63.10089
76.5	29.32836	-82.60985
77	28.49309	-102.2288
77.5	27.33627	-121.539
78	26.06396	-140.9669
78.5	24.64125	-159.8177
79	23.15337	-178.287
79.5	21.75754	163.0838
80	20.22875	145.4535
80.5	18.91379	127.9687
81	17.6599	110.4555
81.5	16.31613	93.43285
82	15.25195	76.78579
82.5	14.13502	59.86327
83	13.02839	43.24132
83.5	12.04992	27.48239
84	11.06131	10.85859
84.5	10.17232	-4.834813
85	9.209913	-20.69261
85.5	8.455296	-35.91803
86	7.560562	-50.61797
86.5	6.82355	-64.47314
87	6.20449	-78.02631
87.5	5.5358	-92.18262
88	4.849983	-102.5497
88.5	4.492162	-113.5317
89	4.146933	-123.7119
89.5	3.787755	-133.9491
90	3.579884	-141.5623
90.5	3.377961	-150.838
91	3.391995	-157.8238
91.5	3.345088	-166.797
92	3.398345	-175.7454
92.5	3.536926	177.0256
93	3.775273	164.1324
93.5	3.931571	153.5719
94	4.035451	141.4843
94.5	4.39042	130.1242
95	4.640234	115.5772
95.5	4.821706	101.5327
96	4.917821	86.68471
96.5	5.066978	73.46838
97	5.230447	59.62058
97.5	5.462676	44.87111
98	5.534451	30.22191
98.5	5.684155	15.81777
99	5.837097	2.068678
99.5	6.014269	-13.83846
100	6.13774	-28.0984
100.5	6.181292	-43.67474
101	6.326007	-57.27272
101.5	6.439693	-72.65408
102	6.600688	-87.71401
102.5	6.656302	-102.7139
103	6.73697	-117.1401
103.5	6.878632	-131.6524
104	7.08539	-146.6266
104.5	7.3045	-161.5066
105	7.383301	-177.3777
105.5	7.603735	167.507
106	7.638332	151.8501
106.5	7.773772	137.1038
107	7.975963	122.2485
107.5	8.211081	106.126
108	8.346135	90.2389
108.5	8.396701	73.93304
109	8.515383	59.15564
109.5	8.689241	43.3356
110	8.867332	27.68795
110.5	9.04882	11.32886
111	9.195336	-5.192502
111.5	9.277134	-21.67285
112	9.430898	-38.0565
112.5	9.404429	-54.82563
113	9.538434	-70.80672
113.5	9.679039	-87.55428
114	9.832316	-105.4756
114.5	9.669634	-122.881
115	9.597996	-140.4315
115.5	9.417158	-156.5454
116	9.339874	-173.9952
116.5	9.170609	169.3814
117	9.030113	152.2378
117.5	8.835295	135.4408
118	8.544074	118.5518
118.5	8.496117	101.4909
119	8.116538	84.2319
119.5	7.864053	66.77123
120	7.430578	49.52906
120.5	6.998865	32.97087
121	6.564096	17.48539
121.5	6.225298	0.8281433
122	5.789401	-14.71571
122.5	5.324265	-31.39593
123	4.817802	-44.55144
123.5	4.451482	-58.00085
124	4.10283	-71.89908
124.5	3.674366	-83.91717
125	3.374525	-94.21449
125.5	3.157717	-101.5674
126	3.158095	-111.8817
126.5	2.973847	-119.9417
127	3.071976	-126.3352
127.5	3.299799	-135.9433
128	3.526644	-147.2478
128.5	3.850217	-159.4695
129	3.996295	-174.0654
129.5	4.348946	172.9213
130	4.52248	157.3091
130.5	4.738424	142.328
131	4.908855	127.404
131.5	5.067312	111.3912
132	5.30834	96.01994
132.5	5.319769	78.85596
133	5.422462	63.96851
133.5	5.532508	47.81882
134	5.566644	31.37111
134.5	5.58578	15.6656
135	5.655362	-0.5131991
135.5	5.606863	-16.82793
136	5.643562	-32.53376
136.5	5.569262	-49.23719
137	5.520383	-65.11268
137.5	5.418041	-81.09194
138	5.267992	-96.87227
138.5	5.167283	-111.5017
139	5.028675	-126.695
139.5	5.085561	-140.4754
140	4.990326	-157.0353
140.5	4.893888	-172.0943
141	4.781095	173.5157
141.5	4.731297	158.8599
142	4.655138	143.8187
142.5	4.595549	129.156
143	4.579233	113.9408
143.5	4.414434	98.39185
144	4.268071	83.66505
144.5	4.128986	70.22697
145	4.081579	56.36296
145.5	3.988003	42.1809
146	3.94818	27.67119
146.5	3.767122	12.96045
147	3.681544	1.335362
