Source File Name:	6,2,3
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	11.77317	-67.80042
20.5	11.46918	-97.43077
21	10.16575	-126.6411
21.5	8.288586	-147.6002
22	6.924881	-159.9791
22.5	6.266909	177.4251
23	8.040403	171.4131
23.5	5.865016	150.8649
24	5.487509	134.478
24.5	5.159017	111.755
25	4.976811	95.98641
25.5	4.884347	89.38611
26	4.820487	71.97588
26.5	4.521391	58.59932
27	4.479875	41.79104
27.5	4.520199	26.42843
28	4.267763	9.085873
28.5	4.323342	-7.725811
29	4.271407	-22.45024
29.5	4.363472	-39.37792
30	4.234946	-57.96801
30.5	4.18415	-71.64728
31	4.170045	-89.20438
31.5	4.174674	-107.1086
32	3.985035	-124.9917
32.5	3.759725	-141.9081
33	3.904425	-157.7789
33.5	3.729674	171.3835
34	3.571337	168.1303
34.5	3.463207	148.6634
35	3.031348	132.7937
35.5	2.766057	113.7917
36	2.435056	100.6323
36.5	1.978942	85.3014
37	1.680191	74.91212
37.5	1.771548	71.19004
38	1.564046	70.55598
38.5	1.71122	62.15911
39	1.855148	54.71608
39.5	1.948268	45.21011
40	2.18577	24.01059
40.5	2.159396	16.05412
41	2.421556	5.742851
41.5	2.628889	-12.39966
42	2.814451	-29.84647
42.5	2.795377	-45.68763
43	2.909362	-62.23171
43.5	2.980595	-75.2991
44	3.028482	-90.01323
44.5	3.154227	-105.4471
45	3.239276	-122.875
45.5	3.126413	-136.5456
46	3.325537	-154.1891
46.5	3.273	-167.5275
47	3.224777	-179.0862
47.5	3.536888	164.0129
48	3.53283	153.141
48.5	3.776748	137.5008
49	3.061078	112.7563
49.5	3.673999	106.1856
50	3.603261	91.16145
50.5	3.852597	78.80289
51	3.846274	64.27959
51.5	3.996137	47.02652
52	4.178008	31.93987
52.5	3.988065	18.15088
53	4.139867	3.245741
53.5	4.215554	-10.64643
54	4.204785	-25.03313
54.5	4.46456	-39.66908
55	4.596435	-54.03032
55.5	4.631682	-68.62134
56	4.875525	-84.98676
56.5	4.951747	-97.28646
57	5.105073	-113.3602
57.5	5.168666	-128.2867
58	5.264717	-142.1184
58.5	5.500131	-157.2005
59	5.585812	-172.9109
59.5	5.712691	173.8507
60	5.874431	159.1452
60.5	6.139954	144.4293
61	6.261526	129.2986
61.5	6.452592	114.2875
