Source File Name:	4,1,3
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	17.29244	-38.96614
20.5	15.43369	-74.65046
21	15.89231	-106.7663
21.5	14.83684	-131.4677
22	11.75363	-150.1514
22.5	10.1403	-170.5104
23	9.434711	152.0092
23.5	8.647023	149.4134
24	7.713245	132.2751
24.5	7.037792	118.0773
25	7.595695	100.7766
25.5	6.105409	84.93662
26	6.134444	68.52026
26.5	5.856137	57.55655
27	5.658224	44.57051
27.5	5.293842	21.28947
28	6.211073	13.79808
28.5	4.76892	-1.235144
29	5.386964	-16.80472
29.5	5.07392	-40.35227
30	5.323422	-51.02337
30.5	4.607628	-60.79654
31	3.988084	-79.81454
31.5	5.008059	-100.1303
32	5.072834	-112.5058
32.5	4.267796	-125.3737
33	4.210561	-131.6359
33.5	3.214842	-157.7286
34	5.418652	-167.3974
34.5	4.686753	174.5036
35	4.534085	171.2861
35.5	4.550611	146.9823
36	5.274931	141.5212
36.5	4.957544	114.9802
37	5.826651	102.29
37.5	5.143704	93.6213
38	4.684094	68.96538
38.5	6.200657	50.91556
39	5.850106	42.40448
39.5	5.389811	21.21275
40	5.317765	3.840365
40.5	6.135522	-15.30819
41	5.432599	-26.23138
41.5	5.261288	-51.54961
42	4.575838	-59.86536
42.5	4.684608	-86.13355
43	4.621389	-92.75579
43.5	3.999258	-106.1929
44	3.647418	-118.853
44.5	3.890029	-130.8831
45	3.686128	-146.1661
45.5	3.931034	-156.0125
46	4.057111	-166.6046
46.5	4.180855	-176.519
47	3.843973	169.8288
47.5	4.486476	142.27
48	4.734871	139.9464
48.5	4.346379	129.5684
49	3.947874	106.8661
49.5	5.151197	92.32098
50	4.887896	86.91434
50.5	4.527884	62.51059
51	5.24354	49.29414
51.5	5.309127	44.25855
52	5.086174	18.4009
52.5	5.477191	9.813068
53	4.918095	-7.212275
53.5	5.292798	-24.36917
54	6.033731	-34.07749
54.5	5.078515	-51.60552
55	5.388372	-67.07165
55.5	5.721044	-79.52603
56	5.74611	-95.49329
56.5	6.112299	-108.8856
57	6.244693	-124.1779
57.5	5.961492	-137.0001
58	6.009017	-160.516
58.5	6.41901	-169.6994
59	6.455989	178.9709
59.5	5.979291	166.5359
60	6.703957	148.1225
60.5	7.164158	133.8947
61	7.140471	123.6814
61.5	6.58854	102.3788
62	7.748209	92.68562
62.5	7.624428	78.10074
63	8.065796	61.6244
63.5	7.717193	45.48148
64	8.256104	30.5431
64.5	8.563499	16.13192
65	9.312958	2.463261
65.5	8.354757	-13.0069
66	9.325097	-30.76333
66.5	9.574165	-44.08668
67	9.605984	-59.16277
67.5	10.3963	-76.08067
68	9.911698	-85.67397
68.5	10.35322	-107.8642
69	11.1505	-119.9657
69.5	11.42179	-136.526
70	11.92818	-149.9764
70.5	11.46183	-167.8167
71	12.43314	176.6109
71.5	13.27827	161.52
72	13.44963	148.6234
72.5	13.05381	128.4567
73	14.4857	114.9336
73.5	15.03138	99.29099
74	15.01584	83.35468
74.5	16.05012	64.86037
75	16.12155	49.45947
75.5	17.6671	32.71529
76	17.39727	16.26906
76.5	18.30449	-1.532597
77	18.68699	-18.56882
77.5	19.55204	-35.56159
78	20.04572	-52.32907
78.5	20.86168	-70.65731
79	20.89828	-88.51077
79.5	21.23224	-107.4845
80	21.89623	-124.8841
80.5	22.77861	-142.401
81	22.37462	-161.221
81.5	22.7946	178.9868
82	22.74981	159.5857
82.5	22.98693	144.4743
83	21.98382	124.1879
83.5	22.59433	104.3906
84	22.2019	86.69304
84.5	20.39704	67.63363
85	20.50885	48.24065
85.5	19.66376	32.34415
86	19.2411	12.25539
86.5	17.99836	-5.285381
87	17.10725	-23.41417
87.5	16.15646	-40.8748
88	15.34775	-57.58214
88.5	14.02366	-72.50755
89	13.32786	-91.74249
89.5	12.48131	-104.201
90	11.31291	-120.9341
90.5	10.979	-138.4944
91	10.60369	-148.5383
91.5	9.597995	-164.2909
92	9.00401	-177.9843
92.5	9.129915	164.6223
93	9.374308	156.3811
93.5	7.609198	140.0515
94	8.237252	125.5685
94.5	8.169274	115.0795
95	7.852081	101.2312
95.5	7.40112	84.99329
96	7.728531	68.88866
96.5	7.490047	57.59302
97	7.177314	42.62091
97.5	7.088762	25.63081
98	6.564384	16.03086
98.5	7.438087	-6.19189
99	6.754288	-12.23053
99.5	6.478868	-31.24577
100	6.478414	-44.92794
100.5	6.290579	-59.02485
101	5.822523	-73.22001
101.5	6.238803	-89.36259
102	6.108779	-97.96406
102.5	5.346581	-111.8581
103	5.561498	-135.1581
103.5	6.353862	-145.7446
104	5.663864	-155.9891
104.5	5.455783	-177.992
105	4.970484	169.7958
105.5	5.587385	154.2205
106	4.712717	145.6194
106.5	4.726332	131.4121
107	4.680392	114.3083
107.5	4.756794	103.1888
108	4.289957	85.15201
108.5	4.307091	79.85984
109	3.763145	57.6493
109.5	4.542833	47.24724
110	3.733911	32.79318
110.5	3.803936	20.0997
111	3.323015	12.31018
111.5	3.587423	0.5528783
112	3.283835	-13.378
112.5	3.899237	-25.85189
113	3.546938	-34.63531
113.5	3.075763	-37.99372
114	3.293451	-63.16998
114.5	3.667305	-66.65012
115	3.754526	-83.97105
115.5	3.739857	-85.29381
116	3.455598	-111.0239
116.5	4.169625	-115.6993
117	3.658806	-129.6312
117.5	4.514009	-141.0133
118	4.288833	-151.646
118.5	4.917988	-168.934
119	4.911398	-177.3097
119.5	5.000839	167.3649
120	5.371182	149.3563
120.5	5.550688	140.5909
121	6.013076	123.2471
121.5	5.929826	115.5844
122	6.132277	92.63078
122.5	6.854578	85.23046
123	7.123177	65.72411
123.5	7.548117	54.6325
124	7.748669	37.66609
124.5	8.116503	24.17156
125	8.736541	8.156437
125.5	9.157135	-8.835862
126	9.789014	-23.79222
126.5	9.654516	-38.5405
127	10.18473	-57.39768
127.5	10.91322	-72.7384
128	11.37004	-89.03033
128.5	11.29046	-107.0508
129	11.82529	-123.8005
129.5	12.05063	-139.2176
130	12.81204	-157.6639
130.5	12.67142	-173.3162
131	12.70862	167.3497
131.5	12.98676	150.6665
132	13.14447	137.6758
132.5	13.10764	116.61
133	13.39025	101.1989
133.5	12.72774	82.86985
134	13.04456	67.48129
134.5	12.6342	51.66184
135	13.08791	35.57196
135.5	12.70937	19.12308
136	12.38153	2.233632
136.5	13.0223	-13.59334
137	12.47991	-28.43246
137.5	12.52183	-44.95208
138	11.94673	-62.9189
138.5	12.49615	-77.96991
139	11.55515	-91.49202
139.5	12.28415	-110.0964
140	11.78386	-123.4725
140.5	11.63959	-141.2106
141	11.98187	-155.9721
141.5	11.26052	-171.5306
142	11.58805	171.7228
142.5	11.60018	157.153
143	10.87063	141.6553
143.5	11.04245	125.4824
144	10.87576	109.1739
144.5	10.915	96.29736
145	10.41275	76.10968
145.5	10.75653	65.5854
146	9.665609	47.60807
146.5	10.44168	33.23904
147	9.748681	16.61728
147.5	9.88728	3.11711
148	9.845573	-11.12514
148.5	8.973322	-27.51695
149	9.558897	-44.51036
149.5	9.243199	-54.89055
150	8.941967	-73.64082
150.5	9.060932	-84.48062
151	8.931107	-101.4923
151.5	8.558466	-116.2693
152	8.771165	-132.7027
152.5	8.340899	-142.7206
153	8.432696	-159.2927
153.5	9.040486	-171.2834
154	8.413687	170.9287
154.5	8.351373	153.3628
155	9.027285	140.3555
155.5	8.032204	128.1283
156	8.586564	110.3665
156.5	8.265903	99.20206
157	8.359007	77.07322
157.5	8.422199	66.989
158	8.443966	51.73988
158.5	7.843919	37.62231
159	8.285932	20.84241
159.5	8.01978	3.832613
160	8.091307	-9.645137
160.5	7.8053	-24.38991
161	7.514314	-37.98082
161.5	7.403482	-56.1908
162	7.855448	-67.64821
162.5	7.070336	-85.51243
163	7.645266	-97.44627
163.5	6.861441	-109.8873
164	7.177477	-130.4164
164.5	7.321176	-139.4196
165	6.804886	-154.2198
165.5	6.947849	-172.3259
166	7.172382	175.8869
166.5	6.739792	160.9809
167	6.785285	145.9211
167.5	6.883067	133.4151
168	6.716194	119.4853
168.5	6.937007	100.4717
169	6.899	93.51584
169.5	6.335886	72.09229
170	6.943698	62.18565
170.5	6.577394	49.44714
171	6.586851	29.03916
171.5	6.986131	17.54561
172	6.388469	4.942205
172.5	6.867905	-10.88435
173	6.489375	-24.52452
173.5	7.080696	-40.42759
174	6.840552	-54.77912
174.5	6.96062	-67.14298
175	6.802783	-83.9243
175.5	6.958732	-99.65943
176	6.888376	-109.9392
176.5	7.052647	-128.1981
177	7.382464	-142.6156
177.5	7.095405	-153.8712
178	6.991072	-176.2253
178.5	7.489017	176.0488
179	7.210238	158.9704
179.5	7.900756	143.3638
180	7.454444	127.6012
180.5	7.689902	111.1347
181	7.555907	95.63386
181.5	7.685984	85.73113
182	7.680449	62.89037
182.5	8.184304	49.39117
183	7.556456	34.7513
183.5	7.431752	18.58275
184	7.722537	1.525537
184.5	7.2898	-11.01197
185	7.89388	-31.39967
185.5	7.211293	-38.41373
186	7.356183	-60.50736
186.5	7.23396	-72.6787
187	7.184984	-89.49965
187.5	7.260995	-104.0175
188	7.553651	-119.4788
188.5	6.804823	-132.4749
189	6.946508	-153.5919
189.5	6.838051	-166.8286
190	6.893299	-179.8542
190.5	6.637048	168.0228
191	6.927756	151.0787
191.5	6.158434	134.7146
192	7.014005	116.7176
192.5	6.51086	108.169
193	6.58916	90.06203
193.5	6.460577	73.45211
194	6.261439	59.14392
194.5	6.131848	42.46725
195	6.719972	30.12326
195.5	5.706631	14.78829
196	6.248947	-0.08902971
196.5	5.653832	-18.43082
197	5.742427	-30.06897
197.5	5.541244	-45.42373
198	5.646409	-57.66785
198.5	5.172468	-76.38908
199	5.8375	-90.16102
199.5	5.186883	-101.1051
200	5.155721	-117.614
200.5	5.387374	-134.1513
201	5.015938	-147.8905
201.5	5.257894	-158.5484
202	4.7874	-171.9237
202.5	4.697754	169.6561
203	5.085353	160.3347
203.5	5.007553	140.7855
204	4.851781	132.8532
204.5	4.84223	113.1098
205	5.077955	104.2848
205.5	4.757571	85.64206
206	5.327038	66.7132
206.5	4.866078	58.29819
207	4.774699	45.48416
207.5	4.901573	31.31611
208	4.631358	11.44743
208.5	5.379382	-1.875377
209	4.781586	-14.92392
209.5	4.74936	-29.41401
210	4.546976	-46.20774
210.5	5.119127	-59.83796
211	4.616531	-78.68428
211.5	4.9758	-91.34255
212	4.899379	-101.6749
212.5	4.526575	-116.6646
213	4.75071	-139.5159
213.5	4.541412	-145.9971
214	4.641788	-159.7012
214.5	4.507475	-170.8822
215	4.398043	167.0131
215.5	4.744145	153.9713
216	4.754419	140.3185
216.5	4.364471	126.4998
217	4.448549	104.8682
217.5	4.95096	96.51797
218	4.536022	81.81394
218.5	4.175917	72.15582
