Source File Name:	6,2,1
Signal:	FFT - Vib Velocity - Mag. & Phase

Frequency	Magnitude	Phase
[ Hz ]	[ m/s ]	[ ° ]
20	17.03378	-66.69059
20.5	14.72882	-90.90485
21	10.15988	-124.8762
21.5	10.03066	-145.8707
22	9.080699	-166.7677
22.5	6.974907	-174.8876
23	7.931764	152.286
23.5	7.596864	144.456
24	6.672124	127.146
24.5	6.172654	109.2752
25	6.285588	98.33002
25.5	5.650057	83.57676
26	5.348422	68.40246
26.5	5.338626	50.95915
27	4.928762	36.20784
27.5	5.055861	20.65752
28	4.836051	2.886346
28.5	4.663604	-12.72474
29	4.715888	-27.06922
29.5	4.683574	-44.89898
30	4.549982	-60.46909
30.5	4.493549	-77.03596
31	4.467524	-93.65489
31.5	4.256944	-110.3534
32	4.240457	-127.482
32.5	4.127038	-144.8698
33	3.997718	-163.6704
33.5	3.1086	160.5603
34	3.692611	163.0574
34.5	3.189241	142.9853
35	3.015794	125.2607
35.5	2.739554	110.3199
36	2.371655	94.47642
36.5	1.917396	83.2552
37	1.695085	75.45093
37.5	1.643172	63.40388
38	1.488767	62.52043
38.5	1.698711	59.8236
39	1.819996	49.66376
39.5	1.959242	34.77681
40	2.06082	23.56841
40.5	2.234531	7.208652
41	2.293538	-5.038889
41.5	2.404061	-20.06716
42	2.571668	-32.19246
42.5	2.621184	-50.91471
43	2.648351	-67.50906
43.5	2.700469	-82.49227
44	2.781605	-95.7167
44.5	2.665493	-115.6049
45	2.631465	-127.0917
45.5	2.635904	-140.6526
46	2.875115	-154.9011
46.5	2.895449	-170.1472
47	2.903447	172.1734
47.5	2.987108	158.6
48	3.019785	144.5462
48.5	3.050745	130.1023
49	2.257257	119.668
49.5	2.93471	101.0323
50	3.034022	85.57132
50.5	3.132526	72.9421
51	3.054792	56.75751
51.5	3.180091	42.14253
52	3.080332	31.72002
52.5	3.185645	16.68387
53	3.278099	-1.458554
53.5	3.27742	-14.17455
54	3.244182	-30.33011
54.5	3.483761	-44.21979
55	3.537419	-55.43829
55.5	3.644656	-71.3392
56	3.689728	-85.44221
56.5	3.721128	-101.5472
57	3.824562	-114.3904
57.5	3.887126	-128.5033
58	4.036424	-143.1628
58.5	4.040075	-157.5933
59	4.240453	-173.0498
59.5	4.170465	173.3341
60	4.430002	158.2815
60.5	4.428424	144.8125
61	4.70963	130.4823
61.5	4.79709	115.8988
62	5.012402	100.5532
62.5	5.181339	87.14899
63	5.476821	70.02976
63.5	5.538748	56.04493
64	5.767992	40.81962
64.5	6.036903	26.63653
65	6.253875	11.0284
65.5	6.61226	-4.553681
66	6.775028	-20.38749
66.5	7.128397	-35.92012
67	7.343181	-50.35077
67.5	7.748384	-65.64413
68	8.061581	-81.96724
68.5	8.436378	-97.95496
69	8.801185	-113.4513
69.5	9.303922	-130.7922
70	9.64139	-146.792
70.5	10.143	-163.2453
71	10.63333	-179.6179
71.5	11.09927	162.4349
72	11.56276	145.1621
72.5	11.90452	127.0912
73	12.39721	110.5925
73.5	12.83172	92.74208
74	13.19284	75.15564
74.5	13.55631	56.81281
75	13.90958	38.47769
75.5	14.20469	20.58767
76	14.50407	2.243904
76.5	14.57348	-15.97609
77	14.78583	-34.49079
77.5	14.7581	-52.91805
78	14.88892	-71.55015
78.5	14.70609	-89.98959
79	14.57754	-108.4338
79.5	14.29394	-126.4058
80	14.0526	-145.0335
80.5	13.62331	-162.5353
81	13.28601	179.1103
81.5	12.78784	162.2588
82	12.41454	144.699
82.5	11.88702	127.8904
83	11.34461	110.9738
83.5	10.90561	95.6806
84	10.49945	79.56559
84.5	10.14073	64.57377
85	9.841986	49.62921
85.5	9.731064	34.64694
86	9.462094	19.66248
86.5	9.429407	4.48325
87	9.325611	-10.50146
87.5	9.308128	-26.54947
88	9.189355	-41.77829
88.5	9.189568	-57.85857
89	9.154413	-73.17332
89.5	8.983755	-90.51236
90	8.888839	-105.556
90.5	8.795669	-122.8851
91	8.555286	-138.8862
91.5	8.313628	-154.6098
92	8.139054	-170.2183
92.5	7.791964	173.5046
93	7.678229	158.5338
93.5	7.431912	142.7715
94	7.251153	127.124
94.5	6.976751	112.41
95	6.726125	97.24857
95.5	6.54234	83.36329
96	6.384205	67.12993
96.5	6.182085	54.37177
97	6.031949	38.68503
97.5	5.874712	25.44014
98	5.699864	11.43892
98.5	5.647759	-2.885054
99	5.384372	-16.57594
99.5	5.42469	-28.95018
100	5.273942	-43.3528
100.5	5.328839	-56.57782
101	5.161053	-70.30555
101.5	5.123283	-83.37759
102	5.13539	-95.73674
102.5	5.141748	-109.5308
103	5.219622	-121.4517
103.5	5.303327	-135.8238
104	5.465464	-148.3325
104.5	5.459003	-162.5311
105	5.690277	-175.7941
105.5	5.767776	170.3843
106	6.057231	155.7098
106.5	6.120092	141.7236
107	6.417507	127.3904
107.5	6.536338	112.5611
108	6.766925	97.96675
108.5	7.015525	83.58604
109	7.293902	67.83843
109.5	7.59845	52.88918
110	7.887277	36.11155
110.5	8.083947	21.20616
111	8.368338	4.586345
111.5	8.70124	-11.14165
112	8.896625	-28.50234
112.5	9.16215	-44.83463
113	9.306764	-61.89384
113.5	9.527154	-78.73853
114	9.572646	-95.29358
114.5	9.795867	-111.9327
115	9.93211	-129.3184
115.5	10.02497	-146.8978
116	10.02754	-163.5845
